parent,phase,query,label,top4_changed_fraction,action_rms,instantaneous_screen,gripper_sign_changes,first_local_routed_relative,first_local_block_relative,back_routed_relative,back_total_relative,back_block_relative,projection_input_relative,velocity_relative
plus-task00-init026,before_alarm,15,combo,0.5475,0.0034923460488972143,True,0,0.7194711893353615,0.006687263536082601,0.4807259262954976,0.09739245535852181,0.011640517831251654,0.012360875605104937,0.019454146411734954
plus-task00-init026,before_alarm,15,opposite,0.57,0.0030019981038936334,False,0,0.7362833249364205,0.006843528097803306,0.4836175178449059,0.09753480521456948,0.011798631945046788,0.011891083162878579,0.014112498149917881
plus-task00-init026,before_alarm,15,random,0.595,0.003046846373325446,False,0,0.8454886563574124,0.007858558226226123,0.4960584106441499,0.10062829897142471,0.011453460376684016,0.011941314582723824,0.015181431824111238
plus-task00-init026,first_accepted,21,combo,0.66,0.004036148741478071,True,0,0.6055079019804848,0.006147061032950771,0.5153539088529809,0.11264403773820045,0.013349034654228395,0.014504568888883127,0.016478760225523005
plus-task00-init026,first_accepted,21,opposite,0.63,0.003342074387030971,False,0,0.5943925824599937,0.006034220133537875,0.4560324200899752,0.10111938086250978,0.012247726096951978,0.013041486560279108,0.014659951706545073
plus-task00-init026,first_accepted,21,random,0.685,0.002462293758390255,False,0,0.7001321230753599,0.007107677869343471,0.4586869832297212,0.09853275787994431,0.011604681358116768,0.011651323174294983,0.013725852613367827
plus-task00-init026,last_accepted,32,combo,0.835,0.0029130974377846305,True,0,0.6457034622479573,0.005734089749133031,0.6807243652852175,0.10921186326956675,0.010508857339079976,0.011238590463596257,0.0117058663584009
plus-task00-init026,last_accepted,32,opposite,0.7875,0.002100974558302314,False,0,0.8727229159019516,0.007750108059169791,0.6682645272078023,0.10806441385442775,0.010423909770819823,0.010550663661848474,0.010902458258819974
plus-task00-init026,last_accepted,32,random,0.825,0.003216086076148329,False,0,0.7533900737889357,0.006690387310903953,0.6640993851445853,0.10758912980230309,0.010668080587076223,0.010953017204941505,0.012169000082181795
pro-task03-init039,before_alarm,12,combo,0.77,0.003942253466720711,True,0,0.7611477542732066,0.007928862953276652,0.6577633475742514,0.11518234533592411,0.013000553631328269,0.011733827221191692,0.013381241074838126
pro-task03-init039,before_alarm,12,opposite,0.7175,0.002720460049742775,False,0,0.8673317100615747,0.009034980082421535,0.6080088451923252,0.10849190957436322,0.01178072368376363,0.010280633661002719,0.012156483180632699
pro-task03-init039,before_alarm,12,random,0.7575,0.002659448851712981,False,0,0.6929084851802108,0.007218015508460522,0.6183719405859969,0.10899045298348954,0.012026064363834191,0.01126702940185957,0.013342698067577864
pro-task03-init039,first_accepted,18,combo,0.72,0.0025284132774634495,True,0,0.7522076900122092,0.0077812546554569,0.5641462931247749,0.10193778105961297,0.01167420967913553,0.011080840830971488,0.011611122011957284
pro-task03-init039,first_accepted,18,opposite,0.655,0.002550498293725175,False,0,0.6318642091436265,0.006536355388649594,0.5832396538342604,0.10303547231324243,0.011263394681981906,0.0103275540833075,0.010967650203189709
pro-task03-init039,first_accepted,18,random,0.7275,0.002757569857367312,False,0,0.7026099687487045,0.00726818864603474,0.6102266072404424,0.1095754557196724,0.011883215121404184,0.011256348429737873,0.012588566504040883
pro-task03-init039,last_accepted,28,combo,0.6825,0.002863853265439633,True,0,0.7954251749426205,0.008057025187391632,0.573682814223454,0.0946053505697677,0.01116214656958485,0.010513570221118677,0.012518581494101419
pro-task03-init039,last_accepted,28,opposite,0.6425,0.002702294103086171,False,0,0.6467437356642141,0.0065510001060152005,0.5853366868182382,0.09349438880698172,0.010945728942867109,0.010126152480765363,0.012184236610533652
pro-task03-init039,last_accepted,28,random,0.6875,0.0027845497277030657,False,0,0.7444570805176643,0.007540759121079342,0.5823349922011892,0.09563180721716491,0.01108919678407342,0.010750483256330321,0.012850912834707698
plus-task06-init026,before_alarm,24,combo,0.5525,0.0026328998133480067,True,0,0.6756036265771409,0.006678020729347845,0.49532759776647445,0.10613430487654756,0.012795387309976463,0.011535003073219311,0.015041602513283044
plus-task06-init026,before_alarm,24,opposite,0.5125,0.002342387629054836,False,0,0.5701311902946705,0.005635475910603499,0.4462575884122421,0.09249565377962077,0.011584255103943744,0.010840511857271902,0.014361709291111417
plus-task06-init026,before_alarm,24,random,0.5825,0.0035452661959010172,False,0,0.6878285181041323,0.006798858331661826,0.49217556774335863,0.10407617929457955,0.012732360917030165,0.011961488172492563,0.015702930701716668
plus-task06-init026,first_accepted,30,combo,0.4525,0.002634067006440413,True,0,0.569081988333593,0.005774547342082513,0.3925942850005287,0.0855248168200052,0.012568311051910587,0.01252304542517729,0.01916924520026547
plus-task06-init026,first_accepted,30,opposite,0.54,0.0023178230245356865,False,0,0.6700044199786205,0.006798620401419548,0.42759443426412647,0.08945345334193644,0.01126096050789248,0.01054230314121526,0.013849715319885745
plus-task06-init026,first_accepted,30,random,0.5,0.00267526000517488,False,0,0.6869669811189898,0.006970741071903597,0.39352658903722476,0.08414614062989018,0.010950121467944968,0.010841193121471122,0.012690990109868223
plus-task06-init026,last_accepted,41,combo,0.48,0.0021407993854983265,True,0,0.5812224618161969,0.005725074968555691,0.48762638173233375,0.09046447534433524,0.011920693575070479,0.011512125918229347,0.016954262980233652
plus-task06-init026,last_accepted,41,opposite,0.5575,0.002040839464885511,False,0,0.6862005352904565,0.006759114532875424,0.6135027726957828,0.11486322826312083,0.014752334264010887,0.013256320986623596,0.015072007332447205
plus-task06-init026,last_accepted,41,random,0.575,0.0029077616148233476,False,0,0.5130394683059673,0.005053468530952869,0.4724443204389502,0.08325477466144082,0.011005499384272126,0.011473556269760033,0.017620312481364055
plus-task03-init026,before_alarm,28,combo,0.5475,0.0035053825749092847,True,0,0.513581399013994,0.006162134580072582,0.5085424156852573,0.0958969993203796,0.01309980208586095,0.012612760783738053,0.021892861104072646
plus-task03-init026,before_alarm,28,opposite,0.5225,0.0034278463461779657,False,0,0.5923572490933744,0.007107315253152882,0.46441742281560117,0.09058444066616095,0.012578984401855967,0.011699097665325047,0.017665311942878157
plus-task03-init026,before_alarm,28,random,0.55,0.0029331295599141277,False,0,0.4889284133831544,0.005866339466766725,0.4822564262806252,0.0931004201918455,0.012621494906589321,0.012079406248767579,0.01684328429949334
plus-task03-init026,first_accepted,35,combo,0.5075,0.0025875195301851696,True,0,0.5183087551306995,0.0059298073426275995,0.4373832572022681,0.08703408327717803,0.012185010953102399,0.011009051172863162,0.013765944907034365
plus-task03-init026,first_accepted,35,opposite,0.5075,0.002196534435954364,False,0,0.6313093697437072,0.007222611705349798,0.4428918027233957,0.08739206462861099,0.011884600138577384,0.011143023250710845,0.012910960065671185
plus-task03-init026,first_accepted,35,random,0.53,0.002189333942255424,False,0,0.521030604787215,0.005960947139739653,0.43318104399620255,0.08572475091064319,0.012128650888356837,0.011409912227587074,0.014431567775601782
plus-task03-init026,last_accepted,45,combo,0.7225,0.004872052459958727,True,0,0.6950229821033104,0.008321686804955625,0.6179759016779245,0.11916199487913884,0.013604868339100549,0.013318441587925304,0.014277217520026782
