benchmark,method,arm,parents,native_successes,alarms,true_positives,false_positives,precision,recall,false_positive_rate,eligible_states,failed_states,successful_states,terminal_alarms,rescue_successes,failed_parent_branches,harm_failures,successful_parent_branches,rescue_rate,harm_rate,alarm_state_success_rate,policy_success_rate,policy_delta_vs_random,base_task_clusters,policy_delta_cluster_ci_low,policy_delta_cluster_ci_high,mean_deployment_queries
all,v7_frozen,random,12,5,4,4,0,1.0,0.5714285714285714,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,v7_frozen,short_chunk,12,5,4,4,0,1.0,0.5714285714285714,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.75
all,v7_frozen,edge_noise,12,5,4,4,0,1.0,0.5714285714285714,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,42.416666666666664
all,v7_frozen,swap1,12,5,4,4,0,1.0,0.5714285714285714,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,v8_frozen,random,12,5,5,5,0,1.0,0.7142857142857143,0.0,5,5,0,0,0,20,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,v8_frozen,short_chunk,12,5,5,5,0,1.0,0.7142857142857143,0.0,5,5,0,0,0,20,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.833333333333336
all,v8_frozen,edge_noise,12,5,5,5,0,1.0,0.7142857142857143,0.0,5,5,0,0,0,20,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,42.666666666666664
all,v8_frozen,swap1,12,5,5,5,0,1.0,0.7142857142857143,0.0,5,5,0,0,0,20,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,knn20,random,12,5,7,7,0,1.0,1.0,0.0,7,7,0,0,0,28,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,knn20,short_chunk,12,5,7,7,0,1.0,1.0,0.0,7,7,0,0,0,28,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,42.0
all,knn20,edge_noise,12,5,7,7,0,1.0,1.0,0.0,7,7,0,0,0,28,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,43.166666666666664
all,knn20,swap1,12,5,7,7,0,1.0,1.0,0.0,7,7,0,0,0,28,0,0,0.0,,0.0,0.4166666666666667,0.0,7,,,41.416666666666664
all,knn_euclidean_OR_cosine,random,12,5,8,7,1,0.875,1.0,0.2,8,7,1,0,0,28,0,4,0.0,0.0,0.125,0.4166666666666667,0.0,7,,,41.416666666666664
all,knn_euclidean_OR_cosine,short_chunk,12,5,8,7,1,0.875,1.0,0.2,8,7,1,0,0,28,0,4,0.0,0.0,0.125,0.4166666666666667,0.0,7,,,42.0625
all,knn_euclidean_OR_cosine,edge_noise,12,5,8,7,1,0.875,1.0,0.2,8,7,1,0,0,28,0,4,0.0,0.0,0.125,0.4166666666666667,0.0,7,,,43.416666666666664
all,knn_euclidean_OR_cosine,swap1,12,5,8,7,1,0.875,1.0,0.2,8,7,1,0,0,28,0,4,0.0,0.0,0.125,0.4166666666666667,0.0,7,,,41.416666666666664
pro,v7_frozen,random,5,1,2,2,0,1.0,0.5,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,v7_frozen,short_chunk,5,1,2,2,0,1.0,0.5,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.2,0.0,5,,,46.6
pro,v7_frozen,edge_noise,5,1,2,2,0,1.0,0.5,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.2,0.0,5,,,47.4
pro,v7_frozen,swap1,5,1,2,2,0,1.0,0.5,0.0,2,2,0,0,0,8,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,v8_frozen,random,5,1,3,3,0,1.0,0.75,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,v8_frozen,short_chunk,5,1,3,3,0,1.0,0.75,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.2,0.0,5,,,46.8
pro,v8_frozen,edge_noise,5,1,3,3,0,1.0,0.75,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.2,0.0,5,,,48.0
pro,v8_frozen,swap1,5,1,3,3,0,1.0,0.75,0.0,3,3,0,0,0,12,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,knn20,random,5,1,4,4,0,1.0,1.0,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,knn20,short_chunk,5,1,4,4,0,1.0,1.0,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.2,0.0,5,,,47.0
pro,knn20,edge_noise,5,1,4,4,0,1.0,1.0,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.2,0.0,5,,,48.6
pro,knn20,swap1,5,1,4,4,0,1.0,1.0,0.0,4,4,0,0,0,16,0,0,0.0,,0.0,0.2,0.0,5,,,46.2
pro,knn_euclidean_OR_cosine,random,5,1,5,4,1,0.8,1.0,1.0,5,4,1,0,0,16,0,4,0.0,0.0,0.2,0.2,0.0,5,,,46.2
pro,knn_euclidean_OR_cosine,short_chunk,5,1,5,4,1,0.8,1.0,1.0,5,4,1,0,0,16,0,4,0.0,0.0,0.2,0.2,0.0,5,,,47.15
