snapshot_key,model,observed_failure_rate,predicted_failure_rate
w00_s000,mean_rate,0.5625,0.6875
w01_s000,mean_rate,1.0,0.5416666666666666
w02_s000,mean_rate,1.0,0.5416666666666666
w03_s000,mean_rate,0.0625,0.8541666666666666
w00_s000,initial_sim_state,0.5625,0.23078078031539917
w01_s000,initial_sim_state,1.0,1.0
w02_s000,initial_sim_state,1.0,0.38163816928863525
w03_s000,initial_sim_state,0.0625,0.7503430843353271
w00_s000,initial_policy_state,0.5625,0.4179709851741791
w01_s000,initial_policy_state,1.0,0.7167501449584961
w02_s000,initial_policy_state,1.0,0.7435867786407471
w03_s000,initial_policy_state,0.0625,0.697543740272522
w00_s000,mean_output_action,0.5625,0.0
w01_s000,mean_output_action,1.0,0.9346745014190674
w02_s000,mean_output_action,1.0,0.0
w03_s000,mean_output_action,0.0625,0.9170878529548645
w00_s000,as_moe,0.5625,0.6875
w01_s000,as_moe,1.0,0.5416666865348816
w02_s000,as_moe,1.0,0.5416666865348816
w03_s000,as_moe,0.0625,0.8541666865348816
w00_s000,mean_moe_action,0.5625,0.3355984091758728
w01_s000,mean_moe_action,1.0,0.7773779630661011
w02_s000,mean_moe_action,1.0,0.5838549733161926
w03_s000,mean_moe_action,0.0625,0.7833764553070068
w00_s000,mean_moe_state,0.5625,0.16371095180511475
w01_s000,mean_moe_state,1.0,0.8863601684570312
w02_s000,mean_moe_state,1.0,0.3641284704208374
w03_s000,mean_moe_state,0.0625,0.799307644367218
w00_s000,mean_moe_action+state,0.5625,0.2557387351989746
w01_s000,mean_moe_action+state,1.0,0.8316699266433716
w02_s000,mean_moe_action+state,1.0,0.4680681526660919
w03_s000,mean_moe_action+state,0.0625,0.7898336052894592
w00_s000,sim_state+mean_moe_action+state,0.5625,0.2550825774669647
w01_s000,sim_state+mean_moe_action+state,1.0,0.8337907791137695
w02_s000,sim_state+mean_moe_action+state,1.0,0.46724289655685425
w03_s000,sim_state+mean_moe_action+state,0.0625,0.7896033525466919
