geometry,published,geometry_false_alarms,published_false_alarms,shared_false_alarms,dependence_ratio
shape_pr|per_task,mobility|global,31,17,1,28.531309297912717
shape_pr|per_task,mobility|per_task,31,57,7,59.56536502546689
shape_pr|per_task,expert_load_effective_rank|per_task,31,93,19,99.09261186264308
shape_pr|global,mobility|global,32,17,1,27.639705882352942
shape_pr|global,mobility|per_task,32,57,1,8.243421052631579
shape_pr|global,expert_load_effective_rank|per_task,32,93,0,0.0
shape_erank|per_task,mobility|global,34,17,1,26.013840830449826
shape_erank|per_task,mobility|per_task,34,57,4,31.03405572755418
shape_erank|per_task,expert_load_effective_rank|per_task,34,93,15,71.32827324478178
shape_erank|global,mobility|global,34,17,1,26.013840830449826
shape_erank|global,mobility|per_task,34,57,1,7.758513931888545
shape_erank|global,expert_load_effective_rank|per_task,34,93,0,0.0
lam1_share|per_task,mobility|global,65,17,2,27.214479638009053
lam1_share|per_task,mobility|per_task,65,57,7,28.408097165991904
lam1_share|per_task,expert_load_effective_rank|per_task,65,93,27,67.15831265508685
lam1_share|global,mobility|global,23,17,1,38.45524296675192
lam1_share|global,mobility|per_task,23,57,1,11.469107551487415
lam1_share|global,expert_load_effective_rank|per_task,23,93,0,0.0
lam12_share|per_task,mobility|global,19,17,0,0.0
lam12_share|per_task,mobility|per_task,19,57,3,41.65096952908587
lam12_share|per_task,expert_load_effective_rank|per_task,19,93,13,110.6213921901528
lam12_share|global,mobility|global,42,17,3,63.1764705882353
lam12_share|global,mobility|per_task,42,57,2,12.56140350877193
lam12_share|global,expert_load_effective_rank|per_task,42,93,0,0.0
bandedness|per_task,mobility|global,52,17,2,34.01809954751131
bandedness|per_task,mobility|per_task,52,57,5,25.364372469635626
bandedness|per_task,expert_load_effective_rank|per_task,52,93,12,37.31017369727047
bandedness|global,mobility|global,8,17,1,110.55882352941177
bandedness|global,mobility|per_task,8,57,0,0.0
bandedness|global,expert_load_effective_rank|per_task,8,93,0,0.0
d_cv|per_task,mobility|global,8,17,0,0.0
d_cv|per_task,mobility|per_task,8,57,2,65.94736842105263
d_cv|per_task,expert_load_effective_rank|per_task,8,93,2,40.41935483870967
d_cv|global,mobility|global,7,17,2,252.70588235294116
d_cv|global,mobility|per_task,7,57,1,37.68421052631579
d_cv|global,expert_load_effective_rank|per_task,7,93,0,0.0
size|per_task,mobility|global,31,17,2,57.062618595825434
size|per_task,mobility|per_task,31,57,5,42.54668930390492
size|per_task,expert_load_effective_rank|per_task,31,93,14,73.01560874089489
size|global,mobility|global,10,17,0,0.0
size|global,mobility|per_task,10,57,0,0.0
size|global,expert_load_effective_rank|per_task,10,93,0,0.0
kernel_trace|per_task,mobility|global,12,17,1,73.70588235294117
kernel_trace|per_task,mobility|per_task,12,57,3,65.94736842105263
kernel_trace|per_task,expert_load_effective_rank|per_task,12,93,4,53.892473118279575
kernel_trace|global,mobility|global,8,17,1,110.55882352941177
kernel_trace|global,mobility|per_task,8,57,2,65.94736842105263
kernel_trace|global,expert_load_effective_rank|per_task,8,93,4,80.83870967741935
centroid_norm2|per_task,mobility|global,12,17,1,73.70588235294117
centroid_norm2|per_task,mobility|per_task,12,57,3,65.94736842105263
centroid_norm2|per_task,expert_load_effective_rank|per_task,12,93,4,53.892473118279575
centroid_norm2|global,mobility|global,10,17,1,88.44705882352942
centroid_norm2|global,mobility|per_task,10,57,3,79.13684210526317
centroid_norm2|global,expert_load_effective_rank|per_task,10,93,4,64.67096774193548
procrustes_layer|per_task,mobility|global,2,17,1,442.2352941176471
procrustes_layer|per_task,mobility|per_task,2,57,1,131.89473684210526
procrustes_layer|per_task,expert_load_effective_rank|per_task,2,93,2,161.6774193548387
procrustes_layer|global,mobility|global,3,17,0,0.0
procrustes_layer|global,mobility|per_task,3,57,0,0.0
procrustes_layer|global,expert_load_effective_rank|per_task,3,93,0,0.0
procrustes_prev|per_task,mobility|global,34,17,0,0.0
procrustes_prev|per_task,mobility|per_task,34,57,2,15.51702786377709
procrustes_prev|per_task,expert_load_effective_rank|per_task,34,93,5,23.776091081593925
procrustes_prev|global,mobility|global,10,17,0,0.0
procrustes_prev|global,mobility|per_task,10,57,1,26.378947368421056
procrustes_prev|global,expert_load_effective_rank|per_task,10,93,4,64.67096774193548
procrustes_self|per_task,mobility|global,8,17,0,0.0
procrustes_self|per_task,mobility|per_task,8,57,1,32.973684210526315
procrustes_self|per_task,expert_load_effective_rank|per_task,8,93,5,101.04838709677419
procrustes_self|global,mobility|global,9,17,4,393.09803921568624
procrustes_self|global,mobility|per_task,9,57,2,58.619883040935676
procrustes_self|global,expert_load_effective_rank|per_task,9,93,0,0.0
kernel_erank|per_task,mobility|global,10,17,4,353.78823529411767
kernel_erank|per_task,mobility|per_task,10,57,4,105.51578947368422
kernel_erank|per_task,expert_load_effective_rank|per_task,10,93,4,64.67096774193548
kernel_erank|global,mobility|global,158,17,2,11.195830230826507
kernel_erank|global,mobility|per_task,158,57,1,1.6695536309127248
kernel_erank|global,expert_load_effective_rank|per_task,158,93,6,6.139648836259698
mobility|per_task,mobility|global,57,17,7,108.61919504643963
mobility|per_task,mobility|per_task,57,57,57,263.7894736842105
mobility|per_task,expert_load_effective_rank|per_task,57,93,14,39.71024335031126
mobility|global,mobility|global,17,17,17,884.4705882352941
mobility|global,mobility|per_task,17,57,7,108.61919504643963
mobility|global,expert_load_effective_rank|per_task,17,93,4,38.04174573055028
