quantity,frame,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_precision,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,median_alarm_chunk
shape_pr,shape_spectrum,per_task,True,all_median,high,0.925,149,20,41,0.8723404255319149,166,31,0.29432624113475175,0.0020617185421654693,0.8426395939086294,58,20,0.7435897435897436,0.3493975903614458,0.5702045084868338,1.4777848673009681,18.0
shape_pr,shape_spectrum,global,True,L5,high,0.96,81,29,20,0.6896551724137931,105,32,0.18617021276595744,0.002128225591912743,0.7664233576642335,21,10,0.6774193548387096,0.2,0.5474743976353763,1.3999254777475083,27.0
shape_erank,shape_spectrum,per_task,True,front_median,high,0.85,171,38,40,0.6153846153846154,213,34,0.3776595744680851,0.002261239691407289,0.8623481781376519,60,25,0.7058823529411765,0.28169014084507044,0.60641524209564,1.422042386595632,18.0
shape_erank,shape_spectrum,global,True,L5,high,0.96,64,22,13,0.65,96,34,0.1702127659574468,0.002261239691407289,0.7384615384615385,15,6,0.7142857142857143,0.15625,0.5371718574097369,1.3747211963456687,28.0
lam1_share,shape_spectrum,per_task,True,all_median,low,0.85,177,37,45,0.6428571428571429,226,65,0.40070921985815605,0.004322958233572758,0.7766323024054983,68,51,0.5714285714285714,0.3008849557522124,0.533741707761595,1.4550714158399527,18.0
lam1_share,shape_spectrum,global,True,L5,low,0.96,91,17,19,0.6129032258064516,95,23,0.16843971631205673,0.0015296621441872838,0.8050847457627118,33,17,0.66,0.3473684210526316,0.47863148608453127,1.6820555462172948,24.5
lam12_share,shape_spectrum,per_task,True,front_median,low,0.925,116,10,36,0.8780487804878049,150,19,0.26595744680851063,0.001263633945198191,0.8875739644970414,49,13,0.7903225806451613,0.32666666666666666,0.615610770032564,1.4417778370740513,19.0
lam12_share,shape_spectrum,global,True,L5,low,0.925,104,37,21,0.6176470588235294,123,42,0.21808510638297873,0.002793296089385475,0.7454545454545455,18,11,0.6206896551724138,0.14634146341463414,0.5772429243898145,1.2914052541095107,27.0
bandedness,shape_order,per_task,True,L2,low,0.9,137,39,55,0.6179775280898876,139,52,0.24645390070921985,0.003458366586858207,0.7277486910994765,49,45,0.5212765957446809,0.35251798561151076,0.44472872602436053,1.6363878663857958,15.0
bandedness,shape_order,global,True,L12,high,0.9,7,1,2,0.6666666666666666,4,8,0.0070921985815602835,0.0005320563979781857,0.3333333333333333,0,4,0.0,0.0,0.5338989679370257,0.6243378492026801,27.0
d_cv,shape_order,per_task,True,L4,low,0.95,46,10,12,0.8,76,8,0.1347517730496454,0.0005320563979781857,0.9047619047619048,13,4,0.7647058823529411,0.17105263157894737,0.7172921742851562,1.2613575572096243,24.0
d_cv,shape_order,global,True,L3,high,0.98,16,6,4,0.8,8,7,0.014184397163120567,0.0004655493482309125,0.5333333333333333,4,3,0.5714285714285714,0.5,0.4469793121039753,1.1931946711870873,21.0
size,configuration_scale,per_task,True,L2,high,0.95,111,35,35,0.603448275862069,103,31,0.18262411347517732,0.0020617185421654693,0.7686567164179104,35,21,0.625,0.33980582524271846,0.49241390809623686,1.5609971688039423,18.0
size,configuration_scale,global,True,L15,low,0.96,17,8,14,0.6363636363636364,15,10,0.026595744680851064,0.0006650704974727321,0.6,13,10,0.5652173913043478,0.8666666666666667,0.1912547839455213,3.1371764283339925,15.0
kernel_trace,configuration_scale,per_task,True,L4,low,0.95,26,5,15,0.7894736842105263,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506,17.0
kernel_trace,configuration_scale,global,True,L14,low,0.975,26,6,2,1.0,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.547199161584969,1.4709051206313053,30.0
centroid_norm2,configuration_scale,per_task,True,L4,low,0.95,26,5,15,0.8333333333333334,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3917896897619976,1.927314731725156,17.0
centroid_norm2,configuration_scale,global,True,L14,low,0.975,24,7,2,0.6666666666666666,33,10,0.05851063829787234,0.0006650704974727321,0.7674418604651163,4,4,0.5,0.12121212121212122,0.4913810065074476,1.5618061144035786,30.0
procrustes_layer,corpus_template,per_task,True,back_median,high,0.995,15,1,2,1.0,7,2,0.012411347517730497,0.00013301409949454643,0.7777777777777778,0,0,0.0,0.0,0.762077183904013,1.0206023670638358,25.0
procrustes_layer,corpus_template,global,True,L15,high,0.995,7,2,2,0.6666666666666666,23,3,0.040780141843971635,0.00019952114924181964,0.8846153846153846,1,3,0.25,0.043478260869565216,0.6498255305296612,1.3613121415749092,27.5
procrustes_prev,adjacent_query,per_task,True,front_median,high,0.9,90,26,32,0.6037735849056604,123,34,0.21808510638297873,0.002261239691407289,0.7834394904458599,39,25,0.609375,0.3170731707317073,0.49919708557945686,1.5693991673378076,16.0
procrustes_prev,adjacent_query,global,True,L13,high,0.975,35,7,7,0.7,61,10,0.10815602836879433,0.0006650704974727321,0.8591549295774648,17,7,0.7083333333333334,0.2786885245901639,0.4894301925024355,1.7554187353760147,25.0
procrustes_self,own_history,per_task,True,back_median,high,0.975,39,8,6,0.6,45,8,0.0797872340425532,0.0005320563979781857,0.8490566037735849,12,5,0.7058823529411765,0.26666666666666666,0.5414487583024955,1.5681199573445799,20.0
procrustes_self,own_history,global,True,L4,low,0.96,62,10,5,0.7142857142857143,39,9,0.06914893617021277,0.0005985634477254589,0.8125,8,4,0.6666666666666666,0.20512820512820512,0.5932933423791223,1.3694743257051445,26.5
kernel_erank,control_published,per_task,True,L13,low,0.9,118,20,26,0.6190476190476191,103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444,21.0
kernel_erank,control_published,global,True,L3,high,0.925,42,20,27,0.6136363636363636,88,158,0.15602836879432624,0.010508113860069168,0.35772357723577236,46,155,0.22885572139303484,0.5227272727272727,0.18227520306494632,1.962546584618601,17.0
mobility,control_published,per_task,True,L2,low,0.7,243,31,41,0.6949152542372882,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,20.0
mobility,control_published,global,True,L12,low,0.975,172,15,18,0.782608695652174,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,34.0
