calibration,alpha,method,baseline,scope,gained_tp,lost_tp,added_fp,removed_fp,shared_tp,earlier,same,later,median_query_delta
episode,0.005,v82_integrated,v82_reference,all,25,72,29,37,320,29,64,227,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal,1,22,0,5,61,4,17,40,1.0
episode,0.005,v82_integrated,v82_reference,libero_long,18,20,28,20,181,20,32,129,1.0
episode,0.005,v82_integrated,v82_reference,libero_object,2,4,1,12,16,0,5,11,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial,4,26,0,0,62,5,10,47,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,0,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,17,0,0,25,0,6,19,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/push_the_plate_to_the_front_of_the_stove,0,0,0,2,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_the_plate,0,4,0,0,1,0,0,1,2.0
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_the_stove,1,0,0,0,8,0,2,6,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,0,0,16,0,6,10,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_cream_cheese_in_the_bowl,0,1,0,3,8,4,3,1,-0.5
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_wine_bottle_on_the_rack,0,0,0,0,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0,0,0,0,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_goal/turn_on_the_stove,0,0,0,0,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,0,0,0,4,0,1,3,2.0
episode,0.005,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,0,6,1,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,0,5,0,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,13,0,5,92,2,14,76,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,2,1,3,0,26,3,5,18,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,0,0,0,8,0,1,7,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,0,4,2,2,0,0,2,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,1,2,0,2,12,0,4,8,1.0
episode,0.005,v82_integrated,v82_reference,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,13,4,9,1,29,12,7,10,0.0
episode,0.005,v82_integrated,v82_reference,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,0,1,9,6,3,0,3,-0.5
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,0,1,0,2,0,1,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,2,0,0,3,0,2,1,0.0
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,0,0,8,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,0,0,2,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,1,0,0,0,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0,0,0,0,1,0,0,1,1.0
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_milk_and_place_it_in_the_basket,1,1,0,1,4,0,1,3,2.5
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,0,0,0,1,1,0,1,0,0.0
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0,1,0,0,2,0,0,2,1.5
episode,0.005,v82_integrated,v82_reference,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,0,0,0,3,0,0,3,2.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,0,0,0,3,0,1,2,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,4,0,0,5,0,1,4,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,0,0,0,0,0,0,
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,2,2,0,0,3,2,1,0,-2.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,2,0,0,3,1,1,1,0.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,1,0,0,10,0,3,7,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,2,0,0,7,1,1,5,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,8,0,0,25,0,2,23,1.0
episode,0.005,v82_integrated,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,7,0,0,6,1,0,5,1.0
episode,0.005,dynamics_only,v82_reference,all,37,307,40,56,85,35,7,43,1.0
episode,0.005,dynamics_only,v82_reference,libero_goal,1,65,0,5,18,5,3,10,1.0
episode,0.005,dynamics_only,v82_reference,libero_long,21,152,37,37,49,24,0,25,1.0
episode,0.005,dynamics_only,v82_reference,libero_object,2,17,3,13,3,0,1,2,1.0
episode,0.005,dynamics_only,v82_reference,libero_spatial,13,73,0,1,15,6,3,6,0.0
episode,0.005,dynamics_only,v82_reference,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,41,0,0,1,0,0,1,7.0
episode,0.005,dynamics_only,v82_reference,libero_goal/push_the_plate_to_the_front_of_the_stove,0,0,0,2,1,0,0,1,11.0
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_bowl_on_the_plate,0,4,0,0,1,0,0,1,12.0
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_bowl_on_the_stove,1,0,0,0,8,0,2,6,1.0
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,16,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_cream_cheese_in_the_bowl,0,2,0,3,7,5,1,1,-1.0
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_wine_bottle_on_the_rack,0,1,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0,1,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_goal/turn_on_the_stove,0,0,0,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,3,0,0,1,1,0,0,-16.0
episode,0.005,dynamics_only,v82_reference,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,1,7,0,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,1,7,3,0,0,0,0,
episode,0.005,dynamics_only,v82_reference,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,103,1,12,2,2,0,0,-1.0
