event,channel,unit,alpha,support,order_rank,threshold,calibration_fpr,test_healthy_episodes,test_healthy_episode_alarms,test_episode_fpr,test_healthy_scene_clusters,test_healthy_scene_cluster_alarms,test_scene_cluster_fpr,test_event_episodes,test_detected_by_onset_minus_2,test_recall_by_onset_minus_2,test_detected_by_onset,test_recall_by_onset,test_median_first_alarm_lead
loop,r2_flow_instability,episode_maximum,0.05,7385,7017,0.9936073422431946,0.04969532836831415,7525,475,0.06312292358803986,991,157,0.1584258324924319,322,32,0.09937888198757763,34,0.10559006211180125,-4.5
loop,r2_flow_instability,scene_cluster_maximum,0.05,981,933,0.9969790577888489,0.04892966360856269,7525,138,0.018338870431893688,991,73,0.07366296670030273,322,24,0.07453416149068323,25,0.07763975155279502,-2.0
loop,r3_loop_graph_evidence,episode_maximum,0.05,7385,7017,0.9973071813583374,0.049559918754231554,7525,427,0.05674418604651163,991,121,0.12209889001009082,322,16,0.049689440993788817,18,0.055900621118012424,-4.0
loop,r3_loop_graph_evidence,scene_cluster_maximum,0.05,981,933,0.9993535876274109,0.04892966360856269,7525,181,0.0240531561461794,991,54,0.054490413723511606,322,10,0.031055900621118012,10,0.031055900621118012,-2.0
static,r3_static_authority_loss,episode_maximum,0.05,7385,7017,0.9498820900917053,0.04983073798239675,7525,339,0.045049833887043186,991,177,0.17860746720484358,118,21,0.17796610169491525,21,0.17796610169491525,-14.0
static,r3_static_authority_loss,scene_cluster_maximum,0.05,981,933,0.9772496223449707,0.04892966360856269,7525,66,0.00877076411960133,991,44,0.044399596367305755,118,7,0.059322033898305086,7,0.059322033898305086,-14.0
static,r3_static_lockin,episode_maximum,0.05,7385,7017,0.9285010695457458,0.04969532836831415,7525,199,0.026445182724252492,991,91,0.09182643794147326,118,116,0.9830508474576272,116,0.9830508474576272,-7.0
static,r3_static_lockin,scene_cluster_maximum,0.05,981,933,0.9347371459007263,0.04892966360856269,7525,63,0.008372093023255815,991,38,0.03834510595358224,118,113,0.9576271186440678,114,0.9661016949152542,-7.0
loop,r4_healthy_energy,episode_maximum,0.05,7385,7017,108.80242156982422,0.04983073798239675,7525,427,0.05674418604651163,991,150,0.15136226034308778,322,13,0.040372670807453416,18,0.055900621118012424,-2.0
loop,r4_healthy_energy,scene_cluster_maximum,0.05,981,933,230.77056884765625,0.04892966360856269,7525,24,0.0031893687707641198,991,22,0.022199798183652877,322,5,0.015527950310559006,8,0.024844720496894408,-1.0
static,r4_healthy_energy,episode_maximum,0.05,7385,7017,108.80242156982422,0.04983073798239675,7525,427,0.05674418604651163,991,150,0.15136226034308778,118,7,0.059322033898305086,7,0.059322033898305086,-15.5
static,r4_healthy_energy,scene_cluster_maximum,0.05,981,933,230.77056884765625,0.04892966360856269,7525,24,0.0031893687707641198,991,22,0.022199798183652877,118,2,0.01694915254237288,2,0.01694915254237288,-21.0
loop,hsmm_loop_belief,episode_maximum,0.05,7385,7017,0.9976906267984305,0.04983073798239675,7525,320,0.0425249169435216,991,161,0.16246215943491424,322,26,0.08074534161490683,36,0.11180124223602485,1.0
loop,hsmm_loop_belief,scene_cluster_maximum,0.05,981,933,0.9999836785718799,0.04892966360856269,7525,44,0.005847176079734219,991,31,0.03128153380423814,322,6,0.018633540372670808,9,0.027950310559006212,4.0
static,hsmm_static_belief,episode_maximum,0.05,7385,7017,0.9950317144393921,0.04983073798239675,7525,1441,0.19149501661129567,991,228,0.23007063572149344,118,111,0.940677966101695,112,0.9491525423728814,-31.0
static,hsmm_static_belief,scene_cluster_maximum,0.05,981,933,0.999823091471626,0.04892966360856269,7525,919,0.12212624584717607,991,172,0.17356205852674067,118,109,0.923728813559322,110,0.9322033898305084,-30.0
