method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,2.095604419708252,546,550,4
euclidean,episode,0.03,1.709343433380127,535,550,15
euclidean,episode,0.05,1.5115138292312622,524,550,26
euclidean,episode,0.1,1.3281508684158325,496,550,54
euclidean,episode,0.15,1.240251064300537,469,550,81
euclidean,episode,0.2,1.1697783470153809,441,550,109
euclidean,task_init,0.01,inf,71,70,0
euclidean,task_init,0.03,2.2631239891052246,69,70,1
euclidean,task_init,0.05,2.2302961349487305,68,70,2
euclidean,task_init,0.1,1.709343433380127,64,70,6
euclidean,task_init,0.15,1.4723867177963257,61,70,9
euclidean,task_init,0.2,1.3807164430618286,57,70,13
cosine,episode,0.01,0.32852035760879517,546,550,4
cosine,episode,0.03,0.2604409158229828,535,550,15
cosine,episode,0.05,0.23809248208999634,524,550,26
cosine,episode,0.1,0.19365452229976654,496,550,54
cosine,episode,0.15,0.15342877805233002,469,550,81
cosine,episode,0.2,0.13769930601119995,441,550,109
cosine,task_init,0.01,inf,71,70,0
cosine,task_init,0.03,0.35272520780563354,69,70,1
cosine,task_init,0.05,0.34773120284080505,68,70,2
cosine,task_init,0.1,0.28469207882881165,64,70,6
cosine,task_init,0.15,0.23815269768238068,61,70,9
cosine,task_init,0.2,0.19298376142978668,57,70,13
