method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,3.7188374996185303,516,520,4
euclidean,episode,0.03,2.4972848892211914,506,520,14
euclidean,episode,0.05,2.2644810676574707,495,520,25
euclidean,episode,0.1,1.9490835666656494,469,520,51
euclidean,episode,0.15,1.8311376571655273,443,520,77
euclidean,episode,0.2,1.7509188652038574,417,520,103
euclidean,task_init,0.01,inf,71,70,0
euclidean,task_init,0.03,4.568849563598633,69,70,1
euclidean,task_init,0.05,4.067817211151123,68,70,2
euclidean,task_init,0.1,2.6674742698669434,64,70,6
euclidean,task_init,0.15,2.4972848892211914,61,70,9
euclidean,task_init,0.2,2.181267738342285,57,70,13
cosine,episode,0.01,0.4066438376903534,516,520,4
cosine,episode,0.03,0.36302289366722107,506,520,14
cosine,episode,0.05,0.35114845633506775,495,520,25
cosine,episode,0.1,0.31235966086387634,469,520,51
cosine,episode,0.15,0.29477518796920776,443,520,77
cosine,episode,0.2,0.2809453308582306,417,520,103
cosine,task_init,0.01,inf,71,70,0
cosine,task_init,0.03,0.4271288812160492,69,70,1
cosine,task_init,0.05,0.4215928316116333,68,70,2
cosine,task_init,0.1,0.39041492342948914,64,70,6
cosine,task_init,0.15,0.3635168671607971,61,70,9
cosine,task_init,0.2,0.3538070321083069,57,70,13
