dataset,view,side,snapshots,median_ratio_d9_d0,bootstrap_median_95_low,bootstrap_median_95_high,contracting_snapshots,sign_test_p_contraction,median_d0,median_d9
fork_pilot_n32,action_conditional,back,20,1.5953653475686589,0.8063172934447609,2.789019393282354,8,0.8684120178222656,0.001501465740147978,0.002671608526725322
fork_pilot_n32,action_conditional,front,20,0.7628609290679595,0.6957724632489264,0.8156052267768261,20,9.5367431640625e-07,0.005653582978993654,0.004015737678855658
fork_pilot_n32,action_partial,back,20,2.8071291927176247,0.924843575838828,6.642163652302085,7,0.9423408508300781,0.015412657056003809,0.0399907398968935
fork_pilot_n32,action_partial,front,20,0.6121353785665523,0.5819460289506209,0.7855180848278367,16,0.005908966064453125,0.007991439197212458,0.005033109337091446
fork_pilot_n32,action_relation,back,20,4.389196352070194,1.182144126346731,14.510179478936497,5,0.9940910339355469,0.00037560498458333313,0.0016235584625974298
fork_pilot_n32,action_relation,front,20,0.9422397967865089,0.6361832683394189,1.1586227617721672,11,0.41190147399902344,0.0007619743701070547,0.0007540601072832942
fork_pilot_n32,action_shape,back,20,4.46788759119726,1.170437812473228,13.851085192164959,5,0.9940910339355469,0.000356594828190282,0.00155807237024419
fork_pilot_n32,action_shape,front,20,0.9482187769790995,0.6366771945235348,1.1380793385132555,12,0.2517223358154297,0.0007245031592901796,0.0007038975018076599
rolling_star_k16,action_conditional,back,22,1.0061055086992483,0.9628378893317879,1.061652544102583,11,0.5840940475463867,0.0011701636831276119,0.0011994330561719835
rolling_star_k16,action_conditional,front,22,0.5619949966662454,0.50669799795832,0.6299617523481729,22,2.384185791015625e-07,0.00713160471059382,0.0040322644636034966
rolling_star_k16,action_partial,back,22,1.3574307116782747,1.2979934432383318,1.427696365069181,0,1.0,0.015651419758796692,0.021442937664687634
rolling_star_k16,action_partial,front,22,0.3988906558588031,0.377219909549279,0.44873172699964936,22,2.384185791015625e-07,0.009678090922534466,0.003770466544665396
rolling_star_k16,action_relation,back,22,1.410601525514858,1.3390480273272258,1.509101691672363,0,1.0,0.00034502930066082627,0.0004891013959422708
rolling_star_k16,action_relation,front,22,0.3999384488485448,0.37038978609604034,0.46269409443509885,22,2.384185791015625e-07,0.0011799995554611087,0.0004656102682929486
rolling_star_k16,action_shape,back,22,1.397246887212265,1.3422656629120098,1.5106962371704464,0,1.0,0.00032345240470021963,0.00046459923032671213
rolling_star_k16,action_shape,front,22,0.39811409091818173,0.37178048995903556,0.4571760229784729,22,2.384185791015625e-07,0.0011212403187528253,0.0004420822369866073
