task,init_state_id,success_cell_n,success_cell_weight,threshold_static_pre90,threshold_eef_reversal,threshold_late_activity_min,threshold_late_path_efficiency_low,threshold_late_goal_progress_low,threshold_gripper_flip_rate,threshold_goal_regression_m,threshold_goal_approach_exits,threshold_lift_onsets_per_target,threshold_lift_losses_per_target,threshold_midlate_activity_q25
libero_goal/open_the_middle_drawer_of_the_cabinet,0,32,0.8,0.15,0.096,0.04309039868205477,0.2908101650111675,,0.06,,0.25,1.25,0.25,0.037661304657402875
libero_goal/open_the_middle_drawer_of_the_cabinet,3,32,0.8,0.15,0.1,0.045116040353869145,0.2588997475129832,,0.06,,0.25,1.25,0.25,0.04048486621708072
libero_goal/open_the_middle_drawer_of_the_cabinet,7,32,0.8,0.15,0.11999999999999997,0.04760331350794648,0.3244916110504861,,0.06,,0.25,1.25,0.25,0.04250362518314119
libero_goal/open_the_middle_drawer_of_the_cabinet,10,32,0.8,0.15,0.09272727272727274,0.0460645224603618,0.35841048024729183,,0.06,,0.25,1.25,0.25,0.041828252661194026
libero_goal/open_the_middle_drawer_of_the_cabinet,13,32,0.8,0.15,0.09272727272727274,0.04799402125633691,0.37848776796967226,,0.06,,0.25,1.25,0.25,0.04300499947406699
libero_goal/open_the_middle_drawer_of_the_cabinet,16,32,0.8,0.15,0.1,0.04251700851615274,0.30202369900446935,,0.06,,0.25,1.25,0.25,0.03742589116348405
libero_goal/open_the_middle_drawer_of_the_cabinet,20,32,0.8,0.15,0.1,0.045468089405010965,0.22077083052664992,,0.06,,0.25,1.25,0.25,0.03985917375714071
libero_goal/open_the_middle_drawer_of_the_cabinet,23,32,0.8,0.15,0.1,0.04726079834016131,0.30495588686318714,,0.06,,0.25,1.25,0.25,0.04351694738442838
libero_goal/open_the_middle_drawer_of_the_cabinet,26,32,0.8,0.15,0.08,0.04958015452047717,0.22866324242873176,,0.06,,0.25,1.25,0.25,0.04495176349727145
libero_goal/open_the_middle_drawer_of_the_cabinet,29,32,0.8,0.15,0.1,0.04530832463520184,0.3896173121904479,,0.06,,0.25,1.25,0.25,0.03957338141511865
libero_goal/open_the_middle_drawer_of_the_cabinet,33,32,0.8,0.15,0.1,0.050834475395121446,0.3901822706746974,,0.06,,0.25,1.25,0.25,0.04616781864359634
libero_goal/open_the_middle_drawer_of_the_cabinet,36,32,0.8,0.15,0.16545454545454547,0.04258726880466582,0.2599214048476706,,0.06,,0.25,1.25,0.25,0.037397272274326834
libero_goal/open_the_middle_drawer_of_the_cabinet,39,32,0.8,0.15,0.09272727272727274,0.043923919823674766,0.2744089442476435,,0.06,,0.25,1.25,0.25,0.038149354651076724
libero_goal/open_the_middle_drawer_of_the_cabinet,42,32,0.8,0.15,0.1,0.04332436419797214,0.35534960256469444,,0.06,,0.25,1.25,0.25,0.03868143766349237
libero_goal/open_the_middle_drawer_of_the_cabinet,46,32,0.8,0.15,0.08,0.04715193217026836,0.31274292528516645,,0.06,,0.25,1.25,0.25,0.041612615791191965
libero_goal/open_the_middle_drawer_of_the_cabinet,49,32,0.8,0.15,0.08,0.04597191758199014,0.3901744330046866,,0.06,,0.25,1.25,0.25,0.04285849200896459
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,32,0.8,0.15,0.08,0.06977890337307338,0.30004194840412723,0.3517587843993461,0.11241830065359476,0.05,0.25,1.25,0.25,0.06193089579727293
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,31,0.7948717948717948,0.15,0.08,0.0822035934640224,0.1832722557868428,0.31273684617615033,0.11764705882352941,0.05,0.25,1.25,0.25,0.0741019579679481
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,28,0.7777777777777778,0.15,0.08,0.08061567682146498,0.23310630546059738,0.3417074602424204,0.11764705882352941,0.05,0.25,1.25,0.25,0.07488203657777198
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,32,0.8,0.15,0.08,0.08059453054130652,0.23750755467833437,0.36068235630166573,0.11764705882352941,0.05,0.25,1.25,0.25,0.07213545407060117
