,stagnation,active_retry,eef_oscillation,gripper_cycling,goal_regression,goal_approach_leave,subtask_undo,regrasp_or_drop
stagnation,166,0,0,0,12,0,0,13
active_retry,0,0,0,0,0,0,0,0
eef_oscillation,0,0,0,0,0,0,0,0
gripper_cycling,0,0,0,9,1,1,0,4
goal_regression,12,0,0,1,49,5,8,46
goal_approach_leave,0,0,0,1,5,5,2,5
subtask_undo,0,0,0,0,8,2,8,5
regrasp_or_drop,13,0,0,4,46,5,5,58
