task,episode,init_state_id,probability_stagnation,probability_active_retry,probability_eef_oscillation,probability_gripper_cycling,probability_goal_regression,probability_goal_approach_leave,probability_subtask_undo,probability_regrasp_or_drop
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,47,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,69,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,77,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,81,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,91,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,144,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,162,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,163,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,164,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,165,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,166,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,167,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,168,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,169,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,170,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,171,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,172,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
