cohort,target,suite,chunk,max_abs_effect,max_abs_effect_headline,n_above_null,n_above_null_headline,n_cells,n_headline_cells,null_ceiling,n_pos,n_tasks_max
development_main,all_risk,libero_goal,4,0.1710021677505419,0.1710021677505419,1,1,216,216,0.16415133888801553,102,6
development_main,all_risk,libero_goal,5,0.17989550330720916,0.17989550330720916,1,1,216,216,0.16415133888801553,102,6
development_main,all_risk,libero_goal,6,0.25179256294814073,0.25179256294814073,17,17,216,216,0.16415133888801553,102,6
development_main,all_risk,libero_goal,7,0.1858931459483576,0.1858931459483576,1,1,216,216,0.16415133888801553,102,6
development_main,all_risk,libero_goal,8,0.18917635500245622,0.18917635500245622,4,4,216,216,0.16415133888801553,102,5
development_main,all_risk,libero_goal,9,0.20990797402718742,0.20990797402718742,12,12,216,216,0.16415133888801553,102,5
development_main,all_risk,libero_goal,10,0.20868979105096697,0.20868979105096697,4,4,216,216,0.16415133888801553,102,2
development_main,all_risk,libero_goal,11,0.2884066988126718,0.2884066988126718,28,28,216,216,0.16415133888801553,102,2
development_main,all_risk,libero_goal,12,0.2985117643976314,0.2985117643976314,25,25,216,216,0.16415133888801553,102,2
development_main,all_risk,libero_goal,13,0.2907039370926914,0.2907039370926914,37,37,216,216,0.16415133888801553,102,2
development_main,all_risk,libero_goal,14,0.32759656886849153,0.32759656886849153,55,55,216,216,0.16415133888801553,102,2
development_main,all_risk,libero_goal,15,0.4270557029177719,,91,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,16,0.38246021220159154,,61,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,17,0.410217083529967,,61,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,18,0.4124434389140271,,103,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,19,0.49615384615384617,,157,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,20,0.5,,157,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,21,0.5,,163,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,22,0.5,,163,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,23,0.5,,156,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_goal,24,0.5,,159,0,216,0,0.16415133888801553,102,1
development_main,all_risk,libero_long,4,0.09752319686953426,0.09752319686953426,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,5,0.11368689413927013,0.11368689413927013,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,6,0.12705659146829512,0.12705659146829512,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,7,0.1255002519787745,0.1255002519787745,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,8,0.09919070346544928,0.09919070346544928,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,9,0.10742448047905612,0.10742448047905612,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,10,0.09981323926125751,0.09981323926125751,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,11,0.09621142501408114,0.09621142501408114,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,12,0.12870186464293126,0.12870186464293126,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,13,0.14757062816826255,0.14757062816826255,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,14,0.18670135491713363,0.18670135491713363,11,11,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,15,0.19043691484618813,0.19043691484618813,10,10,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,16,0.17342632224849597,0.17342632224849597,1,1,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,17,0.1102658721756753,0.1102658721756753,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,18,0.11939090325930901,0.11939090325930901,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,19,0.10791908758338709,0.10791908758338709,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,20,0.12653124515428749,0.12653124515428749,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,21,0.09799199401178116,0.09799199401178116,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,22,0.11525470910271873,0.11525470910271873,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,23,0.15642886018851465,0.15642886018851465,0,0,216,216,0.16415133888801553,222,7
development_main,all_risk,libero_long,24,0.17341040462427748,0.17341040462427748,4,4,216,216,0.16415133888801553,222,6
development_main,all_risk,libero_long,25,0.19029291212636212,0.19029291212636212,2,2,216,216,0.16415133888801553,222,4
development_main,all_risk,libero_long,26,0.21492317243520087,0.21492317243520087,4,4,216,216,0.16415133888801553,222,4
development_main,all_risk,libero_long,27,0.24190387925327694,0.24190387925327694,8,8,216,216,0.16415133888801553,222,3
development_main,all_risk,libero_long,28,0.2949939767099451,0.2949939767099451,37,37,216,216,0.16415133888801553,222,3
development_main,all_risk,libero_long,29,0.37273610623768527,0.37273610623768527,113,113,216,216,0.16415133888801553,222,3
development_main,all_risk,libero_long,30,0.390596597845845,0.390596597845845,112,112,216,216,0.16415133888801553,222,3
development_main,all_risk,libero_long,31,0.3383534685398787,0.3383534685398787,119,119,216,216,0.16415133888801553,222,2
development_main,all_risk,libero_long,32,0.3514139945689443,0.3514139945689443,110,110,216,216,0.16415133888801553,222,2
development_main,all_risk,libero_long,33,0.37540506398637885,0.37540506398637885,95,95,216,216,0.16415133888801553,222,2
development_main,all_risk,libero_long,34,0.37095622562750585,0.37095622562750585,82,82,216,216,0.16415133888801553,222,2
development_main,all_risk,libero_object,4,0.23420185684336625,0.23420185684336625,4,4,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,5,0.16981132075471694,0.16981132075471694,2,2,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,6,0.3019242288110212,0.3019242288110212,33,33,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,7,0.3533243486073675,0.3533243486073675,110,110,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,8,0.3867175801138065,0.3867175801138065,153,153,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,9,0.38986223420185684,0.38986223420185684,167,167,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,10,0.3274183887391434,0.3274183887391434,108,108,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,11,0.28837052062204194,0.28837052062204194,44,44,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,12,0.31687225413991216,0.31687225413991216,45,45,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,13,0.3521798365122616,0.3521798365122616,71,71,216,216,0.16415133888801553,37,6
development_main,all_risk,libero_object,14,0.3566473988439306,,121,0,216,0,0.16415133888801553,37,4
development_main,all_risk,libero_object,15,0.36435726210350583,,58,0,216,0,0.16415133888801553,37,3
development_main,all_risk,libero_object,16,0.4568788501026694,,97,0,216,0,0.16415133888801553,37,3
development_main,all_risk,libero_object,17,0.4444444444444444,,100,0,216,0,0.16415133888801553,37,1
development_main,all_risk,libero_spatial,4,0.13275797216533625,0.13275797216533625,0,0,216,216,0.16415133888801553,126,9
development_main,all_risk,libero_spatial,5,0.13076231871943828,0.13076231871943828,0,0,216,216,0.16415133888801553,126,9
development_main,all_risk,libero_spatial,6,0.21875914239144068,0.21875914239144068,9,9,216,216,0.16415133888801553,126,9
development_main,all_risk,libero_spatial,7,0.2834872737911146,0.2834872737911146,62,62,216,216,0.16415133888801553,126,9
development_main,all_risk,libero_spatial,8,0.3203062639163131,0.3203062639163131,61,61,216,216,0.16415133888801553,126,9
development_main,all_risk,libero_spatial,9,0.2978025918147825,0.2978025918147825,53,53,216,216,0.16415133888801553,126,8
development_main,all_risk,libero_spatial,10,0.35117987128676875,0.35117987128676875,83,83,216,216,0.16415133888801553,126,8
development_main,all_risk,libero_spatial,11,0.37903652726310216,0.37903652726310216,87,87,216,216,0.16415133888801553,126,7
development_main,all_risk,libero_spatial,12,0.4312875840113194,0.4312875840113194,78,78,216,216,0.16415133888801553,126,4
development_main,all_risk,libero_spatial,13,0.3841998649561107,0.3841998649561107,72,72,216,216,0.16415133888801553,126,3
development_main,drop,libero_goal,4,0.16107406870560947,0.16107406870560947,0,0,216,216,0.387905604719764,76,5
development_main,drop,libero_goal,5,0.16121901724887666,0.16121901724887666,0,0,216,216,0.387905604719764,76,5
development_main,drop,libero_goal,6,0.24432888824467314,0.24432888824467314,0,0,216,216,0.387905604719764,76,5
development_main,drop,libero_goal,7,0.16161506032853612,0.16161506032853612,0,0,216,216,0.387905604719764,76,5
development_main,drop,libero_goal,8,0.1882022471910112,0.1882022471910112,0,0,216,216,0.387905604719764,76,4
development_main,drop,libero_goal,9,0.22759257123082244,0.22759257123082244,0,0,216,216,0.387905604719764,76,4
development_main,drop,libero_goal,10,0.24929689410613842,,0,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,11,0.3322939594032771,,0,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,12,0.33724627048178035,,0,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,13,0.28429933969185617,,0,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,14,0.33033749082905356,,0,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,15,0.44093910491562727,,8,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,16,0.4015040352164343,,1,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,17,0.43290693121002477,,2,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,18,0.4317897371714643,,4,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,19,0.4957446808510638,,93,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,20,0.5,,71,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,21,0.5,,103,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,22,0.5,,93,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,23,0.5,,76,0,216,0,0.387905604719764,76,1
development_main,drop,libero_goal,24,0.5,,110,0,216,0,0.387905604719764,76,1
development_main,drop,libero_long,4,0.29205996668517487,0.29205996668517487,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,5,0.24416990560799556,0.24416990560799556,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,6,0.27470849528039976,0.27470849528039976,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,7,0.23715991116046642,0.23715991116046642,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,8,0.21557468073292613,0.21557468073292613,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,9,0.2354247640199889,0.2354247640199889,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,10,0.22508328706274294,0.22508328706274294,0,0,216,216,0.387905604719764,41,4
development_main,drop,libero_long,11,0.17018323153803439,0.17018323153803439,0,0,216,216,0.387905604719764,41,4
