cohort,suite,cap,q0_leak,tp_in_suite,fp_in_suite,n_risk_in_suite,identical_to_risk_label_in_suite
development_main,libero_goal,30,26,102,0,102,True
development_main,libero_long,52,48,222,0,222,True
development_main,libero_object,28,24,37,0,37,True
development_main,libero_spatial,22,18,126,0,126,True
external_8b,libero_goal,30,26,106,1,106,False
external_8b,libero_long,52,48,274,0,274,True
external_8b,libero_object,28,24,44,1,44,False
external_8b,libero_spatial,22,18,140,2,140,False
