cohort,pool,arm,mode,fp_budget,tp,n_mode,fp,baseline_tp,channel,sign,stat,n_ops_searched,excess_over_baseline,null_ceiling,floor,excess_over_floor
development_main,headline,threshold,drop,0,72,218,0,0,hb_entropy_action|L2,-1,threshold,7072,72,7,7,65
development_main,headline,threshold,drop,10,87,218,6,0,selected_mass|L2,1,threshold,7072,87,32,32,55
development_main,headline,threshold,drop,20,89,218,13,41,hb_entropy_action|L2,-1,threshold,7072,48,41,41,48
development_main,headline,threshold,drop,38,95,218,22,41,selected_mass|L2,1,threshold,7072,54,43,43,52
development_main,headline,threshold,drop,57,99,218,45,41,selected_mass|L2,1,threshold,7072,58,47,47,52
development_main,headline,threshold,drop,80,102,218,70,41,selected_mass|L2,1,threshold,7072,61,47,47,55
development_main,headline,threshold,drop,120,102,218,70,41,selected_mass|L2,1,threshold,7072,61,60,60,42
development_main,headline,threshold,drop,200,114,218,173,41,query_hard_churn|L15,-1,threshold,7072,73,72,72,42
development_main,headline,threshold,drop,400,137,218,291,134,query_hard_churn|L15,-1,threshold,7072,3,134,134,3
development_main,headline,threshold,grasp,0,21,116,0,0,hb_entropy_action|L2,-1,threshold,7072,21,11,11,10
development_main,headline,threshold,grasp,10,33,116,7,0,query_top1_churn|L12,1,threshold,7072,33,73,73,-40
development_main,headline,threshold,grasp,20,38,116,15,89,token_differentiation_d0|L2,-1,threshold,7072,-51,89,89,-51
development_main,headline,threshold,grasp,38,43,116,26,89,mobility_d0|L5,-1,threshold,7072,-46,89,89,-46
development_main,headline,threshold,grasp,57,43,116,26,89,mobility_d0|L5,-1,threshold,7072,-46,89,89,-46
development_main,headline,threshold,grasp,80,50,116,58,89,token_differentiation_d0|L2,-1,threshold,7072,-39,89,89,-39
development_main,headline,threshold,grasp,120,54,116,110,89,token_differentiation_d0|L2,-1,threshold,7072,-35,89,89,-35
development_main,headline,threshold,grasp,200,58,116,190,89,token_differentiation_d0|L14,-1,threshold,7072,-31,89,89,-31
development_main,headline,threshold,grasp,400,70,116,373,94,token_differentiation_d0|L2,-1,threshold,7072,-24,94,94,-24
development_main,headline,threshold,all,0,108,487,0,0,hb_entropy_action|L2,-1,threshold,7072,108,43,43,65
development_main,headline,threshold,all,10,139,487,6,0,selected_mass|L2,1,threshold,7072,139,181,181,-42
development_main,headline,threshold,all,20,167,487,15,222,token_differentiation_d0|L2,-1,threshold,7072,-55,222,222,-55
development_main,headline,threshold,all,38,167,487,15,222,token_differentiation_d0|L2,-1,threshold,7072,-55,224,224,-57
development_main,headline,threshold,all,57,167,487,15,222,token_differentiation_d0|L2,-1,threshold,7072,-55,224,224,-57
development_main,headline,threshold,all,80,196,487,58,222,token_differentiation_d0|L2,-1,threshold,7072,-26,224,224,-28
development_main,headline,threshold,all,120,211,487,110,222,token_differentiation_d0|L2,-1,threshold,7072,-11,244,244,-33
development_main,headline,threshold,all,200,211,487,110,222,token_differentiation_d0|L2,-1,threshold,7072,-11,261,261,-50
development_main,headline,threshold,all,400,250,487,373,361,token_differentiation_d0|L2,-1,threshold,7072,-111,361,361,-111
development_main,headline,change_point,drop,0,55,218,0,0,token_entropy_d0|L2,-1,change_point,14144,55,7,7,48
development_main,headline,change_point,drop,10,94,218,9,0,token_entropy_d0|L3,-1,change_point,14144,94,32,32,62
development_main,headline,change_point,drop,20,103,218,20,41,state_mobility_d0|L14,-1,change_point,14144,62,41,41,62
development_main,headline,change_point,drop,38,103,218,20,41,state_mobility_d0|L14,-1,change_point,14144,62,43,43,60
development_main,headline,change_point,drop,57,143,218,48,41,state_mobility_d0|L15,-1,change_point,14144,102,47,47,96
development_main,headline,change_point,drop,80,143,218,48,41,state_mobility_d0|L15,-1,change_point,14144,102,47,47,96
development_main,headline,change_point,drop,120,167,218,93,41,state_mobility_d0|L15,-1,change_point,14144,126,60,60,107
development_main,headline,change_point,drop,200,169,218,194,41,state_mobility_d0|L15,-1,change_point,14144,128,72,72,97
development_main,headline,change_point,drop,400,180,218,345,134,state_mobility_d0|L15,-1,change_point,14144,46,134,134,46
development_main,headline,change_point,grasp,0,28,116,0,0,token_differentiation_d0|L2,-1,change_point,14144,28,11,11,17
development_main,headline,change_point,grasp,10,37,116,3,0,token_differentiation_d0|L2,-1,change_point,14144,37,73,73,-36
development_main,headline,change_point,grasp,20,47,116,14,89,token_differentiation_d0|L2,-1,change_point,14144,-42,89,89,-42
development_main,headline,change_point,grasp,38,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14144,-29,89,89,-29
development_main,headline,change_point,grasp,57,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14144,-29,89,89,-29
development_main,headline,change_point,grasp,80,60,116,34,89,token_differentiation_d0|L2,-1,change_point,14144,-29,89,89,-29
development_main,headline,change_point,grasp,120,71,116,87,89,token_differentiation_d0|L2,-1,change_point,14144,-18,89,89,-18
development_main,headline,change_point,grasp,200,75,116,191,89,token_differentiation_d0|L2,-1,change_point,14144,-14,89,89,-14
development_main,headline,change_point,grasp,400,88,116,309,94,flow_endpoint|L3,1,change_point,14144,-6,94,94,-6
development_main,headline,change_point,all,0,99,487,0,0,token_differentiation_d0|L2,-1,change_point,14144,99,43,43,56
development_main,headline,change_point,all,10,144,487,9,0,token_entropy_d0|L3,-1,change_point,14144,144,181,181,-37
development_main,headline,change_point,all,20,180,487,14,222,token_differentiation_d0|L2,-1,change_point,14144,-42,222,222,-42
development_main,headline,change_point,all,38,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14144,4,224,224,2
development_main,headline,change_point,all,57,226,487,34,222,token_differentiation_d0|L2,-1,change_point,14144,4,224,224,2
