detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
union_of_two_mode_heads,external_8b,28,threshold,hb_entropy_action|L2|sign-1|threshold|k860 OR query_top1_churn|L12|sign+1|threshold|k152,241,143,564,1002,11.0,284,718,123,71,90,279,191,123,69,87,264,44,121,64,79,227,16,105,56,66,71,6,35,13,23,274,-10,50,71,112,-48
union_of_two_undifferentiated_heads,external_8b,28,threshold,selected_mass|L2|sign+1|threshold|k430 OR hb_entropy_action|L2|sign-1|threshold|k860,241,143,564,989,11.0,208,781,110,35,63,207,256,109,35,63,203,104,108,35,60,192,34,97,35,60,86,16,38,13,35,274,-71,50,58,112,-77
single_undifferentiated,development_main,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
drop_head_only,development_main,28,change_point,token_entropy_d0|L3|sign-1|change_point|k430,218,116,487,430,10.0,146,284,95,23,28,144,96,94,22,28,144,9,94,22,28,142,3,94,22,26,14,0,9,0,5,0,144,0,94,0,22
grasp_head_only,development_main,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
union_of_two_mode_heads,development_main,28,change_point,token_entropy_d0|L3|sign-1|change_point|k430 OR token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,632,9.0,315,317,173,66,76,315,120,173,66,76,313,23,173,65,75,281,5,158,59,64,55,2,15,19,21,222,91,41,132,89,-24
union_of_two_undifferentiated_heads,development_main,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L2|sign-1|change_point|k608,218,116,487,796,9.0,314,482,172,67,75,310,121,168,67,75,303,25,164,65,74,267,7,143,59,65,58,3,13,20,25,222,81,41,123,89,-24
single_undifferentiated,external_8b,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
drop_head_only,external_8b,28,change_point,token_entropy_d0|L3|sign-1|change_point|k430,241,143,564,430,10.0,161,269,97,30,34,161,69,97,30,34,158,10,95,30,33,149,5,89,29,31,6,0,3,1,2,0,158,0,95,0,30
grasp_head_only,external_8b,28,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
