detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
drop_head_only,external_8b,38,any,mobility|L13|sign-1|change_point|k215,241,143,564,215,8.0,182,33,121,33,28,173,31,117,29,27,132,24,89,20,23,90,19,62,10,18,39,17,20,9,10,0,132,0,89,0,20
grasp_head_only,external_8b,38,any,token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,132,10.0,111,21,7,66,38,103,18,2,66,35,76,14,1,51,24,50,4,1,33,16,25,0,0,16,9,0,76,0,1,0,51
union_of_two_mode_heads,external_8b,38,any,mobility|L13|sign-1|change_point|k215 OR token_entropy_d0|L2|sign+1|persist_cycles|g900|k108,241,143,564,341,9.0,287,54,123,99,65,274,49,118,95,61,208,38,90,71,47,140,23,63,43,34,64,17,20,25,19,274,-66,50,40,112,-41
union_of_two_undifferentiated_heads,external_8b,38,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,241,143,564,405,9.0,340,65,157,92,91,331,50,154,88,89,270,29,121,71,78,183,13,61,62,60,86,3,24,30,32,274,-4,50,71,112,-41
single_undifferentiated,development_main,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,215,9.0,167,48,87,38,42,167,24,87,38,42,167,15,87,38,42,144,5,79,31,34,35,4,5,14,16,0,167,0,87,0,38
drop_head_only,development_main,47,threshold,selected_mass|L2|sign+1|threshold|k608,218,116,487,608,11.0,160,448,100,26,34,156,41,96,26,34,155,22,95,26,34,142,10,86,24,32,56,5,37,9,10,222,-67,41,54,89,-63
grasp_head_only,development_main,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,215,9.0,167,48,87,38,42,167,24,87,38,42,167,15,87,38,42,144,5,79,31,34,35,4,5,14,16,0,167,0,87,0,38
union_of_two_mode_heads,development_main,47,threshold,selected_mass|L2|sign+1|threshold|k608 OR token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,819,10.0,323,496,185,63,75,320,65,182,63,75,319,37,181,63,75,285,15,165,54,66,90,9,42,22,26,222,97,41,140,89,-26
union_of_two_undifferentiated_heads,development_main,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR selected_mass|L2|sign+1|threshold|k608,218,116,487,819,10.0,323,496,185,63,75,320,65,182,63,75,319,37,181,63,75,285,15,165,54,66,90,9,42,22,26,222,97,41,140,89,-26
single_undifferentiated,external_8b,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,215,10.0,168,47,73,49,46,168,30,73,49,46,168,20,73,49,46,161,6,70,49,42,56,0,11,31,14,0,168,0,73,0,49
drop_head_only,external_8b,47,threshold,selected_mass|L2|sign+1|threshold|k608,241,143,564,608,11.0,209,399,109,35,65,208,149,108,35,65,204,127,107,35,62,189,40,95,35,59,78,17,31,10,37,274,-70,50,57,112,-77
grasp_head_only,external_8b,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,215,10.0,168,47,73,49,46,168,30,73,49,46,168,20,73,49,46,161,6,70,49,42,56,0,11,31,14,0,168,0,73,0,49
union_of_two_mode_heads,external_8b,47,threshold,selected_mass|L2|sign+1|threshold|k608 OR token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,807,10.0,362,445,180,80,102,361,178,179,80,102,357,146,178,80,99,336,46,163,80,93,125,17,41,37,47,274,83,50,128,112,-32
union_of_two_undifferentiated_heads,external_8b,47,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR selected_mass|L2|sign+1|threshold|k608,241,143,564,807,10.0,362,445,180,80,102,361,178,179,80,102,357,146,178,80,99,336,46,163,80,93,125,17,41,37,47,274,83,50,128,112,-32
single_undifferentiated,development_main,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,47,change_point,state_mobility_d0|L14|sign-1|change_point|k215,218,116,487,215,7.0,186,29,124,26,36,178,26,122,23,33,146,20,103,15,28,70,17,44,4,22,43,12,25,4,14,222,-76,41,62,89,-74
grasp_head_only,development_main,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
union_of_two_mode_heads,development_main,47,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,379,9.0,317,62,175,66,76,311,50,174,64,73,283,34,158,58,67,189,19,96,40,53,80,14,31,22,27,222,61,41,117,89,-31
union_of_two_undifferentiated_heads,development_main,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,218,116,487,407,8.0,343,64,180,74,89,341,50,179,73,89,330,33,176,70,84,217,16,102,53,62,72,6,22,24,26,222,108,41,135,89,-19
single_undifferentiated,external_8b,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,47,change_point,state_mobility_d0|L14|sign-1|change_point|k215,241,143,564,215,9.0,182,33,116,27,39,167,30,105,26,36,124,28,79,13,32,75,25,41,7,27,53,16,24,7,22,274,-150,50,29,112,-99
grasp_head_only,external_8b,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
union_of_two_mode_heads,external_8b,47,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,398,9.0,322,76,149,86,87,303,61,138,83,82,259,41,113,70,76,205,27,73,63,69,100,16,34,31,35,274,-15,50,63,112,-42
union_of_two_undifferentiated_heads,external_8b,47,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,241,143,564,405,9.0,340,65,157,92,91,331,50,154,88,89,270,29,121,71,78,183,13,61,62,60,86,3,24,30,32,274,-4,50,71,112,-41
single_undifferentiated,development_main,47,persistence,flow_path|L15|sign+1|persist_run|g975|k215,218,116,487,247,9.0,196,51,107,26,63,183,50,100,23,60,178,42,98,22,58,116,23,51,20,45,62,14,24,5,33,222,-44,41,57,89,-67
drop_head_only,development_main,47,persistence,flow_path|L14|sign+1|persist_run|g900|k152,218,116,487,185,8.0,148,37,101,13,34,142,22,97,12,33,141,18,96,12,33,89,7,67,2,20,32,1,19,1,12,222,-81,41,55,89,-77
grasp_head_only,development_main,47,persistence,token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,218,116,487,172,10.0,114,58,13,66,35,102,51,11,59,32,97,23,11,55,31,66,9,11,37,18,34,4,5,18,11,222,-125,41,-30,89,-34
union_of_two_mode_heads,development_main,47,persistence,flow_path|L14|sign+1|persist_run|g900|k152 OR token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,218,116,487,354,8.0,259,95,112,79,68,243,73,107,71,65,237,41,106,67,64,154,16,77,39,38,66,5,24,19,23,222,15,41,65,89,-22
union_of_two_undifferentiated_heads,development_main,47,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g900|k215,218,116,487,589,10.0,206,383,107,39,60,201,170,107,38,56,190,23,102,38,50,161,3,99,27,35,38,1,18,4,16,222,-32,41,61,89,-51
single_undifferentiated,external_8b,47,persistence,flow_path|L15|sign+1|persist_run|g975|k215,241,143,564,309,10.0,234,75,123,34,77,218,70,114,31,73,214,63,112,30,72,144,45,66,22,56,83,26,32,8,43,274,-60,50,62,112,-82
drop_head_only,external_8b,47,persistence,flow_path|L14|sign+1|persist_run|g900|k152,241,143,564,161,7.0,147,14,100,14,33,146,12,100,14,32,117,10,88,9,20,31,4,16,2,13,28,1,16,2,10,0,117,0,88,0,9
grasp_head_only,external_8b,47,persistence,token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,241,143,564,117,11.0,92,25,10,53,29,82,18,9,47,26,81,8,9,47,25,68,0,7,41,20,35,0,5,21,9,0,81,0,9,0,47
union_of_two_mode_heads,external_8b,47,persistence,flow_path|L14|sign+1|persist_run|g900|k152 OR token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,241,143,564,278,7.5,239,39,110,67,62,228,30,109,61,58,198,18,97,56,45,99,4,23,43,33,63,1,21,23,19,0,198,0,97,0,56
union_of_two_undifferentiated_heads,external_8b,47,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_path|L2|sign+1|persist_run|g900|k215,241,143,564,379,10.0,249,130,116,49,84,245,68,115,49,81,235,39,113,48,74,199,20,103,40,56,62,6,16,15,31,274,-39,50,63,112,-64
single_undifferentiated,development_main,47,any,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,47,any,state_mobility_d0|L14|sign-1|change_point|k215,218,116,487,215,7.0,186,29,124,26,36,178,26,122,23,33,146,20,103,15,28,70,17,44,4,22,43,12,25,4,14,222,-76,41,62,89,-74
grasp_head_only,development_main,47,any,token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,218,116,487,172,10.0,114,58,13,66,35,102,51,11,59,32,97,23,11,55,31,66,9,11,37,18,34,4,5,18,11,222,-125,41,-30,89,-34
union_of_two_mode_heads,development_main,47,any,state_mobility_d0|L14|sign-1|change_point|k215 OR token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,218,116,487,383,8.0,296,87,134,92,70,277,77,130,82,65,240,43,111,70,59,133,26,52,41,40,76,16,29,22,25,222,18,41,70,89,-19
union_of_two_undifferentiated_heads,development_main,47,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,218,116,487,407,8.0,343,64,180,74,89,341,50,179,73,89,330,33,176,70,84,217,16,102,53,62,72,6,22,24,26,222,108,41,135,89,-19
single_undifferentiated,external_8b,47,any,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,47,any,state_mobility_d0|L14|sign-1|change_point|k215,241,143,564,215,9.0,182,33,116,27,39,167,30,105,26,36,124,28,79,13,32,75,25,41,7,27,53,16,24,7,22,274,-150,50,29,112,-99
grasp_head_only,external_8b,47,any,token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,241,143,564,117,11.0,92,25,10,53,29,82,18,9,47,26,81,8,9,47,25,68,0,7,41,20,35,0,5,21,9,0,81,0,9,0,47
union_of_two_mode_heads,external_8b,47,any,state_mobility_d0|L14|sign-1|change_point|k215 OR token_entropy_d0|L3|sign+1|persist_cycles|g900|k108,241,143,564,327,10.0,269,58,124,78,67,244,48,112,71,61,200,36,86,58,56,138,25,46,46,46,85,16,28,27,30,274,-74,50,36,112,-54
union_of_two_undifferentiated_heads,external_8b,47,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR selected_mass|L2|sign+1|change_point|k215,241,143,564,405,9.0,340,65,157,92,91,331,50,154,88,89,270,29,121,71,78,183,13,61,62,60,86,3,24,30,32,274,-4,50,71,112,-41
single_undifferentiated,development_main,57,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,218,116,487,215,9.0,167,48,87,38,42,167,24,87,38,42,167,15,87,38,42,144,5,79,31,34,35,4,5,14,16,0,167,0,87,0,38
drop_head_only,development_main,57,threshold,selected_mass|L2|sign+1|threshold|k608,218,116,487,608,11.0,160,448,100,26,34,156,41,96,26,34,155,22,95,26,34,142,10,86,24,32,56,5,37,9,10,222,-67,41,54,89,-63
grasp_head_only,development_main,57,threshold,mobility_d0|L5|sign-1|threshold|k215,218,116,487,215,10.0,163,52,82,43,38,162,47,81,43,38,161,26,81,43,37,142,9,73,34,35,44,3,17,11,16,222,-61,41,40,89,-46
union_of_two_mode_heads,development_main,57,threshold,selected_mass|L2|sign+1|threshold|k608 OR mobility_d0|L5|sign-1|threshold|k215,218,116,487,819,11.0,319,500,179,69,71,316,88,176,69,71,315,48,176,69,70,283,19,159,58,66,100,8,54,20,26,222,93,41,135,89,-20
union_of_two_undifferentiated_heads,development_main,57,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR mobility_d0|L5|sign-1|threshold|k215,218,116,487,281,11.0,198,83,94,51,53,198,61,94,51,53,198,38,94,51,53,193,14,92,50,51,74,7,22,23,29,222,-24,41,53,89,-38
single_undifferentiated,external_8b,57,threshold,token_differentiation_d0|L2|sign-1|threshold|k215,241,143,564,215,10.0,168,47,73,49,46,168,30,73,49,46,168,20,73,49,46,161,6,70,49,42,56,0,11,31,14,0,168,0,73,0,49
drop_head_only,external_8b,57,threshold,selected_mass|L2|sign+1|threshold|k608,241,143,564,608,11.0,209,399,109,35,65,208,149,108,35,65,204,127,107,35,62,189,40,95,35,59,78,17,31,10,37,274,-70,50,57,112,-77
grasp_head_only,external_8b,57,threshold,mobility_d0|L5|sign-1|threshold|k215,241,143,564,215,10.0,189,26,94,48,47,188,18,94,48,46,170,7,89,39,42,137,1,73,28,36,38,1,19,8,11,0,170,0,89,0,39
union_of_two_mode_heads,external_8b,57,threshold,selected_mass|L2|sign+1|threshold|k608 OR mobility_d0|L5|sign-1|threshold|k215,241,143,564,820,10.0,395,425,203,83,109,393,167,202,83,108,371,134,196,74,101,324,41,168,63,93,116,18,50,18,48,274,97,50,146,112,-38
union_of_two_undifferentiated_heads,external_8b,57,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR mobility_d0|L5|sign-1|threshold|k215,241,143,564,324,10.0,258,66,108,75,75,257,45,108,75,74,253,25,106,74,73,226,7,95,65,66,93,1,30,39,24,0,253,0,106,0,74
single_undifferentiated,development_main,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,57,change_point,state_mobility_d0|L14|sign-1|change_point|k215,218,116,487,215,7.0,186,29,124,26,36,178,26,122,23,33,146,20,103,15,28,70,17,44,4,22,43,12,25,4,14,222,-76,41,62,89,-74
grasp_head_only,development_main,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,215,9.0,182,33,83,48,51,182,24,83,48,51,180,14,83,47,50,142,2,66,37,39,42,2,7,19,16,0,180,0,83,0,47
union_of_two_mode_heads,development_main,57,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,218,116,487,379,9.0,317,62,175,66,76,311,50,174,64,73,283,34,158,58,67,189,19,96,40,53,80,14,31,22,27,222,61,41,117,89,-31
union_of_two_undifferentiated_heads,development_main,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L3|sign-1|change_point|k860,218,116,487,1053,10.0,338,715,176,72,90,334,258,176,72,86,332,41,176,71,85,303,7,162,64,77,74,3,19,22,33,222,110,41,135,89,-18
single_undifferentiated,external_8b,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,57,change_point,state_mobility_d0|L14|sign-1|change_point|k215,241,143,564,215,9.0,182,33,116,27,39,167,30,105,26,36,124,28,79,13,32,75,25,41,7,27,53,16,24,7,22,274,-150,50,29,112,-99
grasp_head_only,external_8b,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,215,9.0,170,45,51,64,55,165,33,51,61,53,160,15,49,60,51,152,2,44,59,49,53,0,10,27,16,0,160,0,49,0,60
union_of_two_mode_heads,external_8b,57,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k215,241,143,564,398,9.0,322,76,149,86,87,303,61,138,83,82,259,41,113,70,76,205,27,73,63,69,100,16,34,31,35,274,-15,50,63,112,-42
union_of_two_undifferentiated_heads,external_8b,57,change_point,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L3|sign-1|change_point|k860,241,143,564,1059,10.0,344,715,152,96,96,340,329,152,93,95,335,82,150,92,93,319,20,144,88,87,78,8,18,31,29,274,61,50,100,112,-20
single_undifferentiated,development_main,57,persistence,flow_path|L15|sign+1|persist_run|g975|k215,218,116,487,247,9.0,196,51,107,26,63,183,50,100,23,60,178,42,98,22,58,116,23,51,20,45,62,14,24,5,33,222,-44,41,57,89,-67
drop_head_only,development_main,57,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k215,218,116,487,237,10.0,169,68,103,24,42,168,40,102,24,42,163,25,97,24,42,123,15,82,6,35,31,2,17,2,12,222,-59,41,56,89,-65
grasp_head_only,development_main,57,persistence,state_action_alignment|L5|sign+1|persist_run|g975|k76,218,116,487,127,15.0,97,30,17,56,24,97,30,17,56,24,97,28,17,56,24,97,7,17,56,24,92,4,13,56,23,222,-125,41,-24,89,-33
union_of_two_mode_heads,development_main,57,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k215 OR state_action_alignment|L5|sign+1|persist_run|g975|k76,218,116,487,360,10.5,262,98,119,79,64,261,70,118,79,64,256,53,113,79,64,216,22,98,61,57,119,6,29,57,33,222,34,41,72,89,-10
union_of_two_undifferentiated_heads,development_main,57,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_endpoint|L12|sign+1|persist_run|g900|k215,218,116,487,589,10.0,214,375,109,40,65,210,171,109,39,62,203,34,107,39,57,161,15,97,20,44,48,3,25,5,18,222,-19,41,66,89,-50
single_undifferentiated,external_8b,57,persistence,flow_path|L15|sign+1|persist_run|g975|k215,241,143,564,309,10.0,234,75,123,34,77,218,70,114,31,73,214,63,112,30,72,144,45,66,22,56,83,26,32,8,43,274,-60,50,62,112,-82
drop_head_only,external_8b,57,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k215,241,143,564,219,9.0,180,39,109,27,44,180,27,109,27,44,173,17,104,27,42,105,14,75,5,25,28,1,15,2,11,0,173,0,104,0,27
grasp_head_only,external_8b,57,persistence,state_action_alignment|L5|sign+1|persist_run|g975|k76,241,143,564,152,15.0,120,32,17,70,33,120,32,17,70,33,120,32,17,70,33,120,10,17,70,33,116,5,13,70,33,274,-154,50,-33,112,-42
union_of_two_mode_heads,external_8b,57,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k215 OR state_action_alignment|L5|sign+1|persist_run|g975|k76,241,143,564,365,10.0,295,70,124,97,74,295,58,124,97,74,288,48,119,97,72,220,23,90,75,55,139,6,26,72,41,274,14,50,69,112,-15
union_of_two_undifferentiated_heads,external_8b,57,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152 OR flow_endpoint|L12|sign+1|persist_run|g900|k215,241,143,564,350,9.0,253,97,118,48,87,250,54,118,48,84,241,37,114,48,79,146,22,79,20,47,66,4,19,16,31,274,-33,50,64,112,-64
single_undifferentiated,development_main,57,any,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,57,any,state_mobility_d0|L14|sign-1|change_point|k215,218,116,487,215,7.0,186,29,124,26,36,178,26,122,23,33,146,20,103,15,28,70,17,44,4,22,43,12,25,4,14,222,-76,41,62,89,-74
grasp_head_only,development_main,57,any,state_action_alignment|L5|sign+1|persist_run|g975|k76,218,116,487,127,15.0,97,30,17,56,24,97,30,17,56,24,97,28,17,56,24,97,7,17,56,24,92,4,13,56,23,222,-125,41,-24,89,-33
union_of_two_mode_heads,development_main,57,any,state_mobility_d0|L14|sign-1|change_point|k215 OR state_action_alignment|L5|sign+1|persist_run|g975|k76,218,116,487,329,15.0,270,59,130,82,58,262,56,128,79,55,230,48,109,71,50,154,24,50,60,44,127,16,31,60,36,222,8,41,68,89,-18
union_of_two_undifferentiated_heads,development_main,57,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L3|sign-1|change_point|k860,218,116,487,1053,10.0,338,715,176,72,90,334,258,176,72,86,332,41,176,71,85,303,7,162,64,77,74,3,19,22,33,222,110,41,135,89,-18
single_undifferentiated,external_8b,57,any,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,57,any,state_mobility_d0|L14|sign-1|change_point|k215,241,143,564,215,9.0,182,33,116,27,39,167,30,105,26,36,124,28,79,13,32,75,25,41,7,27,53,16,24,7,22,274,-150,50,29,112,-99
grasp_head_only,external_8b,57,any,state_action_alignment|L5|sign+1|persist_run|g975|k76,241,143,564,152,15.0,120,32,17,70,33,120,32,17,70,33,120,32,17,70,33,120,10,17,70,33,116,5,13,70,33,274,-154,50,-33,112,-42
union_of_two_mode_heads,external_8b,57,any,state_mobility_d0|L14|sign-1|change_point|k215 OR state_action_alignment|L5|sign+1|persist_run|g975|k76,241,143,564,359,15.0,294,65,127,97,70,279,62,116,96,67,237,60,91,83,63,188,35,53,77,58,165,21,35,77,53,274,-37,50,41,112,-29
union_of_two_undifferentiated_heads,external_8b,57,any,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L3|sign-1|change_point|k860,241,143,564,1059,10.0,344,715,152,96,96,340,329,152,93,95,335,82,150,92,93,319,20,144,88,87,78,8,18,31,29,274,61,50,100,112,-20
single_undifferentiated,development_main,76,threshold,token_differentiation_d0|L2|sign-1|threshold|k304,218,116,487,304,10.0,196,108,91,50,55,196,81,91,50,55,196,58,91,50,55,171,21,84,42,45,59,15,14,21,24,222,-26,41,50,89,-39
drop_head_only,development_main,76,threshold,selected_mass|L2|sign+1|threshold|k608,218,116,487,608,11.0,160,448,100,26,34,156,41,96,26,34,155,22,95,26,34,142,10,86,24,32,56,5,37,9,10,222,-67,41,54,89,-63
grasp_head_only,development_main,76,threshold,mobility_d0|L5|sign-1|threshold|k215,218,116,487,215,10.0,163,52,82,43,38,162,47,81,43,38,161,26,81,43,37,142,9,73,34,35,44,3,17,11,16,222,-61,41,40,89,-46
union_of_two_mode_heads,development_main,76,threshold,selected_mass|L2|sign+1|threshold|k608 OR mobility_d0|L5|sign-1|threshold|k215,218,116,487,819,11.0,319,500,179,69,71,316,88,176,69,71,315,48,176,69,70,283,19,159,58,66,100,8,54,20,26,222,93,41,135,89,-20
union_of_two_undifferentiated_heads,development_main,76,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR mobility_d0|L5|sign-1|threshold|k215,218,116,487,281,11.0,198,83,94,51,53,198,61,94,51,53,198,38,94,51,53,193,14,92,50,51,74,7,22,23,29,222,-24,41,53,89,-38
single_undifferentiated,external_8b,76,threshold,token_differentiation_d0|L2|sign-1|threshold|k304,241,143,564,304,10.0,200,104,85,59,56,200,70,85,59,56,199,49,85,58,56,192,16,81,58,53,72,3,14,37,21,274,-75,50,35,112,-54
drop_head_only,external_8b,76,threshold,selected_mass|L2|sign+1|threshold|k608,241,143,564,608,11.0,209,399,109,35,65,208,149,108,35,65,204,127,107,35,62,189,40,95,35,59,78,17,31,10,37,274,-70,50,57,112,-77
grasp_head_only,external_8b,76,threshold,mobility_d0|L5|sign-1|threshold|k215,241,143,564,215,10.0,189,26,94,48,47,188,18,94,48,46,170,7,89,39,42,137,1,73,28,36,38,1,19,8,11,0,170,0,89,0,39
union_of_two_mode_heads,external_8b,76,threshold,selected_mass|L2|sign+1|threshold|k608 OR mobility_d0|L5|sign-1|threshold|k215,241,143,564,820,10.0,395,425,203,83,109,393,167,202,83,108,371,134,196,74,101,324,41,168,63,93,116,18,50,18,48,274,97,50,146,112,-38
union_of_two_undifferentiated_heads,external_8b,76,threshold,token_differentiation_d0|L2|sign-1|threshold|k215 OR mobility_d0|L5|sign-1|threshold|k215,241,143,564,324,10.0,258,66,108,75,75,257,45,108,75,74,253,25,106,74,73,226,7,95,65,66,93,1,30,39,24,0,253,0,106,0,74
single_undifferentiated,development_main,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
drop_head_only,development_main,76,change_point,state_mobility_d0|L14|sign-1|change_point|k215,218,116,487,215,7.0,186,29,124,26,36,178,26,122,23,33,146,20,103,15,28,70,17,44,4,22,43,12,25,4,14,222,-76,41,62,89,-74
grasp_head_only,development_main,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,304,9.0,227,77,99,61,67,227,57,99,61,67,226,34,99,60,67,186,11,81,49,56,66,8,10,30,26,222,4,41,58,89,-29
union_of_two_mode_heads,development_main,76,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k304,218,116,487,456,9.0,351,105,181,78,92,345,82,180,76,89,318,53,164,70,84,226,28,104,52,70,103,20,33,33,37,222,96,41,123,89,-19
union_of_two_undifferentiated_heads,development_main,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304 OR token_entropy_d0|L3|sign-1|change_point|k860,218,116,487,1133,10.0,374,759,189,84,101,372,291,189,84,99,371,61,189,83,99,344,16,177,76,91,97,9,22,33,42,222,149,41,148,89,-6
single_undifferentiated,external_8b,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
drop_head_only,external_8b,76,change_point,state_mobility_d0|L14|sign-1|change_point|k215,241,143,564,215,9.0,182,33,116,27,39,167,30,105,26,36,124,28,79,13,32,75,25,41,7,27,53,16,24,7,22,274,-150,50,29,112,-99
grasp_head_only,external_8b,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,304,9.0,207,97,64,73,70,199,74,64,68,67,192,43,61,66,65,175,10,53,65,57,60,1,12,29,19,274,-82,50,11,112,-46
union_of_two_mode_heads,external_8b,76,change_point,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k304,241,143,564,480,9.0,352,128,159,95,98,330,102,148,90,92,284,69,122,76,86,226,35,81,69,76,106,17,36,33,37,274,10,50,72,112,-36
union_of_two_undifferentiated_heads,external_8b,76,change_point,token_differentiation_d0|L2|sign-1|change_point|k304 OR token_entropy_d0|L3|sign-1|change_point|k860,241,143,564,1144,10.0,377,767,164,105,108,370,370,164,100,106,364,110,162,98,104,341,28,153,94,94,85,9,20,33,32,274,90,50,112,112,-14
