mode,arm,channel,sign,stat,dev_tp,dev_n,dev_fp,ext_tp,ext_n,ext_fp,ext_ci_lo,ext_ci_hi,ext_tp_frozen_value,ext_fp_frozen_value,ext_baseline_tp,ext_excess_over_baseline,ext_median_alarm_chunk
drop,threshold,selected_mass|L2,1,threshold,95,218,22,107,241,127,48.0,177.0,109,151,50,57,13.0
drop,change_point,state_mobility_d0|L14,-1,change_point,103,218,20,79,241,28,39.0,126.0,98,34,50,29,18.0
drop,persistence,flow_path|L13,1,persist_run|g900,105,218,36,110,241,29,48.97500000000001,181.0,115,40,50,60,16.0
grasp,threshold,mobility_d0|L5,-1,threshold,43,116,26,39,143,7,3.0,102.0,62,27,0,39,24.0
grasp,change_point,token_differentiation_d0|L2,-1,change_point,60,116,34,66,143,43,7.0,170.0250000000001,83,143,112,-46,39.0
grasp,persistence,token_entropy_d0|L2,1,persist_cycles|g975,58,116,37,44,143,19,0.0,128.0,61,64,0,44,39.0
