arm,detector,budget_dev_fp_lead4,fp_lead4,tp_lead4,n_risk,tp_drop_lead4,n_drop,tp_grasp_lead4,n_grasp,median_lead,fp_gap,config
any,drop_head_only,100,45,183,564,118,241,20,143,9.0,12,state_mobility_d0|L15|sign-1|change_point|k304
any,grasp_head_only,76,43,192,564,61,241,66,143,9.0,14,token_differentiation_d0|L2|sign-1|change_point|k304
any,single_undifferentiated,38,43,192,564,61,241,66,143,9.0,14,token_differentiation_d0|L2|sign-1|change_point|k304
any,union_of_two_mode_heads,57,60,237,564,91,241,83,143,15.0,3,state_mobility_d0|L14|sign-1|change_point|k215 OR state_action_alignment|L5|sign+1|persist_run|g975|k76
any,union_of_two_undifferentiated_heads,76,70,363,564,163,241,95,143,9.0,13,token_differentiation_d0|L2|sign-1|change_point|k304 OR flow_path|L13|sign+1|persist_run|g900|k215
change_point,drop_head_only,100,45,183,564,118,241,20,143,9.0,12,state_mobility_d0|L15|sign-1|change_point|k304
change_point,grasp_head_only,76,43,192,564,61,241,66,143,9.0,14,token_differentiation_d0|L2|sign-1|change_point|k304
change_point,single_undifferentiated,38,43,192,564,61,241,66,143,9.0,14,token_differentiation_d0|L2|sign-1|change_point|k304
change_point,union_of_two_mode_heads,76,69,284,564,122,241,76,143,9.0,12,state_mobility_d0|L14|sign-1|change_point|k215 OR token_differentiation_d0|L2|sign-1|change_point|k304
change_point,union_of_two_undifferentiated_heads,28,60,330,564,146,241,90,143,10.0,3,token_differentiation_d0|L2|sign-1|change_point|k215 OR token_entropy_d0|L2|sign-1|change_point|k608
persistence,drop_head_only,150,74,184,564,106,241,28,143,11.0,17,selected_mass|L13|sign+1|persist_run|g900|k304
persistence,grasp_head_only,57,32,120,564,17,241,70,143,15.0,25,state_action_alignment|L5|sign+1|persist_run|g975|k76
persistence,single_undifferentiated,47,63,214,564,112,241,30,143,10.0,6,flow_path|L15|sign+1|persist_run|g975|k215
persistence,union_of_two_mode_heads,100,53,315,564,134,241,85,143,10.0,4,flow_path|L13|sign+1|persist_run|g900|k215 OR token_differentiation_d0|L2|sign-1|persist_cycles|g900|k152
persistence,union_of_two_undifferentiated_heads,100,68,245,564,125,241,39,143,10.0,11,flow_path|L15|sign+1|persist_run|g975|k215 OR flow_path|L13|sign+1|persist_run|g900|k215
threshold,drop_head_only,28,37,172,564,102,241,32,143,11.0,20,hb_entropy_action|L2|sign-1|threshold|k860
threshold,grasp_head_only,150,49,199,564,85,241,58,143,10.0,8,token_differentiation_d0|L2|sign-1|threshold|k304
threshold,single_undifferentiated,76,49,199,564,85,241,58,143,10.0,8,token_differentiation_d0|L2|sign-1|threshold|k304
threshold,union_of_two_mode_heads,38,56,323,564,170,241,77,143,11.0,1,hb_entropy_action|L2|sign-1|threshold|k860 OR token_differentiation_d0|L2|sign-1|threshold|k215
threshold,union_of_two_undifferentiated_heads,19,57,187,564,104,241,31,143,11.0,0,selected_mass|L2|sign+1|threshold|k304 OR hb_entropy_action|L2|sign-1|threshold|k608
