cohort,quantity,layer,frac_within_episode_constant,median_distinct_values,bit_constant
development_main,mobility,L2,0.0,13.0,False
development_main,mobility,L3,0.0,13.0,False
development_main,mobility,L4,0.0,13.0,False
development_main,mobility,L5,0.0,13.0,False
development_main,mobility,L12,0.0,13.0,False
development_main,mobility,L13,0.0,13.0,False
development_main,mobility,L14,0.0,13.0,False
development_main,mobility,L15,0.0,13.0,False
development_main,flow_path,L2,0.0,13.0,False
development_main,flow_path,L3,0.0,13.0,False
development_main,flow_path,L4,0.0,13.0,False
development_main,flow_path,L5,0.0,13.0,False
development_main,flow_path,L12,0.0,13.0,False
development_main,flow_path,L13,0.0,13.0,False
development_main,flow_path,L14,0.0,13.0,False
development_main,flow_path,L15,0.0,13.0,False
development_main,flow_settling_log_ratio,L2,0.0,13.0,False
development_main,flow_settling_log_ratio,L3,0.0,13.0,False
development_main,flow_settling_log_ratio,L4,0.0,13.0,False
development_main,flow_settling_log_ratio,L5,0.0,13.0,False
development_main,flow_settling_log_ratio,L12,0.0,13.0,False
development_main,flow_settling_log_ratio,L13,0.0,13.0,False
development_main,flow_settling_log_ratio,L14,0.0,13.0,False
development_main,flow_settling_log_ratio,L15,0.0,13.0,False
development_main,flow_endpoint,L2,0.0,13.0,False
development_main,flow_endpoint,L3,0.0,13.0,False
development_main,flow_endpoint,L4,0.0,13.0,False
development_main,flow_endpoint,L5,0.0,13.0,False
development_main,flow_endpoint,L12,0.0,13.0,False
development_main,flow_endpoint,L13,0.0,13.0,False
development_main,flow_endpoint,L14,0.0,13.0,False
development_main,flow_endpoint,L15,0.0,13.0,False
development_main,action_consensus,L2,0.0,13.0,False
development_main,action_consensus,L3,0.0,13.0,False
development_main,action_consensus,L4,0.0,13.0,False
development_main,action_consensus,L5,0.0,13.0,False
development_main,action_consensus,L12,0.0,13.0,False
development_main,action_consensus,L13,0.0,13.0,False
development_main,action_consensus,L14,0.0,13.0,False
development_main,action_consensus,L15,0.0,13.0,False
development_main,state_action_alignment,L2,0.0,13.0,False
development_main,state_action_alignment,L3,0.0,13.0,False
development_main,state_action_alignment,L4,0.0,13.0,False
development_main,state_action_alignment,L5,0.0,13.0,False
development_main,state_action_alignment,L12,0.0,13.0,False
development_main,state_action_alignment,L13,0.0,13.0,False
development_main,state_action_alignment,L14,0.0,13.0,False
development_main,state_action_alignment,L15,0.0,13.0,False
development_main,conditional_energy,L2,0.0,13.0,False
development_main,conditional_energy,L3,0.0,13.0,False
development_main,conditional_energy,L4,0.0,13.0,False
