q0,fp_lead0,tp_all_lead0,tp_drop_lead0,tp_grasp_lead0,fp_lead2,tp_all_lead2,tp_drop_lead2,tp_grasp_lead2,fp_lead4,tp_all_lead4,tp_drop_lead4,tp_grasp_lead4,fp_lead8,tp_all_lead8,tp_drop_lead8,tp_grasp_lead8,fp_lead12,tp_all_lead12,tp_drop_lead12,tp_grasp_lead12,in_protocol_sweep
2,15036,564,241,143,15036,564,241,143,15036,564,241,143,12038,564,241,143,6335,564,241,143,True
3,15036,564,241,143,15036,564,241,143,15036,564,241,143,10778,564,241,143,5189,564,241,143,True
4,15036,564,241,143,15036,564,241,143,14899,564,241,143,10171,564,241,143,4510,564,241,143,True
5,15036,564,241,143,15036,564,241,143,13892,564,241,143,8582,564,241,143,4229,564,241,143,True
6,15036,564,241,143,14899,564,241,143,12038,564,241,143,6335,564,241,143,4020,564,241,143,True
7,14899,564,241,143,13892,564,241,143,10778,564,241,143,5189,564,241,143,3736,564,241,143,True
8,13892,564,241,143,12038,564,241,143,10171,564,241,143,4510,564,241,143,3529,564,241,143,True
9,12038,564,241,143,10778,564,241,143,8582,564,241,143,4229,564,241,143,3431,564,241,143,True
10,10778,564,241,143,10171,564,241,143,6335,564,241,143,4020,564,241,143,3212,564,241,143,True
11,10171,564,241,143,8582,564,241,143,5189,564,241,143,3736,564,241,143,2776,424,150,117,True
12,8582,564,241,143,6335,564,241,143,4510,564,241,143,3529,564,241,143,2326,424,150,117,True
13,6335,564,241,143,5189,564,241,143,4229,564,241,143,3431,564,241,143,1750,424,150,117,True
14,5189,564,241,143,4510,564,241,143,4020,564,241,143,3212,564,241,143,1118,424,150,117,True
15,4510,564,241,143,4229,564,241,143,3736,564,241,143,2776,424,150,117,707,424,150,117,True
16,4229,564,241,143,4020,564,241,143,3529,564,241,143,2326,424,150,117,499,424,150,117,True
17,4020,564,241,143,3736,564,241,143,3431,564,241,143,1750,424,150,117,389,380,131,117,True
18,3736,564,241,143,3529,564,241,143,3212,564,241,143,1118,424,150,117,355,380,131,117,True
19,3529,564,241,143,3431,564,241,143,2776,424,150,117,707,424,150,117,333,274,50,112,True
20,3431,564,241,143,3212,564,241,143,2326,424,150,117,499,424,150,117,313,274,50,112,True
21,3212,564,241,143,2776,424,150,117,1750,424,150,117,389,380,131,117,295,274,50,112,True
22,2776,424,150,117,2326,424,150,117,1118,424,150,117,355,380,131,117,287,274,50,112,True
23,2326,424,150,117,1750,424,150,117,707,424,150,117,333,274,50,112,284,274,50,112,True
24,1750,424,150,117,1118,424,150,117,499,424,150,117,313,274,50,112,278,274,50,112,True
25,1118,424,150,117,707,424,150,117,389,380,131,117,295,274,50,112,270,274,50,112,True
26,707,424,150,117,499,424,150,117,355,380,131,117,287,274,50,112,245,274,50,112,True
27,499,424,150,117,389,380,131,117,333,274,50,112,284,274,50,112,185,274,50,112,True
28,389,380,131,117,355,380,131,117,313,274,50,112,278,274,50,112,110,274,50,112,True
29,355,380,131,117,333,274,50,112,295,274,50,112,270,274,50,112,60,274,50,112,True
30,333,274,50,112,313,274,50,112,287,274,50,112,245,274,50,112,37,274,50,112,True
31,313,274,50,112,295,274,50,112,284,274,50,112,185,274,50,112,28,274,50,112,True
32,295,274,50,112,287,274,50,112,278,274,50,112,110,274,50,112,23,274,50,112,True
33,287,274,50,112,284,274,50,112,270,274,50,112,60,274,50,112,14,274,50,112,True
34,284,274,50,112,278,274,50,112,245,274,50,112,37,274,50,112,11,274,50,112,True
35,278,274,50,112,270,274,50,112,185,274,50,112,28,274,50,112,8,274,50,112,True
36,270,274,50,112,245,274,50,112,110,274,50,112,23,274,50,112,5,274,50,112,True
37,245,274,50,112,185,274,50,112,60,274,50,112,14,274,50,112,2,274,50,112,True
38,185,274,50,112,110,274,50,112,37,274,50,112,11,274,50,112,2,274,50,112,True
39,110,274,50,112,60,274,50,112,28,274,50,112,8,274,50,112,2,274,50,112,True
40,60,274,50,112,37,274,50,112,23,274,50,112,5,274,50,112,0,274,50,112,False
41,37,274,50,112,28,274,50,112,14,274,50,112,2,274,50,112,0,0,0,0,False
42,28,274,50,112,23,274,50,112,11,274,50,112,2,274,50,112,0,0,0,0,False
43,23,274,50,112,14,274,50,112,8,274,50,112,2,274,50,112,0,0,0,0,False
44,14,274,50,112,11,274,50,112,5,274,50,112,0,274,50,112,0,0,0,0,False
45,11,274,50,112,8,274,50,112,2,274,50,112,0,0,0,0,0,0,0,0,False
46,8,274,50,112,5,274,50,112,2,274,50,112,0,0,0,0,0,0,0,0,False
47,5,274,50,112,2,274,50,112,2,274,50,112,0,0,0,0,0,0,0,0,False
48,2,274,50,112,2,274,50,112,0,274,50,112,0,0,0,0,0,0,0,0,False
49,2,274,50,112,2,274,50,112,0,0,0,0,0,0,0,0,0,0,0,0,False
50,2,274,50,112,0,274,50,112,0,0,0,0,0,0,0,0,0,0,0,0,False
51,0,274,50,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
