check,cohort,field,got,want,ok
v7_guard_capfree,development_main,tp_lead4,303.0,303.0,True
v7_guard_capfree,development_main,fp_lead4,38.0,38.0,True
v7_guard_capfree,development_main,median_lead_at_headline,16.0,16.0,True
v7_guard_capfree,development_main,tp,382.0,382.0,True
v7_guard_capfree,development_main,fp,67.0,67.0,True
v7_guard_capfree,development_main,n_risk,487.0,487.0,True
v7_guard_capfree,external_8b,tp_lead4,347.0,347.0,True
v7_guard_capfree,external_8b,fp_lead4,57.0,57.0,True
v7_guard_capfree,external_8b,median_lead_at_headline,17.0,17.0,True
v7_guard_capfree,external_8b,tp,439.0,439.0,True
v7_guard_capfree,external_8b,fp,80.0,80.0,True
v7_guard_capfree,external_8b,n_risk,564.0,564.0,True
