cohort,mode,n,n_risk_total,goal,long,object,spatial,top_task,top_task_n,top_task_share,n_tasks_present
development_main,object_released_or_dropped_before_goal,218,487,76,41,17,84,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,47,0.21559633027522937,24
development_main,stable_grasp_not_observed,116,487,5,89,0,22,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,80,0.6896551724137931,9
development_main,__all_risk__,487,487,102,222,37,126,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,0.28336755646817247,32
external_8b,object_released_or_dropped_before_goal,241,564,81,50,19,91,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45,0.18672199170124482,29
external_8b,stable_grasp_not_observed,143,564,5,112,0,26,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,87,0.6083916083916084,11
external_8b,__all_risk__,564,564,106,274,44,140,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,151,0.26773049645390073,36
