lead,step,risk_branches,positives,snapshots,workers,rate_brier,control_brier,moe_only_brier,control_plus_moe_brier,moe_increment,control_gain_vs_rate,workers_positive,worker_gain_min,worker_gain_max
0,3,352,172,22,4,0.24987086776859507,0.3427631876662486,0.34755376057153564,0.35069880823578364,-0.007935620569535062,-0.09289231989765351,1,-0.025268696549119507,0.01700030413979109
0,4,352,172,22,4,0.24987086776859507,0.346228462420807,0.34437988492471006,0.34925786888903493,-0.003029406468227913,-0.09635759465221194,2,-0.04460240672991178,0.03184816466064627
0,5,352,172,22,4,0.24987086776859507,0.34751974141461656,0.3313590922703971,0.3326443638508901,0.014875377563726477,-0.09764887364602148,2,-0.021945399316574743,0.06452586053553525
0,6,352,172,22,4,0.24987086776859507,0.3678313874589109,0.3368833779624795,0.34256255051935297,0.025268836939557948,-0.11796051969031585,2,-0.01658493432563457,0.09472895345858567
0,7,352,172,22,4,0.24987086776859507,0.35588834225390636,0.3422932190449462,0.34577672175106333,0.010111620502843033,-0.10601747448531129,2,-0.01197751389526458,0.05541442590028384
0,8,352,172,22,4,0.24987086776859507,0.353039674250435,0.3307798629187428,0.3338326827035024,0.01920699154693256,-0.1031688064818399,2,-0.02310961594269767,0.0937289879841971
0,9,352,172,22,4,0.24987086776859507,0.34188365606980864,0.34710316539230823,0.3461845006439876,-0.0043008445741789525,-0.09201278830121357,1,-0.0312624328526408,0.0362440629218681
0,10,351,171,22,4,0.24983563445101903,0.3297142745474656,0.34327483236072104,0.34150166188483716,-0.011787387337371558,-0.07987864009644657,1,-0.039944406087812384,0.028710550028428317
0,11,351,171,22,4,0.24983563445101903,0.32327224081740996,0.3349091167145256,0.3380811737240694,-0.014808932906659411,-0.07343660636639093,1,-0.037544324042481536,0.015978315765784568
0,12,349,169,22,4,0.24975164407517178,0.3212795337369491,0.3358642078151517,0.33156419655088615,-0.010284662813937029,-0.07152788966177734,1,-0.023915849605671113,0.008687145086640813
0,13,347,167,22,4,0.24964911260786155,0.31950989321426737,0.33016078170198443,0.3281579437388113,-0.008648050524543927,-0.06986078060640583,1,-0.0189771593056432,0.002235954992044098
0,14,346,166,22,4,0.2495906979852318,0.3184014268869735,0.3359877864196442,0.3315318758767784,-0.013130448989804921,-0.06881072890174167,0,-0.01916885860521092,-0.0064401918755234155
0,15,345,165,22,4,0.24952741020793953,0.32240404912712717,0.3239078333156582,0.3306758258530156,-0.008271776725888413,-0.07287663891918764,1,-0.01987134842091101,0.012680157397261332
0,16,345,165,22,4,0.24952741020793953,0.3209710997178673,0.323323739842542,0.3289682025989297,-0.007997102881062423,-0.07144368950992777,1,-0.014079017757282375,0.0009261899599789514
0,17,337,157,22,4,0.24883550969014437,0.33706890727106786,0.32548605724849156,0.3348408910686769,0.0022280162023909367,-0.0882333975809235,3,-0.016471280590174914,0.017818868595045056
0,18,332,152,22,4,0.24822180287414725,0.32432737114859167,0.32740368977454337,0.33369330700188493,-0.009365935853293261,-0.07610556827444442,0,-0.023512826880861648,-5.0316235735425874e-05
0,19,324,144,22,4,0.24691358024691362,0.32580017514993254,0.3317234045400359,0.3337187077824703,-0.007918532632537778,-0.07888659490301891,2,-0.027850293611748067,0.007393152018873694
0,20,305,125,22,4,0.24187046492878259,0.306903950222948,0.31084125116297356,0.3118926591562445,-0.004988708933296504,-0.06503348529416539,2,-0.03272437412948803,0.006672809996732032
0,21,285,105,22,4,0.23268698060941823,0.2894344293358235,0.3073962501748365,0.3080209417040269,-0.01858651236820341,-0.05674744872640525,1,-0.06315411788666214,0.006513502061773868
