cohort,suite,chunk,phase,in_window_65,max_abs_effect,n_cells,median_n_tasks,n_alive,n_alive_risk,survival_prior,control_max_abs_effect,fwer_p95
development_main,libero_goal,4,0.166667,True,0.171002,208,6.0,4000,102,0.0255,0.0623367,0.13899894999829612
development_main,libero_goal,5,0.2,True,0.179896,208,6.0,4000,102,0.0255,0.0876827,0.13899894999829612
development_main,libero_goal,6,0.233333,True,0.251793,208,6.0,4000,102,0.0255,0.0596687,0.13899894999829612
development_main,libero_goal,7,0.266667,True,0.185893,208,6.0,3879,102,0.0262954,0.0697953,0.13899894999829612
development_main,libero_goal,8,0.3,True,0.189176,208,5.0,3195,102,0.0319249,0.0459309,0.13899894999829612
development_main,libero_goal,9,0.333333,True,0.209908,208,5.0,2027,102,0.0503207,0.0714019,0.13899894999829612
development_main,libero_long,4,0.0961538,True,0.0975232,208,7.0,2800,222,0.0792857,0.0508552,0.10907308041409555
development_main,libero_long,5,0.115385,True,0.113687,208,7.0,2800,222,0.0792857,0.0293629,0.10907308041409555
development_main,libero_long,6,0.134615,True,0.127057,208,7.0,2800,222,0.0792857,0.0293629,0.10907308041409555
development_main,libero_long,7,0.153846,True,0.1255,208,7.0,2800,222,0.0792857,0.0407613,0.10907308041409555
development_main,libero_long,8,0.173077,True,0.0991907,208,7.0,2800,222,0.0792857,0.0396941,0.10907308041409555
development_main,libero_long,9,0.192308,True,0.107424,208,7.0,2800,222,0.0792857,0.0365073,0.10907308041409555
development_main,libero_long,10,0.211538,True,0.0998132,208,7.0,2800,222,0.0792857,0.0399609,0.10907308041409555
development_main,libero_long,11,0.230769,True,0.0962114,208,7.0,2800,222,0.0792857,0.0612901,0.10907308041409555
development_main,libero_long,12,0.25,True,0.128702,208,7.0,2800,222,0.0792857,0.0322829,0.10907308041409555
development_main,libero_long,13,0.269231,True,0.147571,208,7.0,2800,222,0.0792857,0.0418433,0.10907308041409555
development_main,libero_long,14,0.288462,True,0.186309,208,7.0,2799,222,0.079314,0.0436864,0.10907308041409555
development_main,libero_long,15,0.307692,True,0.190437,208,7.0,2778,222,0.0799136,0.0512855,0.10907308041409555
development_main,libero_long,16,0.326923,True,0.173426,208,7.0,2719,222,0.0816477,0.032596,0.10907308041409555
development_main,libero_long,17,0.346154,True,0.110266,208,7.0,2632,222,0.0843465,0.0421342,0.10907308041409555
development_main,libero_long,18,0.365385,True,0.119391,208,7.0,2551,222,0.0870247,0.0519901,0.10907308041409555
development_main,libero_long,19,0.384615,True,0.107919,208,7.0,2499,222,0.0888355,0.0441913,0.10907308041409555
development_main,libero_long,20,0.403846,True,0.126531,208,7.0,2466,222,0.0900243,0.0267483,0.10907308041409555
development_main,libero_long,21,0.423077,True,0.124085,208,7.0,2277,222,0.0974967,0.0384515,0.10907308041409555
development_main,libero_long,22,0.442308,True,0.115255,208,7.0,1861,222,0.119291,0.0391111,0.10907308041409555
development_main,libero_long,23,0.461538,True,0.156429,208,7.0,1492,222,0.148794,0.0552033,0.10907308041409555
development_main,libero_long,24,0.480769,True,0.17341,208,6.0,1164,222,0.190722,0.0320672,0.10907308041409555
development_main,libero_long,25,0.5,True,0.176922,208,4.0,814,222,0.272727,0.0510597,0.10907308041409555
development_main,libero_long,26,0.519231,True,0.182731,208,4.0,675,222,0.328889,0.0530291,0.10907308041409555
development_main,libero_object,4,0.178571,True,0.234202,208,6.0,4000,37,0.00925,0.105795,0.20253444144953578
development_main,libero_object,5,0.214286,True,0.169811,208,6.0,4000,37,0.00925,0.0902216,0.20253444144953578
development_main,libero_object,6,0.25,True,0.301924,208,6.0,4000,37,0.00925,0.086478,0.20253444144953578
development_main,libero_object,7,0.285714,True,0.353324,208,6.0,4000,37,0.00925,0.0791405,0.20253444144953578
development_main,libero_object,8,0.321429,True,0.386718,208,6.0,4000,37,0.00925,0.108715,0.20253444144953578
development_main,libero_object,9,0.357143,True,0.389862,208,6.0,4000,37,0.00925,0.0565289,0.20253444144953578
development_main,libero_object,10,0.392857,True,0.327418,208,6.0,4000,37,0.00925,0.0589997,0.20253444144953578
development_main,libero_object,11,0.428571,True,0.288371,208,6.0,3972,37,0.00931521,0.083878,0.20253444144953578
development_main,libero_object,12,0.464286,True,0.322237,208,6.0,3409,37,0.0108536,0.0588036,0.20253444144953578
development_main,libero_spatial,4,0.227273,True,0.132758,208,9.0,4000,126,0.0315,0.0464956,0.14690290772665623
development_main,libero_spatial,5,0.272727,True,0.130762,208,9.0,4000,126,0.0315,0.0464956,0.14690290772665623
development_main,libero_spatial,6,0.318182,True,0.218759,208,9.0,4000,126,0.0315,0.0611025,0.14690290772665623
development_main,libero_spatial,7,0.363636,True,0.283487,208,9.0,3984,126,0.0316265,0.0673925,0.14690290772665623
development_main,libero_spatial,8,0.409091,True,0.320306,208,9.0,3671,126,0.0343231,0.0493425,0.14690290772665623
development_main,libero_spatial,9,0.454545,True,0.297803,208,8.0,2977,126,0.0423245,0.0489935,0.14690290772665623
development_main,libero_spatial,10,0.5,True,0.35118,208,8.0,2050,126,0.0614634,0.0539396,0.14690290772665623
development_main,libero_spatial,11,0.545455,True,0.379037,208,7.0,1494,126,0.0843373,0.0883183,0.14690290772665623
development_main,libero_spatial,12,0.590909,True,0.431288,208,4.0,760,126,0.165789,0.0754333,0.14690290772665623
external_8b,libero_goal,4,0.166667,True,0.225361,208,5.0,4000,106,0.0265,0.0511002,0.1406865803048954
external_8b,libero_goal,5,0.2,True,0.140331,208,5.0,4000,106,0.0265,0.0692738,0.1406865803048954
external_8b,libero_goal,6,0.233333,True,0.246942,208,5.0,4000,106,0.0265,0.103323,0.1406865803048954
external_8b,libero_goal,7,0.266667,True,0.232454,208,5.0,3877,106,0.0273407,0.0437213,0.1406865803048954
external_8b,libero_goal,8,0.3,True,0.241004,208,4.0,3179,106,0.0333438,0.0475776,0.1406865803048954
external_8b,libero_goal,9,0.333333,True,0.241303,208,4.0,2027,106,0.052294,0.108439,0.1406865803048954
external_8b,libero_long,4,0.0961538,True,0.0753019,208,8.0,4000,274,0.0685,0.0392483,0.10581001166125037
external_8b,libero_long,5,0.115385,True,0.138869,208,8.0,4000,274,0.0685,0.043014,0.10581001166125037
external_8b,libero_long,6,0.134615,True,0.147567,208,8.0,4000,274,0.0685,0.0261655,0.10581001166125037
external_8b,libero_long,7,0.153846,True,0.165509,208,8.0,4000,274,0.0685,0.0448726,0.10581001166125037
external_8b,libero_long,8,0.173077,True,0.14767,208,8.0,4000,274,0.0685,0.0402201,0.10581001166125037
external_8b,libero_long,9,0.192308,True,0.11715,208,8.0,4000,274,0.0685,0.0267243,0.10581001166125037
external_8b,libero_long,10,0.211538,True,0.11537,208,8.0,4000,274,0.0685,0.026202,0.10581001166125037
external_8b,libero_long,11,0.230769,True,0.13941,208,8.0,4000,274,0.0685,0.0254003,0.10581001166125037
external_8b,libero_long,12,0.25,True,0.157552,208,8.0,4000,274,0.0685,0.0254003,0.10581001166125037
external_8b,libero_long,13,0.269231,True,0.172609,208,8.0,4000,274,0.0685,0.0379,0.10581001166125037
external_8b,libero_long,14,0.288462,True,0.161682,208,8.0,4000,274,0.0685,0.0419086,0.10581001166125037
external_8b,libero_long,15,0.307692,True,0.131042,208,8.0,3968,274,0.0690524,0.0401193,0.10581001166125037
external_8b,libero_long,16,0.326923,True,0.122962,208,8.0,3918,274,0.0699336,0.0305878,0.10581001166125037
external_8b,libero_long,17,0.346154,True,0.120583,208,8.0,3834,274,0.0714658,0.0377493,0.10581001166125037
external_8b,libero_long,18,0.365385,True,0.135753,208,8.0,3749,274,0.0730862,0.0354138,0.10581001166125037
external_8b,libero_long,19,0.384615,True,0.139523,208,8.0,3695,274,0.0741543,0.0407742,0.10581001166125037
external_8b,libero_long,20,0.403846,True,0.137828,208,8.0,3654,274,0.0749863,0.0283908,0.10581001166125037
external_8b,libero_long,21,0.423077,True,0.126354,208,8.0,3457,274,0.0792595,0.0326975,0.10581001166125037
external_8b,libero_long,22,0.442308,True,0.110802,208,8.0,3035,274,0.0902801,0.0478582,0.10581001166125037
external_8b,libero_long,23,0.461538,True,0.154323,208,8.0,2590,274,0.105792,0.0375789,0.10581001166125037
external_8b,libero_long,24,0.480769,True,0.144335,208,7.0,2017,274,0.135845,0.0421001,0.10581001166125037
external_8b,libero_long,25,0.5,True,0.194457,208,7.0,1388,274,0.197406,0.0434519,0.10581001166125037
external_8b,libero_long,26,0.519231,True,0.143159,208,7.0,979,274,0.279877,0.0443382,0.10581001166125037
external_8b,libero_long,27,0.538462,True,0.216177,208,5.0,771,274,0.355383,0.0418745,0.10581001166125037
external_8b,libero_long,28,0.557692,True,0.28765,208,4.0,662,274,0.413897,0.0524956,0.10581001166125037
external_8b,libero_object,4,0.178571,True,0.166331,208,7.0,3600,44,0.0122222,0.091256,0.1928326131784169
external_8b,libero_object,5,0.214286,True,0.187748,208,7.0,3600,44,0.0122222,0.068479,0.1928326131784169
external_8b,libero_object,6,0.25,True,0.306721,208,7.0,3600,44,0.0122222,0.0887121,0.1928326131784169
external_8b,libero_object,7,0.285714,True,0.35825,208,7.0,3600,44,0.0122222,0.0635982,0.1928326131784169
external_8b,libero_object,8,0.321429,True,0.424303,208,7.0,3600,44,0.0122222,0.0858132,0.1928326131784169
external_8b,libero_object,9,0.357143,True,0.433266,208,7.0,3600,44,0.0122222,0.0662308,0.1928326131784169
external_8b,libero_object,10,0.392857,True,0.406703,208,7.0,3600,44,0.0122222,0.0635982,0.1928326131784169
external_8b,libero_object,11,0.428571,True,0.322568,208,7.0,3576,44,0.0123043,0.0638767,0.1928326131784169
external_8b,libero_object,12,0.464286,True,0.345748,208,7.0,2999,44,0.0146716,0.061177,0.1928326131784169
