cohort,arm,scope,fp_budget,cohort_timely_fpr,tp,risks,recall,fp_libero_goal,fp_libero_long,fp_libero_object,fp_libero_spatial,recall_libero_goal,recall_libero_long,recall_libero_object,recall_libero_spatial
development_main,routing_single,in_window_phase<=0.65,71,0.004960525396492699,261,487,0.5359342915811088,13,31,12,12,0.5,0.5990990990990991,0.6486486486486487,0.42063492063492064
development_main,null_control,in_window_phase<=0.65,71,0.004960525396492699,97,487,0.19917864476386038,5,58,2,5,0.11764705882352941,0.2927927927927928,0.1891891891891892,0.10317460317460317
development_main,length_leak,in_window_phase<=0.65,71,0.004960525396492699,487,487,1.0,0,0,2,0,1.0,1.0,1.0,1.0
development_main,routing_stacked_mv:crossfit,in_window_phase<=0.65,71,0.004960525396492699,282,487,0.5790554414784395,9,20,16,26,0.5392156862745098,0.6306306306306306,0.8918918918918919,0.42857142857142855
development_main,null_stacked_mv:crossfit,in_window_phase<=0.65,71,0.004960525396492699,63,487,0.1293634496919918,2,60,5,2,0.058823529411764705,0.2072072072072072,0.10810810810810811,0.05555555555555555
development_main,routing_best_of_all,in_window_phase<=0.65,71,0.004960525396492699,295,487,0.6057494866529775,23,20,16,12,0.6764705882352942,0.6306306306306306,0.8918918918918919,0.42063492063492064
external_8b,routing_single,in_window_phase<=0.65,75,0.004988028731045491,288,564,0.5106382978723404,3,31,13,24,0.39622641509433965,0.5547445255474452,0.6590909090909091,0.4642857142857143
external_8b,null_control,in_window_phase<=0.65,75,0.004988028731045491,104,564,0.18439716312056736,1,41,7,26,0.0660377358490566,0.19343065693430658,0.22727272727272727,0.24285714285714285
external_8b,length_leak,in_window_phase<=0.65,75,0.004988028731045491,564,564,1.0,1,0,1,2,1.0,1.0,1.0,1.0
external_8b,routing_stacked_mv:crossfit,in_window_phase<=0.65,75,0.004988028731045491,310,564,0.549645390070922,10,35,7,20,0.5471698113207547,0.5693430656934306,0.7954545454545454,0.4357142857142857
external_8b,null_stacked_mv:crossfit,in_window_phase<=0.65,75,0.004988028731045491,81,564,0.14361702127659576,0,62,12,1,0.0,0.20072992700729927,0.38636363636363635,0.06428571428571428
external_8b,routing_stacked_mv:dev_fitted_transfer,in_window_phase<=0.65,75,0.004988028731045491,322,564,0.5709219858156028,30,21,8,16,0.6698113207547169,0.5547445255474452,0.7727272727272727,0.4642857142857143
external_8b,null_stacked_mv:dev_fitted_transfer,in_window_phase<=0.65,75,0.004988028731045491,96,564,0.1702127659574468,2,28,19,24,0.07547169811320754,0.12773722627737227,0.5227272727272727,0.21428571428571427
external_8b,routing_best_of_all,in_window_phase<=0.65,75,0.004988028731045491,324,564,0.574468085106383,7,21,7,40,0.5754716981132075,0.5547445255474452,0.7954545454545454,0.5428571428571428
