cohort,suite,arm,chunk,phase,alpha,tp,fp,n_risk,recall,fpr,baseline_recall,excess_recall,head
development_main,libero_goal,best_single,18,0.633333,0.2,51,13,102,0.5,0.00333504,0.06532663316582914,0.43467336683417085,state_mobility_d0|L4|high
development_main,libero_goal,null_control,18,0.633333,0.1,19,16,102,0.186275,0.00410467,0.08040201005025126,0.10587298994974874,ctrl_episode_const_rand2|L2|high
development_main,libero_goal,length_leak,16,0.566667,0.0005,102,0,102,1.0,0.0,0.0,1.0,leak_full_length|L2|high
development_main,libero_goal,stacked_mv:crossfit,17,0.6,0.15,59,13,102,0.5784313725490197,0.0033350436121087736,0.03641456582633053,0.5420168067226891,stacked_mv:crossfit
development_main,libero_goal,null_mv:crossfit,18,0.6333333333333333,0.075,8,18,102,0.0784313725490196,0.004617752693689072,0.09045226130653265,-0.012020888757513046,null_mv:crossfit
development_main,libero_goal,length_only_all_survivors,-1,,,0,0,102,0.0,,0.0,0.0,alarm on every survivor
development_main,libero_long,best_single,32,0.634615,0.2,95,11,222,0.427928,0.00426687,0.03754266211604096,0.390385337883959,state_mobility_d0|L13|low
development_main,libero_long,null_control,31,0.615385,0.05,20,10,222,0.0900901,0.00387898,0.033003300330033,0.057086799669967006,ctrl_white_noise|L3|low
development_main,libero_long,length_leak,4,0.0961538,0.0005,222,0,222,1.0,0.0,0.0,1.0,leak_full_length|L2|high
development_main,libero_long,stacked_mv:crossfit,32,0.6346153846153846,0.2,94,12,222,0.42342342342342343,0.004654771140418929,0.0409556313993174,0.382467792024106,stacked_mv:crossfit
development_main,libero_long,null_mv:crossfit,32,0.6346153846153846,0.04,13,10,222,0.05855855855855856,0.003878975950349108,0.034129692832764506,0.02442886572579405,null_mv:crossfit
development_main,libero_long,length_only_all_survivors,-1,,,0,0,222,0.0,,0.0,0.0,alarm on every survivor
development_main,libero_object,best_single,17,0.642857,0.3,24,12,37,0.648649,0.00302801,0.16438356164383564,0.4842654383561644,expert_load_effective_rank|L14|low
development_main,libero_object,null_control,17,0.642857,0.2,12,14,37,0.324324,0.00353268,0.19178082191780824,0.13254317808219176,ctrl_white_noise|L5|high
development_main,libero_object,length_leak,16,0.607143,0.0005,37,2,37,1.0,0.000504668,0.01075268817204301,0.989247311827957,leak_full_length|L2|high
development_main,libero_object,stacked_mv:crossfit,16,0.6071428571428571,0.2,33,16,37,0.8918918918918919,0.0040373454453696694,0.08602150537634408,0.8058703865155478,stacked_mv:crossfit
development_main,libero_object,null_mv:crossfit,17,0.6428571428571429,0.2,8,18,37,0.21621621621621623,0.004542013626040878,0.24657534246575344,-0.03035912624953721,null_mv:crossfit
development_main,libero_object,length_only_all_survivors,-1,,,0,0,37,0.0,,0.0,0.0,alarm on every survivor
development_main,libero_spatial,best_single,13,0.636364,0.0005,54,16,126,0.428571,0.0041301,0.08421052631578947,0.3443604736842105,set_dwell|L3|high
development_main,libero_spatial,null_control,13,0.636364,0.1,20,16,126,0.15873,0.0041301,0.08421052631578947,0.07451947368421054,ctrl_white_noise|L2|low
development_main,libero_spatial,length_leak,11,0.545455,0.0005,126,0,126,1.0,0.0,0.0,1.0,leak_full_length|L2|high
development_main,libero_spatial,stacked_mv:crossfit,12,0.5909090909090909,0.075,45,16,126,0.35714285714285715,0.004130098089829634,0.02523659305993691,0.33190626408292023,stacked_mv:crossfit
development_main,libero_spatial,null_mv:crossfit,13,0.6363636363636364,0.075,13,14,126,0.10317460317460317,0.0036138358286009293,0.07368421052631578,0.029490392648287386,null_mv:crossfit
development_main,libero_spatial,length_only_all_survivors,-1,,,0,0,126,0.0,,0.0,0.0,alarm on every survivor
external_8b,libero_goal,best_single,18,0.633333,0.2,49,19,106,0.462264,0.0048793,0.08597285067873303,0.37629114932126695,partial_edge_std|L2|high
external_8b,libero_goal,null_control,18,0.633333,0.075,15,14,106,0.141509,0.00359527,0.06334841628959276,0.07816058371040724,ctrl_white_noise|L15|low
external_8b,libero_goal,length_leak,16,0.566667,0.0005,106,1,106,1.0,0.000256805,0.0025380710659898475,0.9974619289340102,leak_full_length|L2|high
external_8b,libero_goal,stacked_mv:crossfit,18,0.6333333333333333,0.2,58,10,106,0.5471698113207547,0.0025680534155110425,0.04524886877828054,0.5019209425424742,stacked_mv:crossfit
external_8b,libero_goal,stacked_mv:dev_fitted_transfer,18,0.6333333333333333,0.2,61,7,106,0.5754716981132075,0.0017976373908577298,0.03167420814479638,0.5437974899684112,stacked_mv:dev_fitted_transfer
external_8b,libero_goal,null_mv:crossfit,16,0.5666666666666667,0.02,6,9,106,0.05660377358490566,0.0023112480739599386,0.02284263959390863,0.03376113399099703,null_mv:crossfit
external_8b,libero_goal,null_mv:dev_fitted_transfer,18,0.6333333333333333,0.075,14,15,106,0.1320754716981132,0.003852080123266564,0.06787330316742082,0.06420216853069238,null_mv:dev_fitted_transfer
external_8b,libero_goal,length_only_all_survivors,-1,,,0,0,106,0.0,,0.0,0.0,alarm on every survivor
external_8b,libero_long,best_single,32,0.634615,0.2,106,15,274,0.386861,0.00402576,0.05084745762711865,0.3360135423728814,query_hard_churn_d9|L15|low
external_8b,libero_long,null_control,32,0.634615,0.075,28,18,274,0.10219,0.00483092,0.061016949152542375,0.04117305084745763,ctrl_episode_const_rand|L2|high
external_8b,libero_long,length_leak,4,0.0961538,0.0005,274,0,274,1.0,0.0,0.0,1.0,leak_full_length|L2|high
external_8b,libero_long,stacked_mv:crossfit,29,0.5769230769230769,0.2,109,18,274,0.3978102189781022,0.004830917874396135,0.05084745762711865,0.3469627613509836,stacked_mv:crossfit
external_8b,libero_long,stacked_mv:dev_fitted_transfer,32,0.6346153846153846,0.2,103,14,274,0.3759124087591241,0.003757380568974772,0.04745762711864407,0.32845478164048003,stacked_mv:dev_fitted_transfer
external_8b,libero_long,null_mv:crossfit,31,0.6153846153846154,0.04,13,16,274,0.04744525547445255,0.0042941492216854536,0.05111821086261981,-0.003672955388167261,null_mv:crossfit
external_8b,libero_long,null_mv:dev_fitted_transfer,31,0.6153846153846154,0.05,19,15,274,0.06934306569343066,0.004025764895330112,0.047923322683706075,0.02141974300972458,null_mv:dev_fitted_transfer
external_8b,libero_long,length_only_all_survivors,-1,,,0,0,274,0.0,,0.0,0.0,alarm on every survivor
external_8b,libero_object,best_single,17,0.642857,0.3,29,13,44,0.659091,0.00365579,0.15116279069767444,0.5079282093023255,expert_load_effective_rank|L12|low
external_8b,libero_object,null_control,17,0.642857,0.2,14,15,44,0.318182,0.00421822,0.1744186046511628,0.14376339534883723,ctrl_white_noise|L4|low
external_8b,libero_object,length_leak,17,0.642857,0.0005,44,1,44,1.0,0.000281215,0.011627906976744186,0.9883720930232558,leak_full_length|L2|high
external_8b,libero_object,stacked_mv:crossfit,17,0.6428571428571429,0.3,35,7,44,0.7954545454545454,0.001968503937007874,0.08139534883720931,0.7140591966173361,stacked_mv:crossfit
external_8b,libero_object,stacked_mv:dev_fitted_transfer,17,0.6428571428571429,0.3,34,8,44,0.7727272727272727,0.0022497187851518562,0.09302325581395349,0.6797040169133193,stacked_mv:dev_fitted_transfer
external_8b,libero_object,null_mv:crossfit,17,0.6428571428571429,0.2,17,12,44,0.38636363636363635,0.003374578177727784,0.13953488372093023,0.24682875264270612,null_mv:crossfit
external_8b,libero_object,null_mv:dev_fitted_transfer,17,0.6428571428571429,0.2,14,15,44,0.3181818181818182,0.00421822272215973,0.1744186046511628,0.14376321353065538,null_mv:dev_fitted_transfer
external_8b,libero_object,length_only_all_survivors,-1,,,0,0,44,0.0,,0.0,0.0,alarm on every survivor
external_8b,libero_spatial,best_single,13,0.636364,0.0005,56,16,140,0.4,0.00414508,0.08465608465608465,0.31534391534391537,set_dwell|L12|high
external_8b,libero_spatial,null_control,13,0.636364,0.1,23,15,140,0.164286,0.00388601,0.07936507936507936,0.08492092063492063,ctrl_white_noise|L3|high
external_8b,libero_spatial,length_leak,4,0.227273,0.0005,140,2,140,1.0,0.000518135,0.0005181347150259067,0.9994818652849741,leak_full_length|L2|high
external_8b,libero_spatial,stacked_mv:crossfit,11,0.5454545454545454,0.04,54,11,140,0.38571428571428573,0.002849740932642487,0.008088235294117646,0.37762605042016806,stacked_mv:crossfit
external_8b,libero_spatial,stacked_mv:dev_fitted_transfer,11,0.5454545454545454,0.05,65,16,140,0.4642857142857143,0.004145077720207254,0.011764705882352941,0.45252100840336135,stacked_mv:dev_fitted_transfer
external_8b,libero_spatial,null_mv:crossfit,13,0.6363636363636364,0.1,23,15,140,0.16428571428571428,0.0038860103626943004,0.07936507936507936,0.08492063492063492,null_mv:crossfit
external_8b,libero_spatial,null_mv:dev_fitted_transfer,13,0.6363636363636364,0.1,22,16,140,0.15714285714285714,0.004145077720207254,0.08465608465608465,0.07248677248677249,null_mv:dev_fitted_transfer
external_8b,libero_spatial,length_only_all_survivors,-1,,,0,0,140,0.0,,0.0,0.0,alarm on every survivor
