cohort,suite,chunk,phase,cap,alive,safe_alive,risk_alive,survival_prior,n_risk,n_safe,fpr_if_all_survivors_alarm,length_only_recall_at_budget,in_window_65
development_main,libero_goal,4,0.16666666666666666,30,4000,3898,102,0.0255,102,3898,1.0,0.005,True
development_main,libero_goal,5,0.2,30,4000,3898,102,0.0255,102,3898,1.0,0.005,True
development_main,libero_goal,6,0.23333333333333334,30,4000,3898,102,0.0255,102,3898,1.0,0.005,True
development_main,libero_goal,7,0.26666666666666666,30,3879,3777,102,0.026295436968290797,102,3898,0.9689584402257568,0.005160180037066455,True
development_main,libero_goal,8,0.3,30,3195,3093,102,0.03192488262910798,102,3898,0.7934838378655721,0.006301325573876496,True
development_main,libero_goal,9,0.3333333333333333,30,2027,1925,102,0.05032067094227923,102,3898,0.49384299640841456,0.010124675324675324,True
development_main,libero_goal,10,0.36666666666666664,30,1666,1564,102,0.061224489795918366,102,3898,0.4012314007183171,0.012461636828644504,True
development_main,libero_goal,11,0.4,30,1648,1546,102,0.061893203883495146,102,3898,0.396613648024628,0.012606727037516172,True
development_main,libero_goal,12,0.43333333333333335,30,1373,1271,102,0.07428987618353969,102,3898,0.32606464853771167,0.015334382376081826,True
development_main,libero_goal,13,0.4666666666666667,30,810,708,102,0.1259259259259259,102,3898,0.18163160595177014,0.027528248587570626,True
development_main,libero_goal,14,0.5,30,585,483,102,0.17435897435897435,102,3898,0.12390969728065675,0.040351966873706006,True
development_main,libero_goal,15,0.5333333333333333,30,503,401,102,0.20278330019880716,102,3898,0.10287326834273987,0.04860349127182045,True
development_main,libero_goal,16,0.5666666666666667,30,484,382,102,0.21074380165289255,102,3898,0.09799897383273473,0.051020942408376964,True
development_main,libero_goal,17,0.6,30,459,357,102,0.2222222222222222,102,3898,0.09158542842483325,0.054593837535014005,True
development_main,libero_goal,18,0.6333333333333333,30,301,199,102,0.3388704318936877,102,3898,0.051051821446895844,0.09793969849246233,True
development_main,libero_goal,19,0.6666666666666666,30,172,70,102,0.5930232558139535,102,3898,0.017957927142124165,0.27842857142857147,False
development_main,libero_goal,20,0.7,30,129,27,102,0.7906976744186046,102,3898,0.006926629040533607,0.7218518518518519,False
development_main,libero_goal,21,0.7333333333333333,30,118,16,102,0.864406779661017,102,3898,0.004104669061056952,1.0,False
development_main,libero_goal,22,0.7666666666666667,30,112,10,102,0.9107142857142857,102,3898,0.002565418163160595,1.0,False
development_main,libero_goal,23,0.8,30,107,5,102,0.9532710280373832,102,3898,0.0012827090815802976,1.0,False
development_main,libero_goal,24,0.8333333333333334,30,107,5,102,0.9532710280373832,102,3898,0.0012827090815802976,1.0,False
development_main,libero_goal,25,0.8666666666666667,30,105,3,102,0.9714285714285714,102,3898,0.0007696254489481786,1.0,False
development_main,libero_goal,26,0.9,30,103,1,102,0.9902912621359223,102,3898,0.0002565418163160595,1.0,False
development_main,libero_goal,27,0.9333333333333333,30,102,0,102,1.0,102,3898,0.0,1.0,False
development_main,libero_goal,28,0.9666666666666667,30,102,0,102,1.0,102,3898,0.0,1.0,False
development_main,libero_goal,29,1.0,30,102,0,102,1.0,102,3898,0.0,1.0,False
external_8b,libero_goal,4,0.16666666666666666,30,4000,3894,106,0.0265,106,3894,1.0,0.005,True
external_8b,libero_goal,5,0.2,30,4000,3894,106,0.0265,106,3894,1.0,0.005,True
external_8b,libero_goal,6,0.23333333333333334,30,4000,3894,106,0.0265,106,3894,1.0,0.005,True
external_8b,libero_goal,7,0.26666666666666666,30,3877,3771,106,0.027340727366520507,106,3894,0.9684129429892142,0.0051630867143993625,True
external_8b,libero_goal,8,0.3,30,3179,3073,106,0.03334381881094684,106,3894,0.7891628145865434,0.006335828180930687,True
external_8b,libero_goal,9,0.3333333333333333,30,2027,1921,106,0.05229403058707449,106,3894,0.4933230611196713,0.010135346173867776,True
external_8b,libero_goal,10,0.36666666666666664,30,1672,1566,106,0.06339712918660287,106,3894,0.40215716486902925,0.01243295019157088,True
external_8b,libero_goal,11,0.4,30,1659,1553,106,0.06389391199517781,106,3894,0.39881869542886494,0.012537025112685125,True
external_8b,libero_goal,12,0.43333333333333335,30,1383,1277,106,0.07664497469269703,106,3894,0.32794042116076016,0.015246671887235708,True
external_8b,libero_goal,13,0.4666666666666667,30,835,729,106,0.12694610778443113,106,3894,0.187211093990755,0.02670781893004115,True
external_8b,libero_goal,14,0.5,30,601,495,106,0.17637271214642264,106,3894,0.1271186440677966,0.03933333333333333,True
external_8b,libero_goal,15,0.5333333333333333,30,519,413,106,0.20423892100192678,106,3894,0.10606060606060606,0.047142857142857146,True
external_8b,libero_goal,16,0.5666666666666667,30,500,394,106,0.212,106,3894,0.10118130457113508,0.04941624365482233,True
external_8b,libero_goal,17,0.6,30,475,369,106,0.2231578947368421,106,3894,0.09476117103235747,0.05276422764227642,True
external_8b,libero_goal,18,0.6333333333333333,30,327,221,106,0.3241590214067278,106,3894,0.05675398048279404,0.08809954751131222,True
external_8b,libero_goal,19,0.6666666666666666,30,189,83,106,0.5608465608465608,106,3894,0.021314843348741654,0.23457831325301204,False
external_8b,libero_goal,20,0.7,30,139,33,106,0.762589928057554,106,3894,0.00847457627118644,0.59,False
external_8b,libero_goal,21,0.7333333333333333,30,124,18,106,0.8548387096774194,106,3894,0.004622496147919877,1.0,False
external_8b,libero_goal,22,0.7666666666666667,30,115,9,106,0.9217391304347826,106,3894,0.0023112480739599386,1.0,False
external_8b,libero_goal,23,0.8,30,112,6,106,0.9464285714285714,106,3894,0.0015408320493066256,1.0,False
external_8b,libero_goal,24,0.8333333333333334,30,111,5,106,0.954954954954955,106,3894,0.0012840267077555213,1.0,False
external_8b,libero_goal,25,0.8666666666666667,30,108,2,106,0.9814814814814815,106,3894,0.0005136106831022085,1.0,False
external_8b,libero_goal,26,0.9,30,107,1,106,0.9906542056074766,106,3894,0.00025680534155110427,1.0,False
external_8b,libero_goal,27,0.9333333333333333,30,107,1,106,0.9906542056074766,106,3894,0.00025680534155110427,1.0,False
external_8b,libero_goal,28,0.9666666666666667,30,107,1,106,0.9906542056074766,106,3894,0.00025680534155110427,1.0,False
external_8b,libero_goal,29,1.0,30,107,1,106,0.9906542056074766,106,3894,0.00025680534155110427,1.0,False
development_main,libero_long,4,0.09615384615384616,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,5,0.11538461538461539,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,6,0.1346153846153846,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,7,0.15384615384615385,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,8,0.17307692307692307,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,9,0.19230769230769232,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,10,0.21153846153846154,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,11,0.23076923076923078,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,12,0.25,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,13,0.2692307692307692,52,2800,2578,222,0.07928571428571428,222,2578,1.0,0.005,True
development_main,libero_long,14,0.28846153846153844,52,2799,2577,222,0.07931404072883172,222,2578,0.9996121024049651,0.005001940240589833,True
development_main,libero_long,15,0.3076923076923077,52,2778,2556,222,0.07991360691144708,222,2578,0.991466252909232,0.005043035993740219,True
development_main,libero_long,16,0.3269230769230769,52,2719,2497,222,0.08164766458256711,222,2578,0.9685802948021722,0.005162194633560273,True
development_main,libero_long,17,0.34615384615384615,52,2632,2410,222,0.08434650455927052,222,2578,0.934833204034135,0.005348547717842324,True
development_main,libero_long,18,0.36538461538461536,52,2551,2329,222,0.08702469619756958,222,2578,0.9034134988363072,0.00553456419063976,True
development_main,libero_long,19,0.38461538461538464,52,2499,2277,222,0.08883553421368548,222,2578,0.8832428238944918,0.005660957400087835,True
development_main,libero_long,20,0.40384615384615385,52,2466,2244,222,0.09002433090024331,222,2578,0.8704422032583398,0.005744206773618539,True
development_main,libero_long,21,0.4230769230769231,52,2277,2055,222,0.09749670619235837,222,2578,0.7971295577967417,0.006272506082725062,True
development_main,libero_long,22,0.4423076923076923,52,1861,1639,222,0.11929070392262224,222,2578,0.6357641582622188,0.007864551555826724,True
development_main,libero_long,23,0.46153846153846156,52,1492,1270,222,0.1487935656836461,222,2578,0.4926299456943367,0.0101496062992126,True
development_main,libero_long,24,0.4807692307692308,52,1164,942,222,0.19072164948453607,222,2578,0.365399534522886,0.013683651804670913,True
development_main,libero_long,25,0.5,52,814,592,222,0.2727272727272727,222,2578,0.22963537626066718,0.02177364864864865,True
