cohort,representation,suite,chunk,auc_const_elapsed,se_const_elapsed,auc_full_length_leak
development_main,raw,libero_goal,4,0.5,0.0,1.0
development_main,raw,libero_goal,5,0.5,0.0,1.0
development_main,raw,libero_goal,6,0.5,0.0,1.0
development_main,raw,libero_goal,7,0.5,0.0,1.0
development_main,raw,libero_goal,8,0.5,0.0,1.0
development_main,raw,libero_goal,9,0.5,0.0,1.0
development_main,raw,libero_goal,10,0.5,0.0,1.0
development_main,raw,libero_goal,11,0.5,0.0,1.0
development_main,raw,libero_goal,12,0.5,0.0,1.0
development_main,raw,libero_goal,13,0.5,0.0,1.0
development_main,raw,libero_goal,14,0.5,0.0,1.0
development_main,raw,libero_goal,15,0.5,0.0,1.0
development_main,raw,libero_goal,16,0.5,0.0,1.0
development_main,raw,libero_goal,17,0.5,0.0,1.0
development_main,raw,libero_goal,18,0.5,0.0,1.0
development_main,raw,libero_goal,19,0.5,0.0,1.0
development_main,raw,libero_goal,20,0.5,0.0,1.0
development_main,raw,libero_goal,21,0.5,0.0,1.0
development_main,raw,libero_goal,22,0.5,0.0,1.0
development_main,raw,libero_goal,23,0.5,0.0,1.0
development_main,raw,libero_goal,24,0.5,0.0,1.0
development_main,tm4,libero_goal,4,0.5,0.0,1.0
development_main,tm4,libero_goal,5,0.5,0.0,1.0
development_main,tm4,libero_goal,6,0.5,0.0,1.0
development_main,tm4,libero_goal,7,0.5,0.0,1.0
development_main,tm4,libero_goal,8,0.5,0.0,1.0
development_main,tm4,libero_goal,9,0.5,0.0,1.0
development_main,tm4,libero_goal,10,0.5,0.0,1.0
development_main,tm4,libero_goal,11,0.5,0.0,1.0
development_main,tm4,libero_goal,12,0.5,0.0,1.0
development_main,tm4,libero_goal,13,0.5,0.0,1.0
development_main,tm4,libero_goal,14,0.5,0.0,1.0
development_main,tm4,libero_goal,15,0.5,0.0,1.0
development_main,tm4,libero_goal,16,0.5,0.0,1.0
development_main,tm4,libero_goal,17,0.5,0.0,1.0
development_main,tm4,libero_goal,18,0.5,0.0,1.0
development_main,tm4,libero_goal,19,0.5,0.0,1.0
development_main,tm4,libero_goal,20,0.5,0.0,1.0
development_main,tm4,libero_goal,21,0.5,0.0,1.0
development_main,tm4,libero_goal,22,0.5,0.0,1.0
development_main,tm4,libero_goal,23,0.5,0.0,1.0
development_main,tm4,libero_goal,24,0.5,0.0,1.0
development_main,raw,libero_long,4,0.5,0.0,1.0
development_main,raw,libero_long,5,0.5,0.0,1.0
development_main,raw,libero_long,6,0.5,0.0,1.0
development_main,raw,libero_long,7,0.5,0.0,1.0
development_main,raw,libero_long,8,0.5,0.0,1.0
development_main,raw,libero_long,9,0.5,0.0,1.0
development_main,raw,libero_long,10,0.5,0.0,1.0
development_main,raw,libero_long,11,0.5,0.0,1.0
development_main,raw,libero_long,12,0.5,0.0,1.0
development_main,raw,libero_long,13,0.5,0.0,1.0
development_main,raw,libero_long,14,0.5,0.0,1.0
development_main,raw,libero_long,15,0.5,0.0,1.0
development_main,raw,libero_long,16,0.5,0.0,1.0
development_main,raw,libero_long,17,0.5,0.0,1.0
development_main,raw,libero_long,18,0.5,0.0,1.0
development_main,raw,libero_long,19,0.5,0.0,1.0
development_main,raw,libero_long,20,0.5,0.0,1.0
development_main,raw,libero_long,21,0.5,0.0,1.0
development_main,raw,libero_long,22,0.5,0.0,1.0
development_main,raw,libero_long,23,0.5,0.0,1.0
development_main,raw,libero_long,24,0.5,0.0,1.0
development_main,raw,libero_long,25,0.5,0.0,1.0
development_main,raw,libero_long,26,0.5,0.0,1.0
development_main,raw,libero_long,27,0.5,0.0,1.0
development_main,raw,libero_long,28,0.5,0.0,1.0
development_main,raw,libero_long,29,0.5,0.0,1.0
development_main,raw,libero_long,30,0.5,0.0,1.0
development_main,raw,libero_long,31,0.5,0.0,1.0
development_main,raw,libero_long,32,0.5,0.0,1.0
development_main,raw,libero_long,33,0.5,0.0,1.0
development_main,raw,libero_long,34,0.5,0.0,1.0
development_main,tm4,libero_long,4,0.5,0.0,1.0
development_main,tm4,libero_long,5,0.5,0.0,1.0
development_main,tm4,libero_long,6,0.5,0.0,1.0
development_main,tm4,libero_long,7,0.5,0.0,1.0
development_main,tm4,libero_long,8,0.5,0.0,1.0
development_main,tm4,libero_long,9,0.5,0.0,1.0
development_main,tm4,libero_long,10,0.5,0.0,1.0
development_main,tm4,libero_long,11,0.5,0.0,1.0
development_main,tm4,libero_long,12,0.5,0.0,1.0
development_main,tm4,libero_long,13,0.5,0.0,1.0
development_main,tm4,libero_long,14,0.5,0.0,1.0
development_main,tm4,libero_long,15,0.5,0.0,1.0
