cohort,arm,suite,fp_allocated,chunk,phase,alpha,tp,fp,n_risk,recall,head
development_main,routing_single,libero_goal,13,18,0.633333,0.2,51,13,102,0.5,state_mobility_d0|L4|high
development_main,routing_single,libero_long,31,30,0.596154,0.3,133,31,222,0.5990990990990991,mobility_d0_minus_d9|L12|high
development_main,routing_single,libero_object,12,17,0.642857,0.3,24,12,37,0.6486486486486487,expert_load_effective_rank|L14|low
development_main,routing_single,libero_spatial,12,13,0.636364,0.05,53,12,126,0.42063492063492064,set_dwell|L5|high
development_main,null_control,libero_goal,5,18,0.633333,0.04,12,5,102,0.11764705882352941,ctrl_white_noise|L13|high
development_main,null_control,libero_long,58,27,0.538462,0.2,65,58,222,0.2927927927927928,ctrl_white_noise|L5|low
development_main,null_control,libero_object,2,17,0.642857,0.0005,7,2,37,0.1891891891891892,ctrl_white_noise|L5|low
development_main,null_control,libero_spatial,5,13,0.636364,0.04,13,5,126,0.10317460317460317,ctrl_white_noise|L2|low
development_main,length_leak,libero_goal,0,16,0.566667,0.0005,102,0,102,1.0,leak_full_length|L2|high
development_main,length_leak,libero_long,0,4,0.0961538,0.0005,222,0,222,1.0,leak_full_length|L2|high
development_main,length_leak,libero_object,2,16,0.607143,0.0005,37,2,37,1.0,leak_full_length|L2|high
development_main,length_leak,libero_spatial,0,11,0.545455,0.0005,126,0,126,1.0,leak_full_length|L2|high
development_main,routing_stacked_mv:crossfit,libero_goal,9,18,0.6333333333333333,0.2,55,9,102,0.5392156862745098,routing_stacked_mv:crossfit
development_main,routing_stacked_mv:crossfit,libero_long,20,31,0.6153846153846154,0.3,140,20,222,0.6306306306306306,routing_stacked_mv:crossfit
development_main,routing_stacked_mv:crossfit,libero_object,16,16,0.6071428571428571,0.2,33,16,37,0.8918918918918919,routing_stacked_mv:crossfit
development_main,routing_stacked_mv:crossfit,libero_spatial,26,12,0.5909090909090909,0.1,54,26,126,0.42857142857142855,routing_stacked_mv:crossfit
development_main,null_stacked_mv:crossfit,libero_goal,2,16,0.5666666666666667,0.0005,6,2,102,0.058823529411764705,null_stacked_mv:crossfit
development_main,null_stacked_mv:crossfit,libero_long,60,32,0.6346153846153846,0.2,46,60,222,0.2072072072072072,null_stacked_mv:crossfit
development_main,null_stacked_mv:crossfit,libero_object,5,17,0.6428571428571429,0.0005,4,5,37,0.10810810810810811,null_stacked_mv:crossfit
development_main,null_stacked_mv:crossfit,libero_spatial,2,13,0.6363636363636364,0.0005,7,2,126,0.05555555555555555,null_stacked_mv:crossfit
development_main,routing_best_of_all,libero_goal,23,18,0.6333333333333333,0.3,69,23,102,0.6764705882352942,routing_best_of_all
development_main,routing_best_of_all,libero_long,20,31,0.6153846153846154,0.3,140,20,222,0.6306306306306306,routing_best_of_all
development_main,routing_best_of_all,libero_object,16,16,0.6071428571428571,0.2,33,16,37,0.8918918918918919,routing_best_of_all
development_main,routing_best_of_all,libero_spatial,12,13,0.636364,0.05,53,12,126,0.42063492063492064,set_dwell|L5|high
external_8b,routing_single,libero_goal,3,18,0.633333,0.008,42,3,106,0.39622641509433965,set_dwell|L13|high
external_8b,routing_single,libero_long,31,30,0.596154,0.3,152,31,274,0.5547445255474452,mobility|L14|low
external_8b,routing_single,libero_object,13,17,0.642857,0.3,29,13,44,0.6590909090909091,expert_load_effective_rank|L12|low
external_8b,routing_single,libero_spatial,24,13,0.636364,0.001,65,24,140,0.4642857142857143,set_dwell|L14|high
external_8b,null_control,libero_goal,1,17,0.6,0.0005,7,1,106,0.0660377358490566,ctrl_white_noise|L4|low
external_8b,null_control,libero_long,41,30,0.596154,0.15,53,41,274,0.19343065693430658,ctrl_white_noise|L3|high
external_8b,null_control,libero_object,7,17,0.642857,0.1,10,7,44,0.22727272727272727,ctrl_episode_const_rand2|L14|low
external_8b,null_control,libero_spatial,26,13,0.636364,0.1,34,26,140,0.24285714285714285,ctrl_flow_noise_seed|L5|high
external_8b,length_leak,libero_goal,1,16,0.566667,0.0005,106,1,106,1.0,leak_full_length|L2|high
external_8b,length_leak,libero_long,0,4,0.0961538,0.0005,274,0,274,1.0,leak_full_length|L2|high
external_8b,length_leak,libero_object,1,17,0.642857,0.0005,44,1,44,1.0,leak_full_length|L2|high
external_8b,length_leak,libero_spatial,2,4,0.227273,0.0005,140,2,140,1.0,leak_full_length|L2|high
external_8b,routing_stacked_mv:crossfit,libero_goal,10,18,0.6333333333333333,0.2,58,10,106,0.5471698113207547,routing_stacked_mv:crossfit
external_8b,routing_stacked_mv:crossfit,libero_long,35,29,0.5769230769230769,0.3,156,35,274,0.5693430656934306,routing_stacked_mv:crossfit
external_8b,routing_stacked_mv:crossfit,libero_object,7,17,0.6428571428571429,0.3,35,7,44,0.7954545454545454,routing_stacked_mv:crossfit
external_8b,routing_stacked_mv:crossfit,libero_spatial,20,11,0.5454545454545454,0.05,61,20,140,0.4357142857142857,routing_stacked_mv:crossfit
external_8b,null_stacked_mv:crossfit,libero_long,62,32,0.6346153846153846,0.2,55,62,274,0.20072992700729927,null_stacked_mv:crossfit
external_8b,null_stacked_mv:crossfit,libero_object,12,17,0.6428571428571429,0.2,17,12,44,0.38636363636363635,null_stacked_mv:crossfit
external_8b,null_stacked_mv:crossfit,libero_spatial,1,13,0.6363636363636364,0.0005,9,1,140,0.06428571428571428,null_stacked_mv:crossfit
external_8b,routing_stacked_mv:dev_fitted_transfer,libero_goal,30,18,0.6333333333333333,0.3,71,30,106,0.6698113207547169,routing_stacked_mv:dev_fitted_transfer
external_8b,routing_stacked_mv:dev_fitted_transfer,libero_long,21,32,0.6346153846153846,0.3,152,21,274,0.5547445255474452,routing_stacked_mv:dev_fitted_transfer
