cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
development_main,libero_object,7,0.285714,28,37,3963,3963,37,0.00925,0.162162,0.027027,1,0.0810811,0.027027,0.005,1
development_main,libero_object,8,0.321429,28,37,3963,3963,37,0.00925,0.216216,0.0540541,1,0.0810811,0.027027,0.005,1
development_main,libero_object,9,0.357143,28,37,3963,3963,37,0.00925,0.297297,0.0540541,1,0.0810811,0.027027,0.005,1
development_main,libero_object,10,0.392857,28,37,3963,3963,37,0.00925,0.324324,0.0540541,1,0.0810811,0.027027,0.005,1
development_main,libero_object,11,0.428571,28,37,3963,3935,37,0.00931521,0.324324,0.0540541,1,0.0810811,0.027027,0.00503558,0.992935
development_main,libero_object,12,0.464286,28,37,3963,3372,37,0.0108536,0.324324,0.0540541,1,0.0810811,0.027027,0.00587633,0.850871
development_main,libero_object,13,0.5,28,37,3963,2060,37,0.0176443,0.324324,0.0540541,1,0.0810811,0.027027,0.00961893,0.519808
development_main,libero_object,14,0.535714,28,37,3963,1244,37,0.0288837,0.324324,0.0810811,1,0.0810811,0.027027,0.0159285,0.313904
development_main,libero_object,15,0.571429,28,37,3963,465,37,0.0737052,0.378378,0.135135,1,0.0810811,0.027027,0.0426129,0.117335
development_main,libero_object,16,0.607143,28,37,3963,186,37,0.165919,0.594595,0.162162,1,0.0810811,0.027027,0.106532,0.0469341
development_main,libero_object,17,0.642857,28,37,3963,73,37,0.336364,0.648649,0.297297,1,0.0810811,0.027027,0.271438,0.0184204
development_main,libero_object,18,0.678571,28,37,3963,44,37,0.45679,0.72973,0.432432,1,0.0810811,0.027027,0.450341,0.0111027
development_main,libero_object,19,0.714286,28,37,3963,25,37,0.596774,0.837838,0.486486,1,0.0810811,0.027027,0.7926,0.00630835
development_main,libero_object,20,0.75,28,37,3963,18,37,0.672727,0.972973,1,1,0.0810811,0.027027,1,0.00454201
development_main,libero_object,21,0.785714,28,37,3963,9,37,0.804348,0.972973,1,1,0.0810811,0.027027,1,0.00227101
development_main,libero_object,22,0.821429,28,37,3963,6,37,0.860465,0.972973,1,1,0.0810811,0.027027,1,0.001514
development_main,libero_object,23,0.857143,28,37,3963,4,37,0.902439,0.972973,1,1,0.0810811,0.027027,1,0.00100934
development_main,libero_object,24,0.892857,28,37,3963,4,37,0.902439,0.972973,1,1,0.0810811,0.027027,1,0.00100934
development_main,libero_object,25,0.928571,28,37,3963,2,37,0.948718,0.972973,1,1,0.0810811,0.027027,1,0.000504668
development_main,libero_object,26,0.964286,28,37,3963,1,37,0.973684,0.972973,1,1,0.0810811,0.027027,1,0.000252334
development_main,libero_object,27,1,28,37,3963,0,37,1,0.972973,1,1,0.0810811,0.027027,0,0
external_8b,libero_object,4,0.178571,28,44,3556,3556,44,0.0122222,0.0681818,0.0454545,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,5,0.214286,28,44,3556,3556,44,0.0122222,0.0681818,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,6,0.25,28,44,3556,3556,44,0.0122222,0.113636,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,7,0.285714,28,44,3556,3556,44,0.0122222,0.113636,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,8,0.321429,28,44,3556,3556,44,0.0122222,0.227273,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,9,0.357143,28,44,3556,3556,44,0.0122222,0.227273,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,10,0.392857,28,44,3556,3556,44,0.0122222,0.25,0.0681818,1,0.0681818,0.0454545,0.005,1
external_8b,libero_object,11,0.428571,28,44,3556,3532,44,0.0123043,0.25,0.0681818,1,0.0681818,0.0454545,0.00503398,0.993251
