cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
external_8b,libero_spatial,11,0.545455,22,140,3860,1360,140,0.0933333,0.242857,0.0642857,1,0.0285714,0.0357143,0.0141912,0.352332
external_8b,libero_spatial,12,0.590909,22,140,3860,624,140,0.183246,0.242857,0.0714286,1,0.0285714,0.05,0.0309295,0.161658
external_8b,libero_spatial,13,0.636364,22,140,3860,189,140,0.425532,0.4,0.171429,1,0.0285714,0.0642857,0.102116,0.0489637
external_8b,libero_spatial,14,0.681818,22,140,3860,24,140,0.853659,0.85,0.414286,1,0.0285714,0.0642857,0.804167,0.00621762
external_8b,libero_spatial,15,0.727273,22,140,3860,7,140,0.952381,0.985714,1,1,0.0285714,0.0642857,1,0.00181347
external_8b,libero_spatial,16,0.772727,22,140,3860,6,140,0.958904,0.985714,1,1,0.0285714,0.0714286,1,0.0015544
external_8b,libero_spatial,17,0.818182,22,140,3860,5,140,0.965517,0.985714,1,1,0.0285714,0.0714286,1,0.00129534
external_8b,libero_spatial,18,0.863636,22,140,3860,5,140,0.965517,0.985714,1,1,0.0285714,0.0714286,1,0.00129534
external_8b,libero_spatial,19,0.909091,22,140,3860,3,140,0.979021,0.985714,1,1,0.0285714,0.0714286,1,0.000777202
external_8b,libero_spatial,20,0.954545,22,140,3860,2,140,0.985915,0.985714,1,1,0.0285714,0.0714286,1,0.000518135
external_8b,libero_spatial,21,1,22,140,3860,2,140,0.985915,0.985714,1,1,0.0285714,0.0714286,1,0.000518135
