cohort,deadline_phase,risks,routing_recall,null_recall,leak_recall,union_recall,union_null_recall,routing_libero_goal,routing_libero_long,routing_libero_object,routing_libero_spatial
development_main,0.3,487,0.07186858316221766,0.022587268993839837,0.7905544147843943,0.030800821355236138,0.02053388090349076,0.14705882352941177,0.04054054054054054,0.16216216216216217,0.03968253968253968
development_main,0.4,487,0.162217659137577,0.03696098562628337,1.0,0.030800821355236138,0.026694045174537988,0.4019607843137255,0.04504504504504504,0.32432432432432434,0.12698412698412698
development_main,0.5,487,0.188911704312115,0.0513347022587269,1.0,0.030800821355236138,0.026694045174537988,0.4019607843137255,0.0945945945945946,0.32432432432432434,0.14285714285714285
development_main,0.65,487,0.459958932238193,0.1375770020533881,1.0,0.030800821355236138,0.03696098562628337,0.5,0.42792792792792794,0.6486486486486487,0.42857142857142855
development_main,0.8,487,0.7330595482546202,0.6960985626283368,1.0,0.030800821355236138,0.04106776180698152,0.9117647058823529,0.4594594594594595,0.972972972972973,1.0
development_main,1.0,487,0.9917864476386037,1.0,1.0,0.030800821355236138,0.04106776180698152,0.9901960784313726,0.990990990990991,0.972972972972973,1.0
external_8b,0.3,564,0.06382978723404255,0.026595744680851064,0.8120567375886525,0.030141843971631204,0.02127659574468085,0.14150943396226415,0.043795620437956206,0.11363636363636363,0.02857142857142857
external_8b,0.4,564,0.09929078014184398,0.03368794326241135,1.0,0.030141843971631204,0.024822695035460994,0.19811320754716982,0.043795620437956206,0.25,0.08571428571428572
external_8b,0.5,564,0.1595744680851064,0.044326241134751775,1.0,0.030141843971631204,0.024822695035460994,0.32075471698113206,0.08394160583941605,0.25,0.15714285714285714
external_8b,0.65,564,0.425531914893617,0.1347517730496454,1.0,0.030141843971631204,0.03368794326241135,0.46226415094339623,0.38686131386861317,0.6590909090909091,0.4
external_8b,0.8,564,0.7606382978723404,0.6719858156028369,1.0,0.030141843971631204,0.03546099290780142,0.9433962264150944,0.5364963503649635,1.0,0.9857142857142858
external_8b,1.0,564,0.9858156028368794,1.0,1.0,0.030141843971631204,0.03546099290780142,0.9433962264150944,1.0,1.0,0.9857142857142858
