suite,cohort,arm,variant,chunk,phase,alpha,tp,fp,recall,fpr,baseline_recall,n_risk,n_safe,safe_alive,risk_alive,excess_recall
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.0005,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.001,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.0015,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.002,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.003,0,20,0.0,0.00513083632632119,0.00513083632632119,102,3898,3898,102,-0.00513083632632119
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.004,0,20,0.0,0.00513083632632119,0.00513083632632119,102,3898,3898,102,-0.00513083632632119
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.005,0,20,0.0,0.00513083632632119,0.00513083632632119,102,3898,3898,102,-0.00513083632632119
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.006,0,30,0.0,0.007696254489481785,0.007696254489481785,102,3898,3898,102,-0.007696254489481785
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.008,0,40,0.0,0.01026167265264238,0.01026167265264238,102,3898,3898,102,-0.01026167265264238
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.01,0,40,0.0,0.01026167265264238,0.01026167265264238,102,3898,3898,102,-0.01026167265264238
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.0125,0,50,0.0,0.012827090815802977,0.012827090815802977,102,3898,3898,102,-0.012827090815802977
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.015,0,60,0.0,0.01539250897896357,0.01539250897896357,102,3898,3898,102,-0.01539250897896357
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.02,0,80,0.0,0.02052334530528476,0.02052334530528476,102,3898,3898,102,-0.02052334530528476
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.025,0,100,0.0,0.025654181631605953,0.025654181631605953,102,3898,3898,102,-0.025654181631605953
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.03,0,120,0.0,0.03078501795792714,0.03078501795792714,102,3898,3898,102,-0.03078501795792714
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.04,0,160,0.0,0.04104669061056952,0.04104669061056952,102,3898,3898,102,-0.04104669061056952
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.05,1,199,0.00980392156862745,0.051051821446895844,0.051051821446895844,102,3898,3898,102,-0.04124789987826839
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.075,6,294,0.058823529411764705,0.07542329399692149,0.07542329399692149,102,3898,3898,102,-0.016599764585156787
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.1,7,393,0.06862745098039216,0.1008209338122114,0.10082093381221138,102,3898,3898,102,-0.03219348283181922
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.15,15,585,0.14705882352941177,0.1500769625448948,0.1500769625448948,102,3898,3898,102,-0.0030181390154830345
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.2,26,774,0.2549019607843137,0.19856336582863007,0.19856336582863007,102,3898,3898,102,0.056338594955683635
libero_goal,development_main,stacked_mv,crossfit,4,0.16666666666666666,0.3,35,1165,0.3431372549019608,0.2988712160082093,0.2988712160082094,102,3898,3898,102,0.044266038893751414
libero_goal,development_main,null_mv,crossfit,4,0.16666666666666666,0.0005,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,null_mv,crossfit,4,0.16666666666666666,0.001,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,null_mv,crossfit,4,0.16666666666666666,0.0015,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
libero_goal,development_main,null_mv,crossfit,4,0.16666666666666666,0.002,0,10,0.0,0.002565418163160595,0.002565418163160595,102,3898,3898,102,-0.002565418163160595
