cohort_d,representation_d,suite,cap_d,chunk,phase_d,quantity,layer,auc_d,se_d,ci_lo_d,ci_hi_d,effect_d,auc_equal_d,se_equal_d,ci_equal_lo_d,ci_equal_hi_d,n_tasks_d,pairs_d,n_alive_d,n_alive_risk_d,prior_d,in_window_65_d,in_window_cross_d,abs_effect_d,cohort_e,representation_e,cap_e,phase_e,auc_e,se_e,ci_lo_e,ci_hi_e,effect_e,auc_equal_e,se_equal_e,ci_equal_lo_e,ci_equal_hi_e,n_tasks_e,pairs_e,n_alive_e,n_alive_risk_e,prior_e,in_window_65_e,in_window_cross_e,abs_effect_e,same,min_abs
development_main,raw,libero_goal,30,6,0.233333,set_dwell,L13,0.504252,0.00484182,0.494762,0.513739,0.00425213,0.499497,0.00173309,0.4961,0.502894,6,35982,4000,102,0.0255,True,True,0.00425213,external_8b,raw,30,0.233333,0.499881,0.000118868,0.499648,0.500114,-0.000118868,0.499744,0.000255754,0.499243,0.500246,5,37857,4000,106,0.0265,True,True,0.000118868,False,0.0
development_main,raw,libero_goal,30,6,0.233333,set_dwell,L4,0.519343,0.0102738,0.499186,0.539437,0.019343,0.552182,0.028257,0.49638,0.606699,6,35982,4000,102,0.0255,True,True,0.019343,external_8b,raw,30,0.233333,0.495932,0.000885175,0.494197,0.497667,-0.00406794,0.49455,0.00116806,0.492261,0.496839,5,37857,4000,106,0.0265,True,True,0.00406794,False,0.0
development_main,raw,libero_goal,30,6,0.233333,set_dwell,L2,0.516161,0.011462,0.493678,0.538578,0.0161609,0.520698,0.0289254,0.463982,0.576885,6,35982,4000,102,0.0255,True,True,0.0161609,external_8b,raw,30,0.233333,0.498692,0.00700346,0.48497,0.512417,-0.00130755,0.49342,0.00682014,0.480061,0.506789,5,37857,4000,106,0.0265,True,True,0.00130755,False,0.0
development_main,raw,libero_goal,30,6,0.233333,denoise_hard_churn,L12,0.553221,0.0302622,0.493431,0.61151,0.0532211,0.529817,0.0361725,0.458796,0.59965,6,35982,4000,102,0.0255,True,True,0.0532211,external_8b,raw,30,0.233333,0.456098,0.0278901,0.402174,0.511071,-0.0439021,0.458362,0.030926,0.398652,0.519293,5,37857,4000,106,0.0265,True,True,0.0439021,False,0.0
development_main,raw,libero_goal,30,6,0.233333,denoise_hard_churn,L2,0.498777,0.032239,0.435943,0.56165,-0.00122283,0.505137,0.0404199,0.426445,0.583576,6,35982,4000,102,0.0255,True,True,0.00122283,external_8b,raw,30,0.233333,0.513657,0.0302269,0.454498,0.572435,0.0136567,0.495366,0.0365987,0.424216,0.566704,5,37857,4000,106,0.0265,True,True,0.0136567,False,0.0
development_main,raw,libero_goal,30,6,0.233333,query_top1_churn,L14,0.469346,0.0276011,0.415815,0.523591,-0.0306542,0.480366,0.0291052,0.423821,0.537419,6,35982,4000,102,0.0255,True,True,0.0306542,external_8b,raw,30,0.233333,0.524711,0.0297994,0.466234,0.582519,0.0247114,0.549371,0.0331062,0.484012,0.61307,5,37857,4000,106,0.0265,True,True,0.0247114,False,0.0
development_main,raw,libero_goal,30,6,0.233333,query_top1_churn,L12,0.473223,0.0302969,0.414494,0.532702,-0.0267773,0.459877,0.0372897,0.388154,0.533301,6,35982,4000,102,0.0255,True,True,0.0267773,external_8b,raw,30,0.233333,0.541234,0.0285845,0.484924,0.59651,0.0412341,0.530962,0.0349401,0.462328,0.598444,5,37857,4000,106,0.0265,True,True,0.0412341,False,0.0
development_main,raw,libero_goal,30,6,0.233333,query_top1_churn,L4,0.472167,0.030623,0.412831,0.532299,-0.0278334,0.44853,0.037538,0.376588,0.522692,6,35982,4000,102,0.0255,True,True,0.0278334,external_8b,raw,30,0.233333,0.516259,0.0290906,0.459278,0.57282,0.0162586,0.478423,0.0338085,0.41292,0.544677,5,37857,4000,106,0.0265,True,True,0.0162586,False,0.0
development_main,raw,libero_goal,30,6,0.233333,query_hard_churn_d9,L14,0.532002,0.0285899,0.475799,0.587405,0.0320021,0.532555,0.0334739,0.466764,0.597234,6,35982,4000,102,0.0255,True,True,0.0320021,external_8b,raw,30,0.233333,0.496989,0.0283818,0.441627,0.552425,-0.00301133,0.50337,0.0339184,0.437221,0.569401,5,37857,4000,106,0.0265,True,True,0.00301133,False,0.0
development_main,raw,libero_goal,30,6,0.233333,query_hard_churn_d9,L13,0.471208,0.0307391,0.411665,0.531582,-0.0287922,0.462023,0.0385092,0.387968,0.537792,6,35982,4000,102,0.0255,True,True,0.0287922,external_8b,raw,30,0.233333,0.530866,0.0278671,0.476096,0.584903,0.0308662,0.546235,0.0325812,0.481967,0.608999,5,37857,4000,106,0.0265,True,True,0.0308662,False,0.0
development_main,raw,libero_spatial,22,11,0.545455,set_dwell,L12,0.498588,0.00118999,0.496256,0.500921,-0.00141168,0.504485,0.0051145,0.49446,0.514506,7,22668,1494,126,0.0843373,True,True,0.00141168,external_8b,raw,22,0.545455,0.502917,0.00309851,0.496844,0.508989,0.00291677,0.513914,0.0098456,0.494606,0.533181,7,28799,1500,140,0.0933333,True,True,0.00291677,False,0.0
development_main,raw,libero_spatial,22,11,0.545455,set_dwell,L2,0.546718,0.0215509,0.504243,0.588523,0.0467178,0.50521,0.0119866,0.481723,0.528675,7,22668,1494,126,0.0843373,True,True,0.0467178,external_8b,raw,22,0.545455,0.499566,0.0123649,0.475351,0.523783,-0.000434043,0.504522,0.0104046,0.484133,0.524896,7,28799,1500,140,0.0933333,True,True,0.000434043,False,0.0
development_main,raw,libero_spatial,22,11,0.545455,denoise_hard_churn,L12,0.483699,0.0366685,0.412654,0.555411,-0.0163005,0.437479,0.0341213,0.372115,0.505089,7,22668,1494,126,0.0843373,True,True,0.0163005,external_8b,raw,22,0.545455,0.53889,0.0291093,0.481577,0.595194,0.0388902,0.562512,0.0349693,0.493214,0.629453,7,28799,1500,140,0.0933333,True,True,0.0388902,False,0.0
development_main,raw,libero_object,28,4,0.178571,state_action_alignment,L4,0.499102,0.0481366,0.405891,0.592375,-0.000898473,0.465122,0.0542295,0.361937,0.571382,6,13356,4000,37,0.00925,True,True,0.000898473,external_8b,raw,28,0.178571,0.533515,0.0350846,0.46455,0.601222,0.0335148,0.501904,0.0289476,0.445386,0.558374,7,16903,3600,44,0.0122222,True,True,0.0335148,False,0.0
development_main,raw,libero_object,28,4,0.178571,state_action_alignment,L14,0.4708,0.0453589,0.383727,0.559687,-0.0292004,0.497124,0.0444317,0.410995,0.583424,6,13356,4000,37,0.00925,True,True,0.0292004,external_8b,raw,28,0.178571,0.506833,0.039529,0.42981,0.583533,0.00683311,0.540705,0.0391943,0.463528,0.615977,7,16903,3600,44,0.0122222,True,True,0.00683311,False,0.0
development_main,raw,libero_object,28,4,0.178571,conditional_energy,L4,0.500898,0.0481366,0.407625,0.594109,0.000898473,0.534878,0.0542295,0.428618,0.638063,6,13356,4000,37,0.00925,True,True,0.000898473,external_8b,raw,28,0.178571,0.466544,0.0350846,0.398836,0.535508,-0.0334556,0.498168,0.0289477,0.441697,0.554685,7,16903,3600,44,0.0122222,True,True,0.0334556,False,0.0
development_main,raw,libero_object,28,4,0.178571,conditional_energy,L14,0.5292,0.0453651,0.440302,0.616285,0.0292004,0.502876,0.0444334,0.416573,0.589008,6,13356,4000,37,0.00925,True,True,0.0292004,external_8b,raw,28,0.178571,0.493108,0.0395214,0.416424,0.570117,-0.00689227,0.459175,0.039163,0.383964,0.536294,7,16903,3600,44,0.0122222,True,True,0.00689227,False,0.0
development_main,raw,libero_object,28,6,0.25,partial_query_d1,L15,0.482405,0.0503442,0.385661,0.580487,-0.0175951,0.509108,0.0658081,0.382332,0.634723,6,13356,4000,37,0.00925,True,True,0.0175951,external_8b,raw,28,0.25,0.539904,0.0393453,0.46245,0.615477,0.0399042,0.537961,0.0395366,0.460179,0.613938,7,16903,3600,44,0.0122222,True,True,0.0399042,False,0.0
development_main,raw,libero_object,28,6,0.25,query_hard_churn,L13,0.603512,0.0469548,0.508878,0.690983,0.103512,0.555022,0.0604018,0.435766,0.668261,6,13356,4000,37,0.00925,True,True,0.103512,external_8b,raw,28,0.25,0.461042,0.0324073,0.398488,0.524848,-0.0389576,0.451012,0.0312978,0.390709,0.512789,7,16903,3600,44,0.0122222,True,True,0.0389576,False,0.0
development_main,raw,libero_object,28,6,0.25,query_hard_churn_d9,L2,0.547731,0.0517999,0.445633,0.645964,0.0477314,0.506148,0.0624079,0.385859,0.625729,6,13356,4000,37,0.00925,True,True,0.0477314,external_8b,raw,28,0.25,0.48799,0.0417356,0.407228,0.569385,-0.0120097,0.468025,0.0449563,0.381786,0.556217,7,16903,3600,44,0.0122222,True,True,0.0120097,False,0.0
development_main,raw,libero_object,28,6,0.25,query_hard_churn_d9,L5,0.488432,0.0504964,0.391175,0.586573,-0.0115678,0.487058,0.0560712,0.379502,0.595826,6,13356,4000,37,0.00925,True,True,0.0115678,external_8b,raw,28,0.25,0.591226,0.0365141,0.518221,0.660419,0.0912264,0.588805,0.0356753,0.51755,0.65652,7,16903,3600,44,0.0122222,True,True,0.0912264,False,0.0
development_main,raw,libero_goal,30,6,0.233333,state_mobility_d0,L4,0.519593,0.0280875,0.464528,0.574187,0.0195931,0.536455,0.0447921,0.448444,0.622253,6,35982,4000,102,0.0255,True,True,0.0195931,external_8b,raw,30,0.233333,0.490055,0.0267509,0.437924,0.542403,-0.00994532,0.456475,0.0304464,0.397699,0.516488,5,37857,4000,106,0.0265,True,True,0.00994532,False,0.0
development_main,raw,libero_object,28,6,0.25,query_hard_churn_d9,L13,0.576557,0.050572,0.475685,0.671428,0.0765574,0.566327,0.0606843,0.445864,0.679431,6,13356,4000,37,0.00925,True,True,0.0765574,external_8b,raw,28,0.25,0.473703,0.0378872,0.400558,0.547994,-0.0262971,0.444395,0.0339959,0.379139,0.511627,7,16903,3600,44,0.0122222,True,True,0.0262971,False,0.0
development_main,raw,libero_goal,30,7,0.266667,flow_path,L3,0.517344,0.0316546,0.455354,0.578805,0.0173443,0.534267,0.0436837,0.448482,0.618072,6,35862,3879,102,0.0262954,True,True,0.0173443,external_8b,raw,30,0.266667,0.495818,0.0302165,0.436928,0.554824,-0.00418227,0.519196,0.0393616,0.442203,0.595287,5,37659,3877,106,0.0273407,True,True,0.00418227,False,0.0
development_main,raw,libero_goal,30,7,0.266667,flow_settling_log_ratio,L2,0.500028,0.0275678,0.446205,0.55385,2.78847e-05,0.568662,0.0410436,0.487111,0.646652,6,35862,3879,102,0.0262954,True,True,2.78847e-05,external_8b,raw,30,0.266667,0.46552,0.027267,0.412672,0.519153,-0.0344805,0.522975,0.0299145,0.464297,0.581026,5,37659,3877,106,0.0273407,True,True,0.0344805,False,0.0
development_main,raw,libero_goal,30,7,0.266667,flow_endpoint,L3,0.480899,0.030928,0.420854,0.5415,-0.019101,0.50525,0.0409932,0.425456,0.584777,6,35862,3879,102,0.0262954,True,True,0.019101,external_8b,raw,30,0.266667,0.50081,0.0299153,0.442433,0.559164,0.000809899,0.516609,0.0378971,0.442512,0.589983,5,37659,3877,106,0.0273407,True,True,0.000809899,False,0.0
development_main,raw,libero_goal,30,7,0.266667,flow_endpoint,L5,0.522224,0.0278898,0.467513,0.576407,0.0222241,0.544697,0.0325385,0.480538,0.607405,6,35862,3879,102,0.0262954,True,True,0.0222241,external_8b,raw,30,0.266667,0.478823,0.0283752,0.423697,0.53447,-0.0211769,0.556719,0.0313152,0.494788,0.616937,5,37659,3877,106,0.0273407,True,True,0.0211769,False,0.0
development_main,raw,libero_goal,30,6,0.233333,state_mobility_d0,L14,0.469485,0.0296049,0.412127,0.52766,-0.0305153,0.521164,0.048645,0.426206,0.614617,6,35982,4000,102,0.0255,True,True,0.0305153,external_8b,raw,30,0.233333,0.524315,0.0258084,0.473655,0.574479,0.0243152,0.527208,0.0281978,0.471834,0.581921,5,37857,4000,106,0.0265,True,True,0.0243152,False,0.0
development_main,raw,libero_goal,30,6,0.233333,state_mobility_d0,L15,0.460175,0.0290597,0.403978,0.517403,-0.0398255,0.474399,0.0447189,0.388409,0.561934,6,35982,4000,102,0.0255,True,True,0.0398255,external_8b,raw,30,0.233333,0.526349,0.027154,0.473031,0.579073,0.0263492,0.56626,0.0350643,0.496698,0.633304,5,37857,4000,106,0.0265,True,True,0.0263492,False,0.0
development_main,raw,libero_goal,30,6,0.233333,flow_speed_d1,L4,0.475571,0.0313994,0.414705,0.537172,-0.0244289,0.422283,0.0491618,0.329958,0.520377,6,35982,4000,102,0.0255,True,True,0.0244289,external_8b,raw,30,0.233333,0.502602,0.0314276,0.441276,0.56385,0.0026019,0.477755,0.039025,0.402371,0.554166,5,37857,4000,106,0.0265,True,True,0.0026019,False,0.0
development_main,raw,libero_object,28,6,0.25,query_hard_churn_d9,L12,0.497529,0.045574,0.409221,0.585992,-0.0024708,0.50902,0.0540083,0.404327,0.612929,6,13356,4000,37,0.00925,True,True,0.0024708,external_8b,raw,28,0.25,0.611193,0.0407621,0.529001,0.687515,0.111193,0.57415,0.0462849,0.481952,0.661465,7,16903,3600,44,0.0122222,True,True,0.111193,False,0.0
development_main,raw,libero_object,28,5,0.214286,denoise_hard_churn,L15,0.489555,0.0498347,0.393493,0.586395,-0.0104447,0.508913,0.0662571,0.381319,0.635357,6,13356,4000,37,0.00925,True,True,0.0104447,external_8b,raw,28,0.214286,0.532598,0.0339462,0.46588,0.59817,0.0325978,0.507096,0.0333655,0.441951,0.572001,7,16903,3600,44,0.0122222,True,True,0.0325978,False,0.0
development_main,raw,libero_goal,30,4,0.166667,denoise_hard_churn,L3,0.524429,0.029535,0.466473,0.581734,0.0244289,0.536925,0.0367834,0.464563,0.607765,6,35982,4000,102,0.0255,True,True,0.0244289,external_8b,raw,30,0.166667,0.462411,0.030052,0.404299,0.521562,-0.0375888,0.466083,0.0336551,0.401084,0.532253,5,37857,4000,106,0.0265,True,True,0.0375888,False,0.0
development_main,raw,libero_goal,30,4,0.166667,mobility,L14,0.486354,0.0294606,0.429048,0.544021,-0.0136457,0.500525,0.0374813,0.427576,0.573452,6,35982,4000,102,0.0255,True,True,0.0136457,external_8b,raw,30,0.166667,0.522149,0.0262453,0.470656,0.573175,0.0221491,0.530092,0.025688,0.479609,0.579966,5,37857,4000,106,0.0265,True,True,0.0221491,False,0.0
development_main,raw,libero_goal,30,4,0.166667,query_top1_churn,L13,0.473362,0.0295906,0.415979,0.531456,-0.0266383,0.46359,0.0542402,0.360452,0.569939,6,35982,4000,102,0.0255,True,True,0.0266383,external_8b,raw,30,0.166667,0.503923,0.0291359,0.447014,0.56073,0.00392266,0.506886,0.0322118,0.443976,0.569578,5,37857,4000,106,0.0265,True,True,0.00392266,False,0.0
development_main,raw,libero_goal,30,4,0.166667,flow_settling_log_ratio,L13,0.522928,0.0273251,0.469314,0.576019,0.0229281,0.559282,0.0459534,0.468254,0.646492,6,35982,4000,102,0.0255,True,True,0.0229281,external_8b,raw,30,0.166667,0.438809,0.027363,0.38609,0.492947,-0.0611908,0.464347,0.032932,0.400747,0.529129,5,37857,4000,106,0.0265,True,True,0.0611908,False,0.0
development_main,raw,libero_goal,30,4,0.166667,query_top1_churn,L2,0.482186,0.0298821,0.424126,0.54073,-0.0178145,0.450065,0.0390771,0.375228,0.527233,6,35982,4000,102,0.0255,True,True,0.0178145,external_8b,raw,30,0.166667,0.535727,0.0346741,0.467525,0.602618,0.0357265,0.505541,0.0439752,0.420034,0.590726,5,37857,4000,106,0.0265,True,True,0.0357265,False,0.0
development_main,raw,libero_goal,30,4,0.166667,query_hard_churn_d9,L15,0.469721,0.0295348,0.412494,0.527756,-0.030279,0.434149,0.0391526,0.359552,0.511855,6,35982,4000,102,0.0255,True,True,0.030279,external_8b,raw,30,0.166667,0.518517,0.029041,0.461604,0.574954,0.0185171,0.433357,0.0328526,0.370427,0.498513,5,37857,4000,106,0.0265,True,True,0.0185171,False,0.0
development_main,raw,libero_goal,30,4,0.166667,query_hard_churn_d9,L13,0.474001,0.0276791,0.420267,0.528344,-0.0259991,0.464639,0.0336409,0.399693,0.530807,6,35982,4000,102,0.0255,True,True,0.0259991,external_8b,raw,30,0.166667,0.586272,0.0276713,0.531204,0.639264,0.086272,0.599402,0.0320229,0.535338,0.660239,5,37857,4000,106,0.0265,True,True,0.086272,False,0.0
development_main,raw,libero_goal,30,4,0.166667,query_hard_churn_d9,L12,0.454352,0.0297874,0.396853,0.513095,-0.0456478,0.459761,0.0322042,0.397612,0.523188,6,35982,4000,102,0.0255,True,True,0.0456478,external_8b,raw,30,0.166667,0.529704,0.0275706,0.47553,0.583187,0.0297039,0.443386,0.0331399,0.379748,0.508938,5,37857,4000,106,0.0265,True,True,0.0297039,False,0.0
development_main,raw,libero_spatial,22,12,0.590909,set_dwell,L15,0.498408,0.000916216,0.496612,0.500204,-0.00159179,0.49886,0.000656065,0.497574,0.500146,4,11308,760,126,0.165789,True,True,0.00159179,external_8b,raw,22,0.590909,0.511313,0.00778064,0.496057,0.526547,0.0113129,0.51575,0.00838519,0.499304,0.532161,4,12994,764,140,0.183246,True,True,0.0113129,False,0.0
development_main,raw,libero_object,28,5,0.214286,selected_mass,L3,0.507412,0.0474237,0.415269,0.599055,0.0074124,0.504607,0.0536809,0.400722,0.608096,6,13356,4000,37,0.00925,True,True,0.0074124,external_8b,raw,28,0.214286,0.4577,0.0358988,0.38863,0.528435,-0.0423002,0.444441,0.0403967,0.367299,0.524357,7,16903,3600,44,0.0122222,True,True,0.0423002,False,0.0
development_main,raw,libero_object,28,5,0.214286,tie_margin,L3,0.505166,0.0478092,0.412366,0.597611,0.00516622,0.531493,0.0523675,0.428971,0.631424,6,13356,4000,37,0.00925,True,True,0.00516622,external_8b,raw,28,0.214286,0.461457,0.0427086,0.379585,0.545462,-0.0385435,0.471795,0.0377608,0.398931,0.545882,7,16903,3600,44,0.0122222,True,True,0.0385435,False,0.0
