directory,canonical_name,audit_family,is_reproduction_or_sensitivity,file_count,bytes,report_count,summary_count,reports,summaries
AUDIT-clustering-leakage-20260828,AUDIT-clustering-leakage-20260828,meta_audit,False,33,41864735,1,0,analysis/AUDIT-clustering-leakage-20260828/report.md,
_repro_logs,_repro_logs,meta_audit,True,51,14368,0,0,,
absolute-expert-tension,absolute-expert-tension,expert_mechanism_and_output,False,3,631302,1,1,analysis/absolute-expert-tension/REPORT.md,analysis/absolute-expert-tension/summary.json
action-commitment-pilot,action-commitment-pilot,candidate_selection_and_budget,False,3,238155,1,1,analysis/action-commitment-pilot/REPORT.md,analysis/action-commitment-pilot/summary.json
action-majority-vote,action-majority-vote,candidate_selection_and_budget,False,4,54500,2,2,analysis/action-majority-vote/REPORT.md;analysis/action-majority-vote/cross-task/REPORT.md,analysis/action-majority-vote/cross-task/summary.json;analysis/action-majority-vote/summary.json
adaptive-denoise-stop-dedup-pilot,adaptive-denoise-stop-dedup-pilot,denoise_stopping,False,1,2009,1,0,analysis/adaptive-denoise-stop-dedup-pilot/report.md,
adaptive-denoise-stop-long-pilot,adaptive-denoise-stop-long-pilot,denoise_stopping,False,1,3199,1,0,analysis/adaptive-denoise-stop-long-pilot/report.md,
adaptive-denoise-stop-pilot,adaptive-denoise-stop-pilot,denoise_stopping,False,1,2470,1,0,analysis/adaptive-denoise-stop-pilot/report.md,
adaptive-k,adaptive-k,candidate_selection_and_budget,False,1,362,0,1,,analysis/adaptive-k/summary.json
aligned-route-kernel,aligned-route-kernel,failure_routing_and_recovery,False,9,8656650,1,1,analysis/aligned-route-kernel/report.md,analysis/aligned-route-kernel/summary.json
aligned-route-kernel-repro,aligned-route-kernel,failure_routing_and_recovery,True,9,8656656,1,1,analysis/aligned-route-kernel-repro/report.md,analysis/aligned-route-kernel-repro/summary.json
aligned-route-kernel-repro-seed12345,aligned-route-kernel,failure_routing_and_recovery,True,9,8699221,1,1,analysis/aligned-route-kernel-repro-seed12345/report.md,analysis/aligned-route-kernel-repro-seed12345/summary.json
aligned-route-kernel-repro-seed20260830,aligned-route-kernel,failure_routing_and_recovery,True,9,8710689,1,1,analysis/aligned-route-kernel-repro-seed20260830/report.md,analysis/aligned-route-kernel-repro-seed20260830/summary.json
aligned-route-kernel-repro-seed999,aligned-route-kernel,failure_routing_and_recovery,True,9,8682542,1,1,analysis/aligned-route-kernel-repro-seed999/report.md,analysis/aligned-route-kernel-repro-seed999/summary.json
aligned-route-kernel-truncate90,aligned-route-kernel-truncate90,failure_routing_and_recovery,False,9,5619783,1,1,analysis/aligned-route-kernel-truncate90/report.md,analysis/aligned-route-kernel-truncate90/summary.json
aligned-route-kernel-truncate90-repro,aligned-route-kernel-truncate90,failure_routing_and_recovery,True,9,5619762,1,1,analysis/aligned-route-kernel-truncate90-repro/report.md,analysis/aligned-route-kernel-truncate90-repro/summary.json
all-outcome-routing-clusters,all-outcome-routing-clusters,failure_routing_and_recovery,False,97,634961117,1,1,analysis/all-outcome-routing-clusters/report.md,analysis/all-outcome-routing-clusters/summary.json
all-outcome-routing-clusters-repro,all-outcome-routing-clusters,failure_routing_and_recovery,True,27,15366033,1,1,analysis/all-outcome-routing-clusters-repro/report.md,analysis/all-outcome-routing-clusters-repro/summary.json
all-outcome-routing-clusters-repro-seed12345,all-outcome-routing-clusters,failure_routing_and_recovery,True,27,15362844,1,1,analysis/all-outcome-routing-clusters-repro-seed12345/report.md,analysis/all-outcome-routing-clusters-repro-seed12345/summary.json
all-outcome-routing-clusters-repro-seed20260830,all-outcome-routing-clusters,failure_routing_and_recovery,True,27,15363694,1,1,analysis/all-outcome-routing-clusters-repro-seed20260830/report.md,analysis/all-outcome-routing-clusters-repro-seed20260830/summary.json
all-outcome-routing-clusters-repro-seed999,all-outcome-routing-clusters,failure_routing_and_recovery,True,27,15358643,1,1,analysis/all-outcome-routing-clusters-repro-seed999/report.md,analysis/all-outcome-routing-clusters-repro-seed999/summary.json
alternative-routing-organizations,alternative-routing-organizations,failure_routing_and_recovery,False,20,17174912,4,3,analysis/alternative-routing-organizations/peer-rank-c1-audit-repro/report.md;analysis/alternative-routing-organizations/peer-rank-c1-audit/report.md;analysis/alternative-routing-organizations/report.md;analysis/alternative-routing-organizations/truncate90_report.md,analysis/alternative-routing-organizations/peer-rank-c1-audit-repro/summary.json;analysis/alternative-routing-organizations/peer-rank-c1-audit/summary.json;analysis/alternative-routing-organizations/summary.json
alternative-routing-organizations-repro,alternative-routing-organizations,failure_routing_and_recovery,True,11,17048408,2,1,analysis/alternative-routing-organizations-repro/report.md;analysis/alternative-routing-organizations-repro/truncate90_report.md,analysis/alternative-routing-organizations-repro/summary.json
alternative-routing-organizations-repro-seed12345,alternative-routing-organizations,failure_routing_and_recovery,True,7,14471262,1,1,analysis/alternative-routing-organizations-repro-seed12345/report.md,analysis/alternative-routing-organizations-repro-seed12345/summary.json
alternative-routing-organizations-repro-seed20260830,alternative-routing-organizations,failure_routing_and_recovery,True,7,14473872,1,1,analysis/alternative-routing-organizations-repro-seed20260830/report.md,analysis/alternative-routing-organizations-repro-seed20260830/summary.json
alternative-routing-organizations-repro-seed999,alternative-routing-organizations,failure_routing_and_recovery,True,7,14430544,1,1,analysis/alternative-routing-organizations-repro-seed999/report.md,analysis/alternative-routing-organizations-repro-seed999/summary.json
behavior-geometry-phase1,behavior-geometry-phase1,candidate_selection_and_budget,False,14,5523025,0,3,,analysis/behavior-geometry-phase1/dense-fresh-k2/summary.json;analysis/behavior-geometry-phase1/legacy-n32-invalid-pre-global-scales/summary.json;analysis/behavior-geometry-phase1/legacy-n32-v2/summary.json
behavior-geometry-phase2,behavior-geometry-phase2,candidate_selection_and_budget,False,3,2764956,1,1,analysis/behavior-geometry-phase2/legacy-n32-exploratory/REPORT.md,analysis/behavior-geometry-phase2/legacy-n32-exploratory/summary.json
branch-ablation,branch-ablation,intervention_and_pruning,False,1,1231,0,0,,
branch-replay,branch-replay,capture_and_fidelity,False,1,438,0,0,,
budget-gain,budget-gain,candidate_selection_and_budget,False,6,69145,0,1,,analysis/budget-gain/summary.json
candidate-level-soft-routing,candidate-level-soft-routing,candidate_selection_and_budget,False,10,7069986,1,1,analysis/candidate-level-soft-routing/report.md,analysis/candidate-level-soft-routing/summary.json
commitment-grid-s24,commitment-grid-s24,rolling_or_early_outcome,False,3,120211,1,0,analysis/commitment-grid-s24/REPORT.md,
commitment-grid-s24-pilot,commitment-grid-s24-pilot,capture_and_fidelity,False,2,1670,1,0,analysis/commitment-grid-s24-pilot/REPORT.md,
