fold,calibration,method,alpha,threshold,rank,units,no_exposure_units,attainable
0,episode,ac_reference,0.005,5.735496450145729,3083,3097,236,True
0,episode,ac_reference,0.01,4.9935591054163515,3068,3097,236,True
0,episode,ac_reference,0.02,4.409306013095543,3037,3097,236,True
0,episode,ac_reference,0.05,3.549445173407635,2944,3097,236,True
0,task_init,ac_reference,0.005,8.038081543139775,398,398,23,True
0,task_init,ac_reference,0.01,7.527255919373784,396,398,23,True
0,task_init,ac_reference,0.02,6.24632207391172,392,398,23,True
0,task_init,ac_reference,0.05,4.694042575317567,380,398,23,True
0,episode,relative_curvature,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_curvature,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_curvature,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_curvature,0.05,2.910157162520419,2944,3097,236,True
0,task_init,relative_curvature,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_curvature,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_curvature,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_curvature,0.05,3.9950302753052243,380,398,23,True
0,episode,relative_path_mobility,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_path_mobility,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_path_mobility,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_path_mobility,0.05,2.9121354025325243,2944,3097,236,True
0,task_init,relative_path_mobility,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_path_mobility,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_path_mobility,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_path_mobility,0.05,3.9950302753052243,380,398,23,True
0,episode,relative_state,0.005,4.932001212416918,3083,3097,236,True
0,episode,relative_state,0.01,4.38310364070152,3068,3097,236,True
0,episode,relative_state,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_state,0.05,2.9754865101128076,2944,3097,236,True
0,task_init,relative_state,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_state,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_state,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_state,0.05,4.012729852404625,380,398,23,True
0,episode,relative_both,0.005,4.521573314966624,3083,3097,236,True
0,episode,relative_both,0.01,4.006795116884811,3068,3097,236,True
0,episode,relative_both,0.02,2.9422884407032117,3037,3097,236,True
0,episode,relative_both,0.05,1.9475260933875618,2944,3097,236,True
0,task_init,relative_both,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_both,0.01,5.093642563973334,396,398,23,True
0,task_init,relative_both,0.02,4.492302932666512,392,398,23,True
0,task_init,relative_both,0.05,3.5993595647893475,380,398,23,True
0,episode,relative_soft,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_soft,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_soft,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_soft,0.05,2.910157162520419,2944,3097,236,True
