calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5262936120006741,0.5262936120006741,0.5444687903814821,0.0,-0.018175178380807955,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.497134670487106,0.5262936120006741,0.5444687903814821,-0.029158941513568126,-0.04733411989437608,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5525310410697231,0.5262936120006741,0.5444687903814821,0.026237429069048912,0.008062250688240957,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5242429349963481,0.5262936120006741,0.5444687903814821,-0.0020506770043260403,-0.020225855385133995,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.497134670487106,0.5262936120006741,0.5444687903814821,-0.029158941513568126,-0.04733411989437608,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.497134670487106,0.5262936120006741,0.5444687903814821,-0.029158941513568126,-0.04733411989437608,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5339063992359121,0.5262936120006741,0.5444687903814821,0.00761278723523795,-0.010562391145570005,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.497134670487106,0.5262936120006741,0.5444687903814821,-0.029158941513568126,-0.04733411989437608,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5752008539805608,0.5752008539805608,0.5915781785493567,0.0,-0.016377324568795926,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.4684532838923535,0.5752008539805608,0.5915781785493567,-0.10674757008820723,-0.12312489465700316,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.552896230125288,0.5752008539805608,0.5915781785493567,-0.022304623855272765,-0.03868194842406869,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.48567335243553006,0.5752008539805608,0.5915781785493567,-0.0895275015450307,-0.10590482611382662,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.4684532838923535,0.5752008539805608,0.5915781785493567,-0.10674757008820723,-0.12312489465700316,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.46828473509747737,0.5752008539805608,0.5915781785493567,-0.10691611888308339,-0.12329344345187931,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.48106635204224957,0.5752008539805608,0.5915781785493567,-0.09413450193831119,-0.11051182650710711,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.4684532838923535,0.5752008539805608,0.5915781785493567,-0.10674757008820723,-0.12312489465700316,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5772515309848868,0.5772515309848868,0.6011854598572953,0.0,-0.023933928872408528,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5989381425922805,0.5772515309848868,0.6011854598572953,0.021686611607393713,-0.0022473172650148143,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5490476993089499,0.5772515309848868,0.6011854598572953,-0.028203831675936875,-0.0521377605483454,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.49143210292713074,0.5772515309848868,0.6011854598572953,-0.08581942805775605,-0.10975335693016458,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5989381425922805,0.5772515309848868,0.6011854598572953,0.021686611607393713,-0.0022473172650148143,51,349
