method,failure,episodes,exposed_episodes,queries,first_query,zero_score_queries
ac_reference,False,15436,14292,109210,8,0
ac_reference,True,564,564,17228,8,0
relative_curvature,False,15436,14292,109210,8,24924
relative_curvature,True,564,564,17228,8,989
relative_path_mobility,False,15436,14292,109210,8,28582
relative_path_mobility,True,564,564,17228,8,652
relative_state,False,15436,14292,109210,8,18779
relative_state,True,564,564,17228,8,532
relative_both,False,15436,14292,109210,8,55777
relative_both,True,564,564,17228,8,3293
relative_soft,False,15436,14292,109210,8,24924
relative_soft,True,564,564,17228,8,989
layer_consensus,False,15436,14292,109210,8,82942
layer_consensus,True,564,564,17228,8,6246
relative_recovery,False,15436,14292,109210,8,31072
relative_recovery,True,564,564,17228,8,2877
ac_window_mean,False,15436,10571,71302,11,0
ac_window_mean,True,564,564,15536,11,0
