calibration,alpha,method,d_only_tp,d_only_fp,branch_first_differences,combined_first_differences
episode,0.005,ac_reference,486,133,244,133
episode,0.005,relative_curvature,486,133,0,0
episode,0.005,relative_path_mobility,486,133,18,9
episode,0.005,relative_state,486,133,60,35
episode,0.005,relative_both,486,133,200,99
episode,0.005,relative_soft,486,133,0,0
episode,0.005,layer_consensus,486,133,186,99
episode,0.005,relative_recovery,486,133,0,0
episode,0.005,ac_window_mean,486,133,244,110
episode,0.01,ac_reference,502,189,444,292
episode,0.01,relative_curvature,502,189,0,0
episode,0.01,relative_path_mobility,502,189,78,46
episode,0.01,relative_state,502,189,146,89
episode,0.01,relative_both,502,189,299,162
episode,0.01,relative_soft,502,189,0,0
episode,0.01,layer_consensus,502,189,321,193
episode,0.01,relative_recovery,502,189,0,0
episode,0.01,ac_window_mean,502,189,405,240
episode,0.02,ac_reference,527,309,698,525
episode,0.02,relative_curvature,527,309,0,0
episode,0.02,relative_path_mobility,527,309,82,54
episode,0.02,relative_state,527,309,163,108
episode,0.02,relative_both,527,309,658,491
episode,0.02,relative_soft,527,309,0,0
episode,0.02,layer_consensus,527,309,619,444
episode,0.02,relative_recovery,527,309,0,0
episode,0.02,ac_window_mean,527,309,652,478
episode,0.05,ac_reference,554,788,1341,1228
episode,0.05,relative_curvature,554,788,0,0
episode,0.05,relative_path_mobility,554,788,145,106
episode,0.05,relative_state,554,788,347,296
episode,0.05,relative_both,554,788,1172,1068
episode,0.05,relative_soft,554,788,0,0
episode,0.05,layer_consensus,554,788,1155,1034
episode,0.05,relative_recovery,554,788,0,0
episode,0.05,ac_window_mean,554,788,1424,1282
task_init,0.005,ac_reference,478,107,83,23
task_init,0.005,relative_curvature,478,107,0,0
task_init,0.005,relative_path_mobility,478,107,18,3
task_init,0.005,relative_state,478,107,22,4
task_init,0.005,relative_both,478,107,57,18
task_init,0.005,relative_soft,478,107,0,0
task_init,0.005,layer_consensus,478,107,35,12
task_init,0.005,relative_recovery,478,107,0,0
task_init,0.005,ac_window_mean,478,107,91,26
task_init,0.01,ac_reference,479,109,143,44
task_init,0.01,relative_curvature,479,109,0,0
task_init,0.01,relative_path_mobility,479,109,28,11
task_init,0.01,relative_state,479,109,36,14
task_init,0.01,relative_both,479,109,114,46
task_init,0.01,relative_soft,479,109,0,0
task_init,0.01,layer_consensus,479,109,89,34
task_init,0.01,relative_recovery,479,109,0,0
task_init,0.01,ac_window_mean,479,109,143,41
task_init,0.02,ac_reference,488,136,247,137
task_init,0.02,relative_curvature,488,136,0,0
task_init,0.02,relative_path_mobility,488,136,41,19
task_init,0.02,relative_state,488,136,80,51
task_init,0.02,relative_both,488,136,205,98
task_init,0.02,relative_soft,488,136,0,0
task_init,0.02,layer_consensus,488,136,206,101
task_init,0.02,relative_recovery,488,136,0,0
task_init,0.02,ac_window_mean,488,136,242,123
task_init,0.05,ac_reference,515,250,558,406
task_init,0.05,relative_curvature,515,250,0,0
task_init,0.05,relative_path_mobility,515,250,106,65
task_init,0.05,relative_state,515,250,166,103
task_init,0.05,relative_both,515,250,522,353
task_init,0.05,relative_soft,515,250,0,0
task_init,0.05,layer_consensus,515,250,538,363
task_init,0.05,relative_recovery,515,250,0,0
task_init,0.05,ac_window_mean,515,250,546,368
