calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,median_failure_q,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
episode,0.005,relative_both,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,relative_both,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,relative_both,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,relative_both,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,relative_both,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,relative_both,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,35.5,1,0,1,0,,,,
episode,0.005,relative_both,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,8,1,399,1.0,0.020050125313283207,29.0,0,8,1,8,,,,
episode,0.005,relative_both,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,16,1,399,1.0,0.040100250626566414,41.0,0,15,0,15,,,,
episode,0.005,relative_both,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,127,14,151,249,0.8410596026490066,0.05622489959839357,33.0,0,0,22,5,,,,
episode,0.005,relative_both,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,5,30,370,1.0,0.013513513513513514,14.0,23,5,23,5,,,,
episode,0.005,relative_both,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,1,8,2,,,,
episode,0.005,relative_both,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,6,4,396,0.75,0.015151515151515152,31.0,1,4,2,6,,,,
episode,0.005,relative_both,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
episode,0.005,relative_both,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,15,47,353,1.0,0.042492917847025496,31.0,8,10,31,15,,,,
episode,0.005,relative_both,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,33,6,394,1.0,0.08375634517766498,24.5,5,32,6,33,,,,
episode,0.005,relative_both,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,0,0,0,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,relative_both,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
episode,0.005,relative_both,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,24.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,17.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,3,2,5,395,0.6,0.005063291139240506,15.0,0,0,3,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,0,0,1,0,,,,
episode,0.005,relative_both,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,16.0,1,0,2,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,0,0,0,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,0,14,386,0.8571428571428571,0.0,19.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,19,2,24,376,0.7916666666666666,0.005319148936170213,18.0,2,1,2,1,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,0,0,1,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,0,0,0,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,0,12,388,1.0,0.0,17.0,2,0,3,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,38,0,41,359,0.926829268292683,0.0,19.0,0,0,1,0,,,,
episode,0.005,relative_both,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,relative_soft,all,486,133,564,15436,0.8617021276595744,0.008616221819124125,24.0,77,93,161,112,0.8207109737248841,0.9218570765122489,0.0050800101784461696,0.012994011440793572
episode,0.005,relative_soft,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,21,7,37,10,,,,
episode,0.005,relative_soft,libero_long,242,110,274,3726,0.8832116788321168,0.029522275899087493,32.0,51,82,111,98,,,,
episode,0.005,relative_soft,libero_object,32,9,44,3956,0.7272727272727273,0.002275025278058645,19.5,1,3,6,3,,,,
episode,0.005,relative_soft,libero_spatial,125,4,140,3860,0.8928571428571429,0.0010362694300518134,18.0,4,1,7,1,,,,
episode,0.005,relative_soft,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,relative_soft,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,0,0,3,1,,,,
episode,0.005,relative_soft,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,relative_soft,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,relative_soft,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,relative_soft,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,relative_soft,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,relative_soft,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,relative_soft,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,relative_soft,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,34.0,1,0,1,0,,,,
episode,0.005,relative_soft,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,8,1,399,1.0,0.020050125313283207,29.0,0,8,1,8,,,,
episode,0.005,relative_soft,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,17,1,399,1.0,0.042606516290726815,41.0,0,16,0,16,,,,
episode,0.005,relative_soft,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,124,16,151,249,0.8211920529801324,0.0642570281124498,33.0,0,1,22,6,,,,
episode,0.005,relative_soft,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,6,30,370,1.0,0.016216216216216217,13.0,25,6,25,6,,,,
episode,0.005,relative_soft,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,0,8,2,,,,
episode,0.005,relative_soft,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,6,4,396,1.0,0.015151515151515152,31.5,1,4,2,6,,,,
episode,0.005,relative_soft,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
episode,0.005,relative_soft,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,15,47,353,1.0,0.042492917847025496,31.0,7,9,31,15,,,,
episode,0.005,relative_soft,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,35,6,394,1.0,0.08883248730964467,23.5,6,34,6,35,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,0,0,0,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,24.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,18.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,3,2,5,395,0.6,0.005063291139240506,15.0,0,0,3,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,0,0,1,0,,,,
episode,0.005,relative_soft,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,1,0,1,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,0,0,0,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,0,14,386,0.8571428571428571,0.0,19.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,19,2,24,376,0.7916666666666666,0.005319148936170213,17.0,2,1,2,1,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,0,0,1,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,0,0,0,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,0,12,388,1.0,0.0,17.0,2,0,3,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,0,41,359,0.9512195121951219,0.0,19.0,0,0,1,0,,,,
episode,0.005,relative_soft,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,layer_consensus,all,486,135,564,15436,0.8617021276595744,0.008745789064524489,24.0,78,98,160,114,0.8197338768714025,0.9227313800657174,0.004645657198044563,0.01427465600299369
episode,0.005,layer_consensus,libero_goal,88,10,106,3894,0.8301886792452831,0.0025680534155110425,21.0,21,7,37,10,,,,
episode,0.005,layer_consensus,libero_long,240,112,274,3726,0.8759124087591241,0.030059044551798177,32.0,50,87,110,100,,,,
episode,0.005,layer_consensus,libero_object,32,9,44,3956,0.7272727272727273,0.002275025278058645,19.0,3,3,6,3,,,,
episode,0.005,layer_consensus,libero_spatial,126,4,140,3860,0.9,0.0010362694300518134,18.0,4,1,7,1,,,,
episode,0.005,layer_consensus,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,40,1,51,349,0.7843137254901961,0.0028653295128939827,25.0,0,0,3,1,,,,
episode,0.005,layer_consensus,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,layer_consensus,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,layer_consensus,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,layer_consensus,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,layer_consensus,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,layer_consensus,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,layer_consensus,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,37.0,0,0,1,0,,,,
episode,0.005,layer_consensus,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,7,1,399,1.0,0.017543859649122806,29.0,0,7,1,7,,,,
episode,0.005,layer_consensus,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,15,1,399,1.0,0.03759398496240601,41.0,0,14,0,14,,,,
episode,0.005,layer_consensus,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,123,15,151,249,0.8145695364238411,0.060240963855421686,33.0,0,0,22,5,,,,
episode,0.005,layer_consensus,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,5,30,370,1.0,0.013513513513513514,14.0,22,5,22,5,,,,
episode,0.005,layer_consensus,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,1,10,390,0.8,0.002564102564102564,10.0,8,0,8,1,,,,
episode,0.005,layer_consensus,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,6,4,396,0.75,0.015151515151515152,31.0,1,4,2,6,,,,
episode,0.005,layer_consensus,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
episode,0.005,layer_consensus,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,14,47,353,1.0,0.039660056657223795,31.0,10,10,33,14,,,,
episode,0.005,layer_consensus,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,44,6,394,1.0,0.1116751269035533,23.5,6,43,6,44,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,24.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,17.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,3,2,5,395,0.6,0.005063291139240506,14.0,2,0,3,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,0,0,1,0,,,,
episode,0.005,layer_consensus,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,1,0,1,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,0,14,386,0.8571428571428571,0.0,19.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,19,2,24,376,0.7916666666666666,0.005319148936170213,17.0,2,1,2,1,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,0,0,1,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,0,0,0,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,0,12,388,1.0,0.0,16.5,2,0,3,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,40,0,41,359,0.975609756097561,0.0,19.0,0,0,1,0,,,,
episode,0.005,layer_consensus,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,relative_recovery,all,486,133,564,15436,0.8617021276595744,0.008616221819124125,24.0,77,93,161,112,0.8207109737248841,0.9218570765122489,0.0050800101784461696,0.012994011440793572
episode,0.005,relative_recovery,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,21,7,37,10,,,,
episode,0.005,relative_recovery,libero_long,242,110,274,3726,0.8832116788321168,0.029522275899087493,32.0,51,82,111,98,,,,
episode,0.005,relative_recovery,libero_object,32,9,44,3956,0.7272727272727273,0.002275025278058645,19.5,1,3,6,3,,,,
episode,0.005,relative_recovery,libero_spatial,125,4,140,3860,0.8928571428571429,0.0010362694300518134,18.0,4,1,7,1,,,,
episode,0.005,relative_recovery,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,0,0,3,1,,,,
episode,0.005,relative_recovery,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,relative_recovery,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,relative_recovery,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,relative_recovery,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,relative_recovery,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,relative_recovery,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,relative_recovery,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,34.0,1,0,1,0,,,,
episode,0.005,relative_recovery,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,8,1,399,1.0,0.020050125313283207,29.0,0,8,1,8,,,,
episode,0.005,relative_recovery,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,17,1,399,1.0,0.042606516290726815,41.0,0,16,0,16,,,,
episode,0.005,relative_recovery,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,124,16,151,249,0.8211920529801324,0.0642570281124498,33.0,0,1,22,6,,,,
episode,0.005,relative_recovery,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,6,30,370,1.0,0.016216216216216217,13.0,25,6,25,6,,,,
episode,0.005,relative_recovery,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,0,8,2,,,,
episode,0.005,relative_recovery,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,6,4,396,1.0,0.015151515151515152,31.5,1,4,2,6,,,,
episode,0.005,relative_recovery,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
episode,0.005,relative_recovery,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,15,47,353,1.0,0.042492917847025496,31.0,7,9,31,15,,,,
episode,0.005,relative_recovery,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,35,6,394,1.0,0.08883248730964467,23.5,6,34,6,35,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,24.0,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,18.0,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,3,2,5,395,0.6,0.005063291139240506,15.0,0,0,3,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,0,0,1,0,,,,
episode,0.005,relative_recovery,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,1,0,1,0,,,,
episode,0.005,relative_recovery,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,0,0,0,0,,,,
episode,0.005,relative_recovery,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,0,0,0,0,,,,
