feature,window,auc,lo,hi,tasks
acceleration,q8_13,0.6853621951334384,0.6307989460220751,0.7347163352627426,36
path,q8_13,0.6871739273211817,0.6335352795162723,0.7381292716945362,36
positive_acc_minus_path,q8_13,0.4153890445860784,0.3865620827043085,0.4433695315976263,36
signed_acc_minus_path,q8_13,0.36995764792695573,0.32493297612105315,0.41585884241827686,36
signed_path_minus_mobility,q8_13,0.629124167949356,0.5746246543104283,0.6809898166036144,36
acceleration,all_comparable_queries,0.6591770258697686,0.6010093264075793,0.7133554486919688,36
path,all_comparable_queries,0.643646767068359,0.5853424178244637,0.7014751947456964,36
positive_acc_minus_path,all_comparable_queries,0.45073498145484553,0.4278571709854658,0.4747706115737105,36
signed_acc_minus_path,all_comparable_queries,0.4087339088586718,0.3580323821967925,0.45727523065396786,36
signed_path_minus_mobility,all_comparable_queries,0.6336658889531263,0.5915325174220962,0.6757907652195776,36
