task,suite,query,feature,auc
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,path,0.8135123614663257
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,signed_acc_minus_path,0.3337595907928389
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,positive_acc_minus_path,0.49728260869565216
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,signed_path_minus_mobility,0.6134910485933504
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,acceleration,0.5902777777777778
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,path,0.5502450980392157
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,signed_acc_minus_path,0.5232843137254902
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,positive_acc_minus_path,0.5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,signed_path_minus_mobility,0.5633169934640523
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,acceleration,0.12549019607843137
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,path,0.16862745098039217
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,signed_acc_minus_path,0.7333333333333333
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,positive_acc_minus_path,0.5784313725490197
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,signed_path_minus_mobility,0.7490196078431373
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,acceleration,0.09803921568627451
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,path,0.06862745098039216
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,signed_acc_minus_path,0.8970588235294118
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,positive_acc_minus_path,0.696078431372549
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,signed_path_minus_mobility,0.7598039215686274
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,22,acceleration,0.4215686274509804
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,22,path,0.25
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,22,signed_acc_minus_path,0.9117647058823529
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,22,positive_acc_minus_path,0.7450980392156863
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,22,signed_path_minus_mobility,0.7696078431372549
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,23,acceleration,0.5931372549019608
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,23,path,0.3382352941176471
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,23,signed_acc_minus_path,0.8970588235294118
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,23,positive_acc_minus_path,0.6764705882352942
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,23,signed_path_minus_mobility,0.7843137254901961
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,24,acceleration,0.3333333333333333
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,24,path,0.16339869281045752
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,24,signed_acc_minus_path,0.9084967320261438
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,24,positive_acc_minus_path,0.5490196078431373
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,24,signed_path_minus_mobility,0.7189542483660131
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,25,acceleration,0.06862745098039216
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,25,path,0.029411764705882353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,25,signed_acc_minus_path,0.9803921568627451
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,25,positive_acc_minus_path,0.5098039215686274
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,25,signed_path_minus_mobility,0.7058823529411765
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,26,acceleration,0.0196078431372549
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,26,path,0.0196078431372549
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,26,signed_acc_minus_path,0.9411764705882353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,26,positive_acc_minus_path,0.5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,26,signed_path_minus_mobility,0.7843137254901961
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,27,acceleration,0.1568627450980392
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,27,path,0.13725490196078433
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,27,signed_acc_minus_path,0.8627450980392157
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,27,positive_acc_minus_path,0.5294117647058824
