global_row,task,episode,failure,boundary,calibration,alpha,method,cached_first,raw_first,exact
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.005,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.01,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.02,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,episode,0.05,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,ac_reference,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_curvature,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_path_mobility,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_state,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_both,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_soft,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,layer_consensus,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,relative_recovery,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.005,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.01,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.02,ac_window_mean,-1,-1,True
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,False,False,task_init,0.05,ac_window_mean,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.005,ac_reference,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.01,ac_reference,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.02,ac_reference,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.05,ac_reference,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.005,relative_curvature,-1,-1,True
1200,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,False,False,episode,0.01,relative_curvature,-1,-1,True
