calibration,method,baseline,metric,delta,lo,hi
episode,ac_reference,old_ac,recall,0.0035460992907801418,0.0,0.009882731722639577
episode,ac_reference,old_ac,fpr,0.0014252396994039907,0.000587725363328235,0.002624037807377049
episode,ac_reference,previous_absolute_acc,recall,-0.014184397163120567,-0.028848684210526318,0.006637351894863727
episode,ac_reference,previous_absolute_acc,fpr,-0.00019435086810054417,-0.0027161141783208454,0.001875025196906885
episode,relative_curvature,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_curvature,ac_reference,fpr,-0.00045348535890126976,-0.0026309563856619115,0.0023765812949187687
episode,relative_curvature,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_curvature,old_ac,fpr,0.0009717543405027209,-0.001613976183501245,0.004642361428138492
episode,relative_curvature,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_curvature,previous_absolute_acc,fpr,-0.000647836227001814,-0.00155080586138301,0.0001291159983944373
episode,relative_path_mobility,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_path_mobility,ac_reference,fpr,-0.0002591344908007256,-0.002372296738045241,0.0024758525268587022
episode,relative_path_mobility,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_path_mobility,old_ac,fpr,0.001166105208603265,-0.0013594587779058405,0.004773163742470512
episode,relative_path_mobility,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_path_mobility,previous_absolute_acc,fpr,-0.00045348535890126976,-0.0012479641517272758,0.0002591714306398385
episode,relative_state,ac_reference,recall,0.0070921985815602835,-0.016394404679442778,0.023184549664133303
episode,relative_state,ac_reference,fpr,-0.000647836227001814,-0.0026721326796544263,0.0018594194926223118
episode,relative_state,old_ac,recall,0.010638297872340425,-0.010155546566100765,0.025414210668737346
episode,relative_state,old_ac,fpr,0.0007774034724021767,-0.001742497863604152,0.004131190262077939
episode,relative_state,previous_absolute_acc,recall,-0.0070921985815602835,-0.01499050087746132,0.0
episode,relative_state,previous_absolute_acc,fpr,-0.0008421870951023582,-0.0016883336258336258,0.0
episode,relative_both,ac_reference,recall,0.012411347517730497,-0.013227513227513227,0.02882493358103114
episode,relative_both,ac_reference,fpr,-0.0014900233221041722,-0.0033238560763295916,0.0007015714494175765
episode,relative_both,old_ac,recall,0.015957446808510637,-0.005962301587301586,0.03034134007585335
episode,relative_both,old_ac,fpr,-6.47836227001814e-05,-0.0023993684122643718,0.0030115235749080664
episode,relative_both,previous_absolute_acc,recall,-0.0017730496453900709,-0.010812279670975323,0.006908562355244621
episode,relative_both,previous_absolute_acc,fpr,-0.0016843741902047163,-0.0025836830938104024,-0.0008497204124881789
episode,relative_soft,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_soft,ac_reference,fpr,-0.00045348535890126976,-0.0026309563856619115,0.0023765812949187687
