calibration,score_kind,method,window,metric,estimate,lo,hi,tasks
episode,calibrated_rank,ac_reference,q8_13,auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36
episode,calibrated_rank,ac_reference,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,ac_reference,q8_13,delta_absolute,-0.02110905140465387,-0.0523014990335264,0.006002618224491583,36
episode,calibrated_rank,ac_window_mean,q8_13,auc,0.7182354780906985,0.6486467430034139,0.7868781221076779,32
episode,calibrated_rank,ac_window_mean,q8_13,auc_absolute,0.7469701993054347,0.6901564137693695,0.8012750777156651,32
episode,calibrated_rank,ac_window_mean,q8_13,delta_absolute,-0.028734721214736157,-0.09832624225870122,0.03320265865470774,32
episode,calibrated_rank,layer_consensus,q8_13,auc,0.6148668532348256,0.5630132971943844,0.6665699951937893,36
episode,calibrated_rank,layer_consensus,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,layer_consensus,q8_13,delta_absolute,-0.14345861149488195,-0.19279250998325717,-0.09754311490593244,36
episode,calibrated_rank,relative_both,q8_13,auc,0.562989231658762,0.5207522207807751,0.6024109773168683,36
episode,calibrated_rank,relative_both,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,relative_both,q8_13,delta_absolute,-0.1953362330709455,-0.23603459190528853,-0.15402687540639526,36
episode,calibrated_rank,relative_curvature,q8_13,auc,0.5664656487601207,0.5310179287120114,0.6004921822772754,36
episode,calibrated_rank,relative_curvature,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,relative_curvature,q8_13,delta_absolute,-0.19185981596958684,-0.23765351338226656,-0.14878639413032385,36
episode,calibrated_rank,relative_path_mobility,q8_13,auc,0.6530404143731053,0.6038238234798813,0.7053290197971995,36
episode,calibrated_rank,relative_path_mobility,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,relative_path_mobility,q8_13,delta_absolute,-0.10528505035660213,-0.15181244927489537,-0.06244041179538013,36
episode,calibrated_rank,relative_recovery,q8_13,auc,0.5664656487601207,0.5310179287120114,0.6004921822772754,36
episode,calibrated_rank,relative_recovery,q8_13,auc_absolute,0.7583254647297076,0.7185136836948444,0.7995326972468808,36
episode,calibrated_rank,relative_recovery,q8_13,delta_absolute,-0.19185981596958684,-0.23765351338226656,-0.14878639413032385,36
episode,calibrated_rank,relative_soft,q8_13,auc,0.566573015091756,0.5317284618994785,0.5990526803013956,36
