fold,calibration,method,threshold,control_threshold,d_only_threshold,success_peaks_reduced,primary_acc_gate_queries_above_threshold
0,episode,ac_reference,4.9935591054163515,4.9935591054163515,4.374519897010128,0,
0,task_init,ac_reference,7.527255919373784,7.527255919373784,5.52577591916366,0,
0,episode,relative_curvature,4.374519897010128,4.9935591054163515,4.374519897010128,1708,0.0
0,task_init,relative_curvature,5.52577591916366,7.527255919373784,5.52577591916366,1708,0.0
0,episode,relative_path_mobility,4.374519897010128,4.9935591054163515,4.374519897010128,1596,
0,task_init,relative_path_mobility,5.52577591916366,7.527255919373784,5.52577591916366,1596,
0,episode,relative_state,4.38310364070152,4.9935591054163515,4.374519897010128,1493,
0,task_init,relative_state,5.52577591916366,7.527255919373784,5.52577591916366,1493,
0,episode,relative_both,4.006795116884811,4.9935591054163515,4.374519897010128,2261,
0,task_init,relative_both,5.093642563973334,7.527255919373784,5.52577591916366,2261,
0,episode,relative_soft,4.374519897010128,4.9935591054163515,4.374519897010128,1626,
0,task_init,relative_soft,5.52577591916366,7.527255919373784,5.52577591916366,1626,
0,episode,layer_consensus,4.126058537711629,4.9935591054163515,4.374519897010128,2828,
0,task_init,layer_consensus,5.52577591916366,7.527255919373784,5.52577591916366,2828,
0,episode,relative_recovery,4.374519897010128,4.9935591054163515,4.374519897010128,1708,
0,task_init,relative_recovery,5.52577591916366,7.527255919373784,5.52577591916366,1708,
0,episode,ac_window_mean,4.2391033947949435,4.9935591054163515,4.374519897010128,2818,
0,task_init,ac_window_mean,6.653129029007164,7.527255919373784,5.52577591916366,2818,
1,episode,ac_reference,4.738578114201074,4.738578114201074,4.288840182414921,0,
1,task_init,ac_reference,5.914151444005312,5.914151444005312,5.038682706651412,0,
1,episode,relative_curvature,4.288840182414921,4.738578114201074,4.288840182414921,1699,0.0
1,task_init,relative_curvature,5.038682706651412,5.914151444005312,5.038682706651412,1699,0.0
1,episode,relative_path_mobility,4.329006224140256,4.738578114201074,4.288840182414921,1624,
1,task_init,relative_path_mobility,5.241206970762886,5.914151444005312,5.038682706651412,1624,
1,episode,relative_state,4.329006224140256,4.738578114201074,4.288840182414921,1502,
1,task_init,relative_state,5.241206970762886,5.914151444005312,5.038682706651412,1502,
1,episode,relative_both,3.781169135397446,4.738578114201074,4.288840182414921,2249,
1,task_init,relative_both,4.898920764276253,5.914151444005312,5.038682706651412,2249,
1,episode,relative_soft,4.288840182414921,4.738578114201074,4.288840182414921,1623,
1,task_init,relative_soft,5.038682706651412,5.914151444005312,5.038682706651412,1623,
1,episode,layer_consensus,3.6612339561834264,4.738578114201074,4.288840182414921,2890,
1,task_init,layer_consensus,5.038682706651412,5.914151444005312,5.038682706651412,2890,
1,episode,relative_recovery,4.288840182414921,4.738578114201074,4.288840182414921,1699,
1,task_init,relative_recovery,5.038682706651412,5.914151444005312,5.038682706651412,1699,
1,episode,ac_window_mean,3.8471361729703926,4.738578114201074,4.288840182414921,2854,
1,task_init,ac_window_mean,4.925921665424846,5.914151444005312,5.038682706651412,2854,
2,episode,ac_reference,5.551666759919312,5.551666759919312,5.074742687829003,0,
2,task_init,ac_reference,8.442038517815478,8.442038517815478,7.189275549320109,0,
2,episode,relative_curvature,5.074742687829003,5.551666759919312,5.074742687829003,1590,0.0
2,task_init,relative_curvature,7.189275549320109,8.442038517815478,7.189275549320109,1590,0.0
2,episode,relative_path_mobility,5.074742687829003,5.551666759919312,5.074742687829003,1540,
2,task_init,relative_path_mobility,7.189275549320109,8.442038517815478,7.189275549320109,1540,
2,episode,relative_state,5.074742687829003,5.551666759919312,5.074742687829003,1422,
2,task_init,relative_state,7.189275549320109,8.442038517815478,7.189275549320109,1422,
2,episode,relative_both,4.635376028045157,5.551666759919312,5.074742687829003,2182,
2,task_init,relative_both,6.496128368760163,8.442038517815478,7.189275549320109,2182,
2,episode,relative_soft,5.074742687829003,5.551666759919312,5.074742687829003,1536,
2,task_init,relative_soft,7.189275549320109,8.442038517815478,7.189275549320109,1536,
2,episode,layer_consensus,4.716345090578824,5.551666759919312,5.074742687829003,2798,
2,task_init,layer_consensus,7.189275549320109,8.442038517815478,7.189275549320109,2798,
2,episode,relative_recovery,5.074742687829003,5.551666759919312,5.074742687829003,1590,
2,task_init,relative_recovery,7.189275549320109,8.442038517815478,7.189275549320109,1590,
2,episode,ac_window_mean,4.9270129076943885,5.551666759919312,5.074742687829003,2780,
2,task_init,ac_window_mean,6.758688044856137,8.442038517815478,7.189275549320109,2780,
3,episode,ac_reference,6.046297025733376,6.046297025733376,5.448460024977757,0,
3,task_init,ac_reference,8.444192298531748,8.444192298531748,7.751045117971802,0,
3,episode,relative_curvature,5.448460024977757,6.046297025733376,5.448460024977757,1768,0.0
3,task_init,relative_curvature,7.751045117971802,8.444192298531748,7.751045117971802,1768,0.0
3,episode,relative_path_mobility,5.448460024977757,6.046297025733376,5.448460024977757,1612,
3,task_init,relative_path_mobility,7.751045117971802,8.444192298531748,7.751045117971802,1612,
3,episode,relative_state,5.5819914176022785,6.046297025733376,5.448460024977757,1550,
3,task_init,relative_state,7.751045117971802,8.444192298531748,7.751045117971802,1550,
3,episode,relative_both,5.010205094046601,6.046297025733376,5.448460024977757,2301,
3,task_init,relative_both,6.09281704136827,8.444192298531748,7.751045117971802,2301,
3,episode,relative_soft,5.448460024977757,6.046297025733376,5.448460024977757,1672,
3,task_init,relative_soft,7.751045117971802,8.444192298531748,7.751045117971802,1672,
3,episode,layer_consensus,5.308698082602597,6.046297025733376,5.448460024977757,2823,
3,task_init,layer_consensus,7.751045117971802,8.444192298531748,7.751045117971802,2823,
3,episode,relative_recovery,5.448460024977757,6.046297025733376,5.448460024977757,1768,
3,task_init,relative_recovery,7.751045117971802,8.444192298531748,7.751045117971802,1768,
3,episode,ac_window_mean,5.197384622678539,6.046297025733376,5.448460024977757,2810,
3,task_init,ac_window_mean,7.5938929531162085,8.444192298531748,7.751045117971802,2810,
4,episode,ac_reference,4.730082221377059,4.730082221377059,4.099848866227683,0,
4,task_init,ac_reference,6.092279030917889,6.092279030917889,5.473239822511666,0,
4,episode,relative_curvature,4.099848866227683,4.730082221377059,4.099848866227683,1640,0.0
4,task_init,relative_curvature,5.473239822511666,6.092279030917889,5.473239822511666,1640,0.0
4,episode,relative_path_mobility,4.160067726220738,4.730082221377059,4.099848866227683,1554,
4,task_init,relative_path_mobility,5.473239822511666,6.092279030917889,5.473239822511666,1554,
4,episode,relative_state,4.324617113268895,4.730082221377059,4.099848866227683,1424,
4,task_init,relative_state,5.473239822511666,6.092279030917889,5.473239822511666,1424,
4,episode,relative_both,3.853597739903324,4.730082221377059,4.099848866227683,2155,
4,task_init,relative_both,4.694150212150996,6.092279030917889,5.473239822511666,2155,
4,episode,relative_soft,4.099848866227683,4.730082221377059,4.099848866227683,1538,
4,task_init,relative_soft,5.473239822511666,6.092279030917889,5.473239822511666,1538,
4,episode,layer_consensus,3.3407437178759407,4.730082221377059,4.099848866227683,2833,
4,task_init,layer_consensus,4.730082221377059,6.092279030917889,5.473239822511666,2833,
4,episode,relative_recovery,4.099848866227683,4.730082221377059,4.099848866227683,1640,
4,task_init,relative_recovery,5.473239822511666,6.092279030917889,5.473239822511666,1640,
4,episode,ac_window_mean,4.025088449822452,4.730082221377059,4.099848866227683,2770,
4,task_init,ac_window_mean,5.481554987766903,6.092279030917889,5.473239822511666,2770,
