calibration,failure,episodes,positive_relief_episodes,score_lowered_queries,branch_alarm_episodes,relief_at_or_before_first,relief_only_after_first,first_alarm_differences
episode,False,15436,2319,6222,139,17,62,0
episode,True,564,390,2206,248,121,60,0
task_init,False,15436,2319,6222,34,2,22,0
task_init,True,564,390,2206,74,34,22,0
