key,d_tp0,d_fp0,d_tp4,d_fp4
raw|bnd:front_state|high|1|1|0.98|2|-,39.0,2542.0,51.0,2016.0
raw|bnd:front_state|high|1|2|0.98|2|-,5.0,78.0,5.0,53.0
raw|bnd:front_state|high|1|3|0.98|2|-,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|1|0.98|2|4-16,23.0,2110.0,36.0,1616.0
raw|bnd:front_state|high|1|1|0.98|2|4-24,25.0,2368.0,38.0,1841.0
raw|bnd:front_state|high|1|1|0.98|4|-,39.0,2373.0,51.0,1845.0
raw|bnd:front_state|high|1|1|0.98|4|4-16,23.0,2110.0,36.0,1616.0
raw|bnd:front_state|high|1|1|0.98|4|4-24,25.0,2368.0,38.0,1841.0
raw|bnd:front_state|high|1|2|0.98|2|4-16,3.0,76.0,3.0,51.0
raw|bnd:front_state|high|1|2|0.98|2|4-24,5.0,78.0,5.0,53.0
raw|bnd:front_state|high|1|2|0.98|4|-,5.0,78.0,5.0,53.0
raw|bnd:front_state|high|1|2|0.98|4|4-16,3.0,76.0,3.0,51.0
raw|bnd:front_state|high|1|2|0.98|4|4-24,5.0,78.0,5.0,53.0
raw|bnd:front_state|high|1|3|0.98|2|4-16,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|2|4-24,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|4|-,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|4|4-16,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|3|0.98|4|4-24,0.0,7.0,0.0,7.0
raw|bnd:front_state|high|1|1|0.98|2|8-24,23.0,667.0,30.0,578.0
raw|bnd:front_state|high|1|1|0.98|4|8-24,23.0,667.0,30.0,578.0
raw|bnd:front_state|high|1|1|0.98|6|8-24,23.0,667.0,30.0,578.0
raw|bnd:front_state|high|1|2|0.98|2|8-24,5.0,11.0,5.0,9.0
raw|bnd:front_state|high|1|2|0.98|4|8-24,5.0,11.0,5.0,9.0
raw|bnd:front_state|high|1|2|0.98|6|8-24,5.0,11.0,5.0,9.0
raw|bnd:front_state|high|1|1|0.98|2|6-20,24.0,1500.0,34.0,1229.0
raw|bnd:front_state|high|1|1|0.98|4|6-20,24.0,1500.0,34.0,1229.0
raw|bnd:front_state|high|1|1|0.98|6|-,39.0,1555.0,48.0,1270.0
raw|bnd:front_state|high|1|1|0.98|6|4-16,23.0,1288.0,33.0,1037.0
raw|bnd:front_state|high|1|1|0.98|6|4-24,25.0,1550.0,35.0,1266.0
raw|bnd:front_state|high|1|1|0.98|6|6-20,24.0,1500.0,34.0,1229.0
raw|bnd:front_state|high|1|2|0.98|2|6-20,4.0,51.0,4.0,31.0
raw|bnd:front_state|high|1|2|0.98|4|6-20,4.0,51.0,4.0,31.0
raw|bnd:front_state|high|1|2|0.98|6|-,5.0,51.0,5.0,31.0
raw|bnd:front_state|high|1|2|0.98|6|4-16,3.0,49.0,3.0,29.0
raw|bnd:front_state|high|1|2|0.98|6|4-24,5.0,51.0,5.0,31.0
