a,b,chunk,gain,lo,hi,sig,abs_a,abs_b,abs_diff,n,n_task
bnd:front_state,bnd:front_action,5,0.009325450147809722,-0.04220285305417771,0.032159272397377495,False,0.03168503090567054,0.0013944877422437107,0.04101048105348026,14800,37
bnd:front_state,bnd:front_action,7,-0.04006574032571342,-0.11165561298723009,0.0064261940504866675,False,0.0007799193186911468,0.06181682354698936,0.021751083221275946,14663,37
bnd:front_state,bnd:front_action,9,-0.06923034094942476,-0.18023737064490133,0.0011037127399730075,False,0.013421534307209382,0.10794643913506441,0.03871609818563965,11804,36
bnd:front_state,bnd:front_action,12,0.03457806606520508,-0.06417694868440076,0.04710733391526982,False,0.06028203589059017,0.02448103783473843,0.09486010195579525,8342,35
bnd:front_state,bnd:front_action,16,-0.015578402590018192,-0.058156866303403915,0.06354888147223016,False,0.03652366640751015,0.14466156863200152,0.12908316604198333,3554,33
bnd:front_state,bnd:front_action,20,0.007528404717184467,-0.10257573957543849,0.062395829688706154,False,0.04995843212119344,0.021415155340702596,0.05748683683837791,2776,33
bnd:front_state,bnd:back_state,5,-0.06315506584251546,-0.10910949384996473,0.012814335904953079,False,0.03168503090567054,0.07599808892472154,0.012843023082206084,14800,37
bnd:front_state,bnd:back_state,7,-0.0004661586732406797,-0.0732069760311344,0.03563644502701378,False,0.0007799193186911468,0.032580307784252194,0.032114149111011514,14663,37
bnd:front_state,bnd:back_state,9,0.008006987410134503,-0.06536178315705568,0.04255584498740005,False,0.013421534307209382,0.03828112494519342,0.046288112355327926,11804,36
bnd:front_state,bnd:back_state,12,-0.0820977091303296,-0.08709455845756542,0.03767031334998232,False,0.06028203589059017,0.0823396077658421,0.00024189863551249413,8342,35
bnd:front_state,bnd:back_state,16,-0.032363623704700806,-0.16248032407037272,0.02644200789225623,False,0.03652366640751015,0.02605683651090196,0.004160042702809341,3554,33
bnd:front_state,bnd:back_state,20,-0.04424669766296152,-0.14140688023743028,0.09246613079432708,False,0.04995843212119344,0.06643162853711859,0.02218493087415707,2776,33
bnd:front_state,bnd:back_action,5,-0.009385171250261282,-0.04617367240490625,0.022527817521299048,False,0.03168503090567054,0.017602794947594758,0.02229985965540926,14800,37
bnd:front_state,bnd:back_action,7,-0.028851038398326645,-0.09821759940281258,0.020046830314676932,False,0.0007799193186911468,0.06022112655012701,0.03137008815180037,14663,37
bnd:front_state,bnd:back_action,9,-0.06221857231343125,-0.1581568483993057,0.0035926562574713694,False,0.013421534307209382,0.11816309060666585,0.0559445182932346,11804,36
bnd:front_state,bnd:back_action,12,0.010710734027970625,-0.08097392194025266,0.03696653522079668,False,0.06028203589059017,0.021067579311395246,0.0709927699185608,8342,35
bnd:front_state,bnd:back_action,16,0.018833331399329245,-0.04488990739500351,0.09277720684330532,False,0.03652366640751015,0.16479455075020022,0.18362788214952946,3554,33
bnd:front_state,bnd:back_action,20,0.014671921667641752,-0.13213554701611244,0.058343272321755596,False,0.04995843212119344,0.013778982048834543,0.0646303537888352,2776,33
bnd:front_state,wc:front_state,5,-0.02326435546000183,-0.0891308198507477,0.009711285641246549,False,0.03168503090567054,0.031679058795425374,0.008420675445668713,14800,37
bnd:front_state,wc:front_state,7,0.02080382489167787,-0.053682960536140335,0.033517648114104015,False,0.0007799193186911468,0.0007978484984311751,0.021601673390109044,14663,37
bnd:front_state,wc:front_state,9,-0.0023836533576454544,-0.08010959864232481,0.020442447583319392,False,0.013421534307209382,0.013442413022750843,0.011058759665105389,11804,36
bnd:front_state,wc:front_state,12,-0.05499162313984429,-0.0863840326826475,0.01788786464455616,False,0.06028203589059017,0.06030891351675821,0.005317290376913919,8342,35
bnd:front_state,wc:front_state,16,-0.02994418464323423,-0.18581909292551263,0.008800205756242758,False,0.03652366640751015,0.03653527043178573,0.006591085788551498,3554,33
bnd:front_state,wc:front_state,20,-0.04658681528466302,-0.17952061949499612,0.0037637613836141604,False,0.04995843212119344,0.04995843212119344,0.003371616836530422,2776,33
bnd:front_state,wc:front_action,5,-0.03265251276538561,-0.0693764610358996,0.015944886569371246,False,0.03168503090567054,0.03391262802711337,0.0012601152617277567,14800,37
bnd:front_state,wc:front_action,7,-0.007186612879127419,-0.06038883491498682,0.03177598114566153,False,0.0007799193186911468,0.026777229941730152,0.019590617062602733,14663,37
bnd:front_state,wc:front_action,9,-0.015815627022625567,-0.08582968187231357,0.023490066786463724,False,0.013421534307209382,0.06273010084419606,0.04691447382157049,11804,36
bnd:front_state,wc:front_action,12,-0.015741329725758646,-0.08002444687048597,0.015580351151114497,False,0.06028203589059017,0.036737235367372334,0.04454070616483152,8342,35
bnd:front_state,wc:front_action,16,0.013669540596678909,-0.10033022952781975,0.03324066003121296,False,0.03652366640751015,0.0049491163535514415,0.050193207004189055,3554,33
bnd:front_state,wc:front_action,20,-0.014987529636358021,-0.09553187732894274,0.02242835329387308,False,0.04995843212119344,0.01307078855805649,0.03497090248483542,2776,33
bnd:front_state,wc:back_state,5,-0.06330436859864436,-0.11008245262014316,0.012145301371684467,False,0.03168503090567054,0.07606975424766343,0.012765385649019079,14800,37
bnd:front_state,wc:back_state,7,-0.0005289108023308065,-0.07850546665137821,0.034080345599834264,False,0.0007799193186911468,0.032592260570745546,0.03206334976841474,14663,37
bnd:front_state,wc:back_state,9,0.008229693709243036,-0.06905451085912212,0.043244851743163275,False,0.013421534307209382,0.03818369093933338,0.04641338464857642,11804,36
bnd:front_state,wc:back_state,12,-0.08225001567861528,-0.08849201788835696,0.03853875496116786,False,0.06028203589059017,0.08225897488733797,8.959208722680856e-06,8342,35
bnd:front_state,wc:back_state,16,-0.032758160530071856,-0.15748401674109222,0.026518852428272267,False,0.03652366640751015,0.026358541142068093,0.003765505877438291,3554,33
