a,b,chunk,gain,lo,hi,sig,abs_a,abs_b,abs_diff,n,n_task,cohort
bnd:front_state,bnd:front_action,9,-0.06923034094942476,-0.17573798522663434,0.0022644361509523425,False,0.013421534307209382,0.10794643913506441,0.03871609818563965,11804,36,development_main
bnd:front_state,bnd:front_action,16,-0.015578402590018192,-0.05880161422716698,0.05894791362188445,False,0.03652366640751015,0.14466156863200152,0.12908316604198333,3554,33,development_main
bnd:front_state,bnd:front_action,20,0.007528404717184467,-0.10293551911526208,0.06283049969022685,False,0.04995843212119344,0.021415155340702596,0.05748683683837791,2776,33,development_main
bnd:front_state,bnd:back_state,9,0.008006987410134503,-0.06963561810390723,0.044118114732605095,False,0.013421534307209382,0.03828112494519342,0.046288112355327926,11804,36,development_main
bnd:front_state,bnd:back_state,16,-0.032363623704700806,-0.15412244429369196,0.026983431491060684,False,0.03652366640751015,0.02605683651090196,0.004160042702809341,3554,33,development_main
bnd:front_state,bnd:back_state,20,-0.04424669766296152,-0.14567902556579326,0.08931556821313005,False,0.04995843212119344,0.06643162853711859,0.02218493087415707,2776,33,development_main
bnd:front_state,bnd:back_action,9,-0.06221857231343125,-0.1599867541918866,6.01297130780351e-05,False,0.013421534307209382,0.11816309060666585,0.0559445182932346,11804,36,development_main
bnd:front_state,bnd:back_action,16,0.018833331399329245,-0.04775325390968212,0.09387011221953227,False,0.03652366640751015,0.16479455075020022,0.18362788214952946,3554,33,development_main
bnd:front_state,bnd:back_action,20,0.014671921667641752,-0.13231760318082023,0.05942966998680472,False,0.04995843212119344,0.013778982048834543,0.0646303537888352,2776,33,development_main
bnd:front_state,wc:front_state,9,-0.0023836533576454544,-0.08094296409090952,0.019881310361818262,False,0.013421534307209382,0.013442413022750843,0.011058759665105389,11804,36,development_main
bnd:front_state,wc:front_state,16,-0.02994418464323423,-0.1873678141290986,0.008976258715778562,False,0.03652366640751015,0.03653527043178573,0.006591085788551498,3554,33,development_main
bnd:front_state,wc:front_state,20,-0.04658681528466302,-0.18901965271007487,0.005111792728868134,False,0.04995843212119344,0.04995843212119344,0.003371616836530422,2776,33,development_main
bnd:front_state,wc:front_action,9,-0.015815627022625567,-0.08745276413037027,0.021393633775623633,False,0.013421534307209382,0.06273010084419606,0.04691447382157049,11804,36,development_main
bnd:front_state,wc:front_action,16,0.013669540596678909,-0.10329013998140466,0.032933893492888326,False,0.03652366640751015,0.0049491163535514415,0.050193207004189055,3554,33,development_main
bnd:front_state,wc:front_action,20,-0.014987529636358021,-0.09966428569240478,0.021994116360307504,False,0.04995843212119344,0.01307078855805649,0.03497090248483542,2776,33,development_main
bnd:front_state,wc:back_state,9,0.008229693709243036,-0.06874484548758036,0.043020839141681394,False,0.013421534307209382,0.03818369093933338,0.04641338464857642,11804,36,development_main
bnd:front_state,wc:back_state,16,-0.032758160530071856,-0.16346623378478772,0.027579191381886376,False,0.03652366640751015,0.026358541142068093,0.003765505877438291,3554,33,development_main
bnd:front_state,wc:back_state,20,-0.04417741786495055,-0.14836158369378685,0.08593337422813709,False,0.04995843212119344,0.06647781506912587,0.022300397204175315,2776,33,development_main
bnd:front_state,wc:back_action,9,-0.02947378677263779,-0.11465404634251754,0.02306694282032989,False,0.013421534307209382,0.06633515906101461,0.036861372288376826,11804,36,development_main
bnd:front_state,wc:back_action,16,0.0010907782819082334,-0.0808598754440323,0.03845131543376218,False,0.03652366640751015,0.07876231477076245,0.07985309305267069,3554,33,development_main
bnd:front_state,wc:back_action,20,-0.03400098531268281,-0.10642521739713066,0.07535014934972832,False,0.04995843212119344,0.03490162268682451,0.015957446808510634,2776,33,development_main
bnd:front_action,bnd:back_state,9,-0.09842922463410053,-0.1973829237973999,-0.011364887165090997,False,0.10794643913506441,0.03828112494519342,0.009517214500963878,11804,36,development_main
bnd:front_action,bnd:back_state,16,-0.01964561309862256,-0.0980572095278934,0.09304702656391184,False,0.14466156863200152,0.02605683651090196,0.12501595553337896,3554,33,development_main
bnd:front_action,bnd:back_state,20,0.009268097422791444,-0.09973258195064517,0.08868988030784923,False,0.021415155340702596,0.06643162853711859,0.07569972595991004,2776,33,development_main
bnd:front_action,bnd:back_action,9,-0.09399249758154876,-0.21488413914234855,-0.02475323585627866,False,0.10794643913506441,0.11816309060666585,0.024170593025117093,11804,36,development_main
bnd:front_action,bnd:back_action,16,-0.11297097833528674,-0.19282278762806987,0.04025484222635147,False,0.14466156863200152,0.16479455075020022,0.05182357241491348,3554,33,development_main
bnd:front_action,bnd:back_action,20,-0.006058133448286429,-0.12200610031794937,0.03007185771639997,False,0.021415155340702596,0.013778982048834543,0.015357021892416167,2776,33,development_main
bnd:front_action,wc:front_state,9,-0.06923382073534834,-0.17862369609572454,0.0010802901653981752,False,0.10794643913506441,0.013442413022750843,0.03871261839971607,11804,36,development_main
bnd:front_action,wc:front_state,16,-0.015584204602155927,-0.058613559756407245,0.06077821453573012,False,0.14466156863200152,0.03653527043178573,0.1290773640298456,3554,33,development_main
bnd:front_action,wc:front_state,20,0.007474520429842646,-0.1038314761891138,0.0614747117103948,False,0.021415155340702596,0.04995843212119344,0.05743295255103609,2776,33,development_main
bnd:front_action,wc:front_action,9,-0.09766367173091511,-0.2084980323332894,-0.008490391117600905,False,0.10794643913506441,0.06273010084419606,0.010282767404149296,11804,36,development_main
