cohort,arm,n_risk,n_safe,tp0,fp0,tp2,fp2,tp4,fp4,tp8,fp8,tp12,fp12
development_main,v7,487,14313,382,67,359,57,303,38,217,26,178,18
development_main,v8,487,14313,405,76,385,63,331,44,241,30,189,18
development_main,head,487,14313,47,12,41,11,26,6,8,0,2,0
development_main,v8+head,487,14313,425,84,403,71,348,48,246,30,190,18
external_8b,v7,564,15036,439,80,410,71,347,57,261,43,228,31
external_8b,v8,564,15036,462,90,436,80,377,66,287,47,242,32
external_8b,head,564,15036,55,16,45,13,27,8,7,0,1,0
external_8b,v8+head,564,15036,487,100,457,88,391,71,291,47,242,32
legacy_main16x32,v7,307,2253,257,25,250,24,220,16,160,13,158,11
legacy_main16x32,v8,307,2253,261,26,254,25,224,16,161,13,159,11
legacy_main16x32,head,307,2253,33,13,29,13,27,9,10,0,2,0
legacy_main16x32,v8+head,307,2253,288,30,280,29,248,20,171,13,161,11
