cohort,cell,pearson,spearman,bit_identical
development_main,front_state,0.9999998004258301,0.999999755248782,False
development_main,front_action,0.8162954618526319,0.8076579851735863,False
development_main,back_state,0.999998347607595,0.9999983091653358,False
development_main,back_action,0.9303222093379442,0.931709647482455,False
external_8b,front_state,0.9999998101490718,0.9999997532563047,False
external_8b,front_action,0.814529654300328,0.8031787442700197,False
external_8b,back_state,0.9999982766509277,0.9999982121637025,False
external_8b,back_action,0.9265890843182489,0.928465521471348,False
legacy_main16x32,front_state,1.0,1.0,True
legacy_main16x32,front_action,0.8138856586144536,0.7119262360106736,False
legacy_main16x32,back_state,1.0,1.0,True
legacy_main16x32,back_action,0.9152623536160371,0.87640251048428,False
