surrogate,draw,quantile,tp,fp
flat_shuffle,0,0.99,935,199
flat_shuffle,0,0.98,943,333
flat_shuffle,0,0.97,951,500
flat_shuffle,0,0.95,973,877
flat_shuffle,0,0.92,1000,1557
flat_shuffle,1,0.99,938,196
flat_shuffle,1,0.98,949,338
flat_shuffle,1,0.97,954,522
flat_shuffle,1,0.95,968,923
flat_shuffle,1,0.92,994,1652
flat_shuffle,2,0.99,936,216
flat_shuffle,2,0.98,943,356
flat_shuffle,2,0.97,952,533
flat_shuffle,2,0.95,970,913
flat_shuffle,2,0.92,1006,1616
flat_shuffle,3,0.99,935,213
flat_shuffle,3,0.98,943,363
flat_shuffle,3,0.97,948,522
flat_shuffle,3,0.95,966,869
flat_shuffle,3,0.92,994,1564
flat_shuffle,4,0.99,934,185
flat_shuffle,4,0.98,938,318
flat_shuffle,4,0.97,950,488
flat_shuffle,4,0.95,970,926
flat_shuffle,4,0.92,996,1654
flat_shuffle,5,0.99,934,201
flat_shuffle,5,0.98,948,337
flat_shuffle,5,0.97,954,518
flat_shuffle,5,0.95,972,892
flat_shuffle,5,0.92,998,1566
circular_shift,0,0.99,1026,365
circular_shift,1,0.99,1029,374
circular_shift,2,0.99,1049,345
circular_shift,3,0.99,1041,373
circular_shift,4,0.99,1031,326
circular_shift,5,0.99,1036,387
episode_swap,0,0.99,942,154
episode_swap,0,0.98,959,240
episode_swap,0,0.97,981,376
episode_swap,0,0.95,1006,741
episode_swap,1,0.99,950,153
episode_swap,1,0.98,972,228
episode_swap,1,0.97,989,367
episode_swap,2,0.99,946,150
episode_swap,2,0.98,970,232
episode_swap,2,0.97,996,379
episode_swap,3,0.99,949,156
episode_swap,3,0.98,967,245
episode_swap,3,0.97,985,383
episode_swap,3,0.95,1007,736
episode_swap,4,0.99,943,158
episode_swap,4,0.98,962,233
episode_swap,4,0.97,976,371
episode_swap,4,0.95,1008,755
episode_swap,5,0.99,948,149
episode_swap,5,0.98,976,230
episode_swap,5,0.97,992,354
