quantile,tp0,fp0,tp2,fp2,tp4,fp4,tp8,fp8,tp12,fp12,d_tp0,d_fp0,d_tp2,d_fp2,d_tp4,d_fp4,d_tp8,d_fp8,d_tp12,d_fp12,rate
0.995,405,76,385,63,331,44,241,30,189,18,0,0,0,0,0,0,0,0,0,0,
0.993,409,80,388,65,335,46,247,33,196,20,4,4,3,2,4,2,6,3,7,2,1.0
0.99,411,96,391,76,340,53,254,38,203,21,6,20,6,13,9,9,13,8,14,3,0.3
0.985,415,126,396,87,345,60,261,39,211,21,10,50,11,24,14,16,20,9,22,3,0.2
0.98,418,183,398,105,348,72,265,46,217,23,13,107,13,42,17,28,24,16,28,5,0.12149532710280374
0.97,425,346,407,158,358,114,279,78,231,34,20,270,22,95,27,70,38,48,42,16,0.07407407407407407
0.96,428,539,412,227,364,164,292,112,243,42,23,463,27,164,33,120,51,82,54,24,0.04967602591792657
0.95,435,779,420,323,374,213,309,147,261,62,30,703,35,260,43,169,68,117,72,44,0.04267425320056899
0.93,441,1304,429,541,386,330,322,206,275,87,36,1228,44,478,55,286,81,176,86,69,0.029315960912052116
0.9,451,2062,443,951,403,571,340,338,291,148,46,1986,58,888,72,527,99,308,102,130,0.023162134944612285
