cohort,cell,seam,step9,chord,chord_over_seam
development_main,front_state,0.18676818521742788,0.18676815075111983,4.7736925019742775e-05,0.00025559452196941034
development_main,front_action,0.04614381891949329,0.04007245750367583,0.04033736049037981,0.874166062430941
development_main,back_state,0.10720347409086936,0.10720336938243699,0.00036368653855483945,0.003392488365130464
development_main,back_action,0.05234684396958204,0.05839231455354706,0.03985524964890958,0.7613687211414095
external_8b,front_state,0.18207444526190716,0.18207460359046027,4.779009288548128e-05,0.00026247556496320526
external_8b,front_action,0.04628497068643422,0.040153509775830265,0.0406423913063589,0.8780904622733376
external_8b,back_state,0.10506918231332704,0.10506924416691993,0.00036341711564481577,0.0034588364318004186
external_8b,back_action,0.0520530285808027,0.05788390037822129,0.03990500744206638,0.7666222029736702
legacy_main16x32,front_state,0.14413826557549572,0.14413826557549572,0.0,0.0
legacy_main16x32,front_action,0.044220182038641226,0.03462414748329157,0.0391415002146801,0.8851501375656214
legacy_main16x32,back_state,0.0872365213555262,0.0872365213555262,0.0,0.0
legacy_main16x32,back_action,0.04766259542564714,0.04991209417051667,0.03756954380182316,0.7882395716454642
