cohort,cell,chunk,auc,lo,hi,n,n_risk,n_task,sig
development_main,front_state,5,0.46831496909432946,0.39298822484064444,0.5243444548529733,14800,487,32,False
development_main,front_state,9,0.5134215343072094,0.45875605046148005,0.5916377787841499,11804,487,32,False
development_main,front_state,12,0.43971796410940983,0.40345672847103775,0.508482739599961,8342,487,27,False
development_main,front_state,16,0.46347633359248985,0.30641782004474416,0.5784979472661627,3554,487,21,False
development_main,front_state,20,0.45004156787880656,0.3214848742963672,0.6368554288227324,2776,487,19,False
development_main,front_action,5,0.5013944877422437,0.44115670769494775,0.5548114001520362,14800,487,32,False
development_main,front_action,9,0.6079464391350644,0.5288095332154902,0.7257191277500395,11804,487,32,True
development_main,front_action,12,0.5244810378347384,0.4504038153753728,0.6503488816350441,8342,487,27,False
development_main,front_action,16,0.6446615686320015,0.5827865388813546,0.745198489306957,3554,487,21,True
development_main,front_action,20,0.5214151553407026,0.45563685056054426,0.6354882375578783,2776,487,19,False
development_main,back_state,5,0.42400191107527846,0.3791110058026939,0.48660555840027364,14800,487,32,True
development_main,back_state,9,0.5382811249451934,0.4809448214711862,0.6214774222127736,11804,487,32,False
development_main,back_state,12,0.4176603922341579,0.38174355526929366,0.45896907817054133,8342,487,27,True
development_main,back_state,16,0.47394316348909804,0.31192170843012296,0.5652024318102621,3554,487,21,False
development_main,back_state,20,0.4335683714628814,0.3037185725408415,0.5509751139907155,2776,487,19,False
development_main,back_action,5,0.48239720505240524,0.442568096940192,0.5396232872489899,14800,487,32,False
development_main,back_action,9,0.6181630906066659,0.5591399333001752,0.7200779424014234,11804,487,32,True
development_main,back_action,12,0.5210675793113952,0.46691515770607983,0.6387229931601123,8342,487,27,False
development_main,back_action,16,0.6647945507502002,0.5412176384647523,0.7217236753182344,3554,487,21,True
development_main,back_action,20,0.48622101795116546,0.3656219360418571,0.6532156634553028,2776,487,19,False
external_8b,front_state,5,0.4572445443476632,0.3945813975118971,0.5138913674402663,15600,564,36,False
external_8b,front_state,9,0.5086122256027346,0.44756398141942666,0.5986757191369002,12602,564,36,False
external_8b,front_state,12,0.4330132424688299,0.38159195283595676,0.5009853040536009,9146,564,32,False
external_8b,front_state,16,0.4123790192098373,0.2791763435532845,0.5118863798368035,4793,564,27,False
external_8b,front_state,20,0.4158876778126732,0.26926045296309786,0.475499734476259,3995,564,24,True
external_8b,front_action,5,0.47702225968592926,0.4215663697473023,0.5198109571499965,15600,564,36,False
external_8b,front_action,9,0.6598322403907926,0.5598413752658736,0.7858566040014062,12602,564,36,True
external_8b,front_action,12,0.49589560907612484,0.41548059269281373,0.578655348233281,9146,564,32,False
external_8b,front_action,16,0.6317967424665862,0.578536584321871,0.719470775755735,4793,564,27,True
external_8b,front_action,20,0.5423856148777634,0.4921064116874912,0.6189480885096172,3995,564,24,False
external_8b,back_state,5,0.42089434193957936,0.36680638521430914,0.4891448948840088,15600,564,36,True
external_8b,back_state,9,0.5264003200038788,0.46154477744214717,0.6128965993262457,12602,564,36,False
external_8b,back_state,12,0.4064508634709208,0.3328555572644318,0.4592383089728104,9146,564,32,True
external_8b,back_state,16,0.437894076231381,0.2731418172957743,0.5410034564999885,4793,564,27,False
external_8b,back_state,20,0.3946794753371513,0.2275683028970673,0.45863770954410926,3995,564,24,True
external_8b,back_action,5,0.4523378393847627,0.40829321395188695,0.502696857641723,15600,564,36,False
external_8b,back_action,9,0.6186317409907999,0.5576300736321342,0.7132695834169052,12602,564,36,True
external_8b,back_action,12,0.4854565166886084,0.4124649615381887,0.5679075967935209,9146,564,32,False
external_8b,back_action,16,0.5725590562762922,0.37388701034208704,0.6688401722521178,4793,564,27,False
external_8b,back_action,20,0.4615185664141881,0.28085403416558785,0.5958646953793453,3995,564,24,False
legacy_main16x32,front_state,5,0.3955487594521263,0.29634809634809633,0.48575174222038225,2560,307,4,True
legacy_main16x32,front_state,9,0.43720303253377185,0.3684531240711016,0.6371935190938202,2339,307,4,False
legacy_main16x32,front_state,12,0.3705695587377697,0.32253894080996887,0.4908092355973997,1625,307,4,True
legacy_main16x32,front_state,16,0.6093418005586458,0.20532280914794576,0.8673469387755102,1077,307,4,False
legacy_main16x32,front_state,20,0.3192558604113993,0.07936507936507936,1.0,607,307,3,False
legacy_main16x32,front_action,5,0.5301302551957557,0.4400932400932401,0.5596083439761601,2560,307,4,False
legacy_main16x32,front_action,9,0.5882178605914015,0.5073122882111646,0.8095632374249637,2339,307,4,True
legacy_main16x32,front_action,12,0.5133048229983369,0.3994080996884735,0.9159381304640215,1625,307,4,False
legacy_main16x32,front_action,16,0.6570057535750949,0.47959183673469385,0.7276361060514066,1077,307,4,False
legacy_main16x32,front_action,20,0.4089490276867372,0.10317460317460317,0.40958145645645644,607,307,3,True
legacy_main16x32,back_state,5,0.34031384322756897,0.24044289044289044,0.4977851376526599,2560,307,4,True
legacy_main16x32,back_state,9,0.5426246904846127,0.43566078116639917,0.7354951092054134,2339,307,4,False
legacy_main16x32,back_state,12,0.38974923864446315,0.3713707165109034,0.5005604124635732,1625,307,4,False
legacy_main16x32,back_state,16,0.6252059111418817,0.3655636510827768,0.8367346938775511,1077,307,4,False
legacy_main16x32,back_state,20,0.3491119642912882,0.07936507936507936,1.0,607,307,3,False
legacy_main16x32,back_action,5,0.3847236855600414,0.3223635064471077,0.5479109225874867,2560,307,4,False
legacy_main16x32,back_action,9,0.5489153816002065,0.43939123714404615,0.8075070723797696,2339,307,4,False
legacy_main16x32,back_action,12,0.47282878679885093,0.3597663551401869,0.7389598744676081,1625,307,4,False
legacy_main16x32,back_action,16,0.7481915630147778,0.3163265306122449,0.7582576791986742,1077,307,4,False
legacy_main16x32,back_action,20,0.31410556543996004,0.015873015873015872,0.3147366116116116,607,307,3,True
