detector,tp,fp,tpr,fpr,precision,balanced_accuracy
instability,32,780,0.06570841889117043,0.05449591280653951,0.03940886699507389,0.5056062530423155
lock_in,259,758,0.5318275154004107,0.05295884859917557,0.25467059980334317,0.7394343334006175
flat_narrow_support,40,750,0.08213552361396304,0.05239991616013415,0.05063291139240506,0.5148678037269144
feedback_decoupling,30,785,0.061601642710472276,0.0548452455809404,0.03680981595092025,0.5033781985647658
dual_extremes,282,785,0.5790554414784395,0.0548452455809404,0.2642924086223055,0.7621050979487495
dual_mean_control,324,742,0.6652977412731006,0.051840983721092714,0.30393996247654786,0.8067283787760039
multi_phenotype,276,808,0.5667351129363449,0.056452176343184515,0.25461254612546125,0.7551414682965802
dual_per_head_q95_or,291,1538,0.5975359342915811,0.10745476140571508,0.15910333515582287,0.745040586442933
multi_per_head_q95_or,307,2583,0.6303901437371663,0.180465311255502,0.10622837370242215,0.7249624162408322
