label,failure_n,failure_rate,success_n,success_rate,failure_tasks
stagnation,136,0.2792607802874743,36,0.0025151959756864388,15
active_retry,0,0.0,136,0.009501851463704325,0
eef_oscillation,0,0.0,277,0.019353035701809542,0
gripper_cycling,81,0.16632443531827515,174,0.012156780549151121,23
goal_regression,104,0.2135523613963039,4,0.00027946621952071543,9
goal_approach_leave,10,0.02053388090349076,0,0.0,5
subtask_undo,37,0.07597535934291581,2,0.00013973310976035772,4
regrasp_or_drop,164,0.33675564681724846,89,0.006218123384335918,22
