head,target,eligible,triggered,rate
instability,success_false_alarm,14313,780,0.05449591280653951
instability,all_failures,487,32,0.06570841889117043
instability,stagnation,136,0,0.0
instability,gripper_cycling,81,30,0.37037037037037035
instability,goal_regression,104,3,0.028846153846153848
instability,goal_approach_leave,10,0,0.0
instability,subtask_undo,37,0,0.0
instability,regrasp_or_drop,164,15,0.09146341463414634
lock_in,success_false_alarm,14313,758,0.05295884859917557
lock_in,all_failures,487,259,0.5318275154004107
lock_in,stagnation,136,92,0.6764705882352942
lock_in,gripper_cycling,81,21,0.25925925925925924
lock_in,goal_regression,104,74,0.7115384615384616
lock_in,goal_approach_leave,10,4,0.4
lock_in,subtask_undo,37,14,0.3783783783783784
lock_in,regrasp_or_drop,164,93,0.5670731707317073
flat_narrow_support,success_false_alarm,14313,750,0.05239991616013415
flat_narrow_support,all_failures,487,40,0.08213552361396304
flat_narrow_support,stagnation,136,34,0.25
flat_narrow_support,gripper_cycling,81,0,0.0
flat_narrow_support,goal_regression,104,6,0.057692307692307696
flat_narrow_support,goal_approach_leave,10,0,0.0
flat_narrow_support,subtask_undo,37,1,0.02702702702702703
flat_narrow_support,regrasp_or_drop,164,5,0.03048780487804878
feedback_decoupling,success_false_alarm,14313,785,0.0548452455809404
feedback_decoupling,all_failures,487,30,0.061601642710472276
feedback_decoupling,stagnation,136,0,0.0
feedback_decoupling,gripper_cycling,81,18,0.2222222222222222
feedback_decoupling,goal_regression,104,0,0.0
feedback_decoupling,goal_approach_leave,10,0,0.0
feedback_decoupling,subtask_undo,37,0,0.0
feedback_decoupling,regrasp_or_drop,164,2,0.012195121951219513
dual_extremes,success_false_alarm,14313,785,0.0548452455809404
dual_extremes,all_failures,487,282,0.5790554414784395
dual_extremes,stagnation,136,89,0.6544117647058824
dual_extremes,gripper_cycling,81,49,0.6049382716049383
dual_extremes,goal_regression,104,75,0.7211538461538461
dual_extremes,goal_approach_leave,10,3,0.3
dual_extremes,subtask_undo,37,14,0.3783783783783784
dual_extremes,regrasp_or_drop,164,102,0.6219512195121951
dual_mean_control,success_false_alarm,14313,742,0.051840983721092714
dual_mean_control,all_failures,487,324,0.6652977412731006
dual_mean_control,stagnation,136,111,0.8161764705882353
dual_mean_control,gripper_cycling,81,45,0.5555555555555556
dual_mean_control,goal_regression,104,87,0.8365384615384616
dual_mean_control,goal_approach_leave,10,7,0.7
dual_mean_control,subtask_undo,37,27,0.7297297297297297
dual_mean_control,regrasp_or_drop,164,120,0.7317073170731707
multi_phenotype,success_false_alarm,14313,808,0.056452176343184515
multi_phenotype,all_failures,487,276,0.5667351129363449
multi_phenotype,stagnation,136,84,0.6176470588235294
multi_phenotype,gripper_cycling,81,50,0.6172839506172839
multi_phenotype,goal_regression,104,72,0.6923076923076923
multi_phenotype,goal_approach_leave,10,3,0.3
multi_phenotype,subtask_undo,37,13,0.35135135135135137
multi_phenotype,regrasp_or_drop,164,98,0.5975609756097561
