task,held_out_init_state_id,head,calibration_successes,threshold_q95,aggregation
libero_goal/open_the_middle_drawer_of_the_cabinet,0,instability,392,0.8538265306122449,
libero_goal/open_the_middle_drawer_of_the_cabinet,0,lock_in,392,0.8762755102040818,
libero_goal/open_the_middle_drawer_of_the_cabinet,0,flat_narrow_support,392,0.7580357142857144,
libero_goal/open_the_middle_drawer_of_the_cabinet,0,feedback_decoupling,392,0.8762755102040816,
libero_goal/open_the_middle_drawer_of_the_cabinet,0,dual_extremes,392,0.9104591836734693,max
libero_goal/open_the_middle_drawer_of_the_cabinet,0,dual_mean_control,392,0.6665338010204082,mean
libero_goal/open_the_middle_drawer_of_the_cabinet,0,multi_phenotype,392,0.9318558673469388,max
libero_goal/open_the_middle_drawer_of_the_cabinet,1,instability,392,0.8483418367346938,
libero_goal/open_the_middle_drawer_of_the_cabinet,1,lock_in,392,0.8717474489795918,
libero_goal/open_the_middle_drawer_of_the_cabinet,1,flat_narrow_support,392,0.7549319727891156,
libero_goal/open_the_middle_drawer_of_the_cabinet,1,feedback_decoupling,392,0.876658163265306,
libero_goal/open_the_middle_drawer_of_the_cabinet,1,dual_extremes,392,0.9067602040816326,max
libero_goal/open_the_middle_drawer_of_the_cabinet,1,dual_mean_control,392,0.6661192602040816,mean
libero_goal/open_the_middle_drawer_of_the_cabinet,1,multi_phenotype,392,0.9294961734693878,max
libero_goal/open_the_middle_drawer_of_the_cabinet,2,instability,392,0.8507015306122448,
libero_goal/open_the_middle_drawer_of_the_cabinet,2,lock_in,392,0.8720982142857143,
libero_goal/open_the_middle_drawer_of_the_cabinet,2,flat_narrow_support,392,0.7603316326530611,
libero_goal/open_the_middle_drawer_of_the_cabinet,2,feedback_decoupling,392,0.8776785714285713,
libero_goal/open_the_middle_drawer_of_the_cabinet,2,dual_extremes,392,0.9063456632653061,max
libero_goal/open_the_middle_drawer_of_the_cabinet,2,dual_mean_control,392,0.6631696428571427,mean
libero_goal/open_the_middle_drawer_of_the_cabinet,2,multi_phenotype,392,0.9308035714285714,max
libero_goal/open_the_middle_drawer_of_the_cabinet,3,instability,392,0.8497767857142857,
libero_goal/open_the_middle_drawer_of_the_cabinet,3,lock_in,392,0.8727359693877551,
libero_goal/open_the_middle_drawer_of_the_cabinet,3,flat_narrow_support,392,0.756079931972789,
libero_goal/open_the_middle_drawer_of_the_cabinet,3,feedback_decoupling,392,0.8762755102040816,
libero_goal/open_the_middle_drawer_of_the_cabinet,3,dual_extremes,392,0.907110969387755,max
libero_goal/open_the_middle_drawer_of_the_cabinet,3,dual_mean_control,392,0.6634885204081632,mean
libero_goal/open_the_middle_drawer_of_the_cabinet,3,multi_phenotype,392,0.9308035714285715,max
libero_goal/open_the_middle_drawer_of_the_cabinet,4,instability,392,0.8501275510204082,
libero_goal/open_the_middle_drawer_of_the_cabinet,4,lock_in,392,0.8755739795918368,
