baseline,candidate,delta_tpr,delta_tpr_ci_low,delta_tpr_ci_high,delta_fpr,delta_fpr_ci_low,delta_fpr_ci_high,failure_baseline_only,failure_candidate_only,success_baseline_only,success_candidate_only,bootstrap_unit,bootstrap_draws
lock_in,dual_extremes,0.047227926078028726,0.015330075724716268,0.11428571428571421,0.0018863969817648277,0.0007772162595085877,0.0029694800289075804,8,31,409,436,task,2000
dual_mean_control,dual_extremes,-0.08624229979466114,-0.17284544159544157,-0.007056771545827664,0.0030042618598476872,0.0017417512546739088,0.004236728975391675,67,25,596,639,task,2000
dual_extremes,multi_phenotype,-0.012320328542094527,-0.025708044176219455,0.013520979543079032,0.0016069307622441145,0.0003485018785852402,0.0029143901080902882,13,7,225,248,task,2000
