snapshot_key,worker,init_state_id,snapshot,successes,failures,mixed,failure_types
w00_s000,0,0,0,7,9,True,"{""drop_or_regrasp"": 1, ""goal_contact_near_miss"": 1, ""loop_or_cycling"": 3, ""single_subtask_omission"": 4}"
w00_s001,0,0,1,4,12,True,"{""drop_or_regrasp"": 3, ""loop_or_cycling"": 8, ""subtask_undo"": 1}"
w01_s000,1,20,0,0,16,False,"{""goal_contact_near_miss"": 1, ""loop_or_cycling"": 13, ""subtask_undo"": 2}"
w01_s001,1,20,1,0,16,False,"{""loop_or_cycling"": 14, ""single_subtask_omission"": 1, ""stagnation"": 1}"
w02_s000,2,3,0,0,16,False,"{""drop_or_regrasp"": 1, ""goal_contact_near_miss"": 1, ""loop_or_cycling"": 6, ""single_subtask_omission"": 8}"
w03_s000,3,7,0,15,1,True,"{""active_retry"": 1}"
w03_s001,3,7,1,15,1,True,"{""drop_or_regrasp"": 1}"
